bad_vis2_frac,bootstrap_i,error_message,filename,flagged_frac,median_vis2,n_finite,n_flagged,n_good,n_total,read_status,std_vis2,target_name
0.0,403,,2019-11-25_CAL_HD61574_oidataCalibrated_403.fits,0.0,0.9545371424210936,36,0,36,36,OK,0.023981671330927306,2019-11-25_CAL_HD61574
0.0,403,,2019-11-25_CAL_HD65187_oidataCalibrated_403.fits,0.0,1.0090684521886444,36,0,36,36,OK,0.05556512962297286,2019-11-25_CAL_HD65187
0.0,403,,2019-11-25_CAL_HR3069_oidataCalibrated_403.fits,0.0,0.9640361606548242,36,0,36,36,OK,0.041325252979301626,2019-11-25_CAL_HR3069
0.0,403,,2019-11-25_SCI_HR2998_oidataCalibrated_403.fits,0.0,0.9669175982242331,72,0,72,72,OK,0.0906773016839897,HR2998
0.0,403,,2019-11-26_CAL_HD65491_oidataCalibrated_403.fits,0.0,0.9803694861945822,36,0,36,36,OK,0.04196516711101588,2019-11-26_CAL_HD65491
0.0,403,,2019-11-26_CAL_HD66162_oidataCalibrated_403.fits,0.0,0.9316779578250606,36,0,36,36,OK,0.042027696858261215,2019-11-26_CAL_HD66162
0.0,403,,2019-11-26_CAL_HR3069_oidataCalibrated_403.fits,0.0,0.9450468695141782,36,0,36,36,OK,0.02946324082856799,2019-11-26_CAL_HR3069
0.0,403,,2019-11-26_SCI_HR2998_oidataCalibrated_403.fits,0.0,0.8857228218685831,72,0,72,72,OK,0.10851598494855312,HR2998
0.0,403,,2019-11-27_CAL_HD222919_oidataCalibrated_403.fits,0.0,0.8822371616407136,36,0,36,36,OK,0.042193464547727724,2019-11-27_CAL_HD222919
0.0,403,,2019-11-27_CAL_HD223292_oidataCalibrated_403.fits,0.0,0.9163405556834272,36,0,36,36,OK,0.04121515436635008,2019-11-27_CAL_HD223292
0.0,403,,2019-11-27_CAL_HD323_oidataCalibrated_403.fits,0.0,0.909322960618641,36,0,36,36,OK,0.035736851172943965,2019-11-27_CAL_HD323
0.0,403,,2019-11-27_CAL_HD68_oidataCalibrated_403.fits,0.0,0.8902543031691632,36,0,36,36,OK,0.04794933444067161,2019-11-27_CAL_HD68
0.0,403,,2019-11-27_CAL_HR67_oidataCalibrated_403.fits,0.0,0.9046350220716712,36,0,36,36,OK,0.036393288970814335,2019-11-27_CAL_HR67
0.0,403,,2019-11-27_CAL_HR8809_oidataCalibrated_403.fits,0.0,0.9186229452878405,36,0,36,36,OK,0.04043499740193729,2019-11-27_CAL_HR8809
0.0,403,,2019-11-27_SCI_IOT_PSC_oidataCalibrated_403.fits,0.0,0.8229898230620376,72,0,72,72,OK,0.11047143849176787,IOT_PSC
0.0,403,,2019-11-27_SCI_zet_Tuc_oidataCalibrated_403.fits,0.0,0.796852685632141,72,0,72,72,OK,0.09735837877725335,zet_Tuc
0.0,403,,2019-11-28_CAL_HD30507_oidataCalibrated_403.fits,0.0,0.8129237937230741,36,0,36,36,OK,0.07155218980631174,2019-11-28_CAL_HD30507
0.0,403,,2019-11-28_CAL_HD30519_oidataCalibrated_403.fits,0.0,0.8492905207154335,36,0,36,36,OK,0.04308710180639742,2019-11-28_CAL_HD30519
0.0,403,,2019-11-28_CAL_HR1618_oidataCalibrated_403.fits,0.0,0.7310174080899805,36,0,36,36,OK,0.10563493642555408,2019-11-28_CAL_HR1618
0.0,403,,2019-11-28_SCI_pi3_Ori_oidataCalibrated_403.fits,0.0,0.6636643636256147,72,0,72,72,OK,0.14476667958659836,pi3_Ori
0.0,403,,2019-11-29_CAL_HD220757_oidataCalibrated_403.fits,0.0,0.902142020820295,36,0,36,36,OK,0.039828780389236644,2019-11-29_CAL_HD220757
0.0,403,,2019-11-29_CAL_HD43_oidataCalibrated_403.fits,0.0,0.8927589590130174,36,0,36,36,OK,0.03248940518053532,2019-11-29_CAL_HD43
0.0,403,,2019-11-29_CAL_HD68_oidataCalibrated_403.fits,0.0,0.9225590518739812,36,0,36,36,OK,0.05474751787817025,2019-11-29_CAL_HD68
0.0,403,,2019-11-29_CAL_HD8025_oidataCalibrated_403.fits,0.0,0.9312542343204165,36,0,36,36,OK,0.03842566662300366,2019-11-29_CAL_HD8025
0.0,403,,2019-11-29_CAL_HR1534_oidataCalibrated_403.fits,0.0,0.7641815132680196,36,0,36,36,OK,0.09691945371051036,2019-11-29_CAL_HR1534
