bad_vis2_frac,bootstrap_i,error_message,filename,flagged_frac,median_vis2,n_finite,n_flagged,n_good,n_total,read_status,std_vis2,target_name
0.0,210,,2019-11-25_CAL_HD61574_oidataCalibrated_210.fits,0.0,0.9537708193939104,36,0,36,36,OK,0.02403769667206409,2019-11-25_CAL_HD61574
0.0,210,,2019-11-25_CAL_HD65187_oidataCalibrated_210.fits,0.0,0.9899333424661673,36,0,36,36,OK,0.05547199901718476,2019-11-25_CAL_HD65187
0.0,210,,2019-11-25_CAL_HR3069_oidataCalibrated_210.fits,0.0,0.9653297366444245,36,0,36,36,OK,0.041527809614684184,2019-11-25_CAL_HR3069
0.0,210,,2019-11-25_SCI_HR2998_oidataCalibrated_210.fits,0.0,0.9625475755344581,72,0,72,72,OK,0.08939989163561302,HR2998
0.0,210,,2019-11-26_CAL_HD65491_oidataCalibrated_210.fits,0.0,0.9767277437284236,36,0,36,36,OK,0.039010531649124686,2019-11-26_CAL_HD65491
0.0,210,,2019-11-26_CAL_HD66162_oidataCalibrated_210.fits,0.0,0.9328838585616102,36,0,36,36,OK,0.042872039095670084,2019-11-26_CAL_HD66162
0.0,210,,2019-11-26_CAL_HR3069_oidataCalibrated_210.fits,0.0,0.9452287812418837,36,0,36,36,OK,0.029048409542369123,2019-11-26_CAL_HR3069
0.0,210,,2019-11-26_SCI_HR2998_oidataCalibrated_210.fits,0.0,0.8863859702973894,72,0,72,72,OK,0.10674601219525323,HR2998
0.0,210,,2019-11-27_CAL_HD222919_oidataCalibrated_210.fits,0.0,0.885303995509819,36,0,36,36,OK,0.04358841209263841,2019-11-27_CAL_HD222919
0.0,210,,2019-11-27_CAL_HD223292_oidataCalibrated_210.fits,0.0,0.9137706286664997,36,0,36,36,OK,0.0388970195264389,2019-11-27_CAL_HD223292
0.0,210,,2019-11-27_CAL_HD323_oidataCalibrated_210.fits,0.0,0.9050027481246956,36,0,36,36,OK,0.03671426741950651,2019-11-27_CAL_HD323
0.0,210,,2019-11-27_CAL_HD68_oidataCalibrated_210.fits,0.0,0.8884732092200074,36,0,36,36,OK,0.04838666724545506,2019-11-27_CAL_HD68
0.0,210,,2019-11-27_CAL_HR67_oidataCalibrated_210.fits,0.0,0.9028540611705027,36,0,36,36,OK,0.036947189150034074,2019-11-27_CAL_HR67
0.0,210,,2019-11-27_CAL_HR8809_oidataCalibrated_210.fits,0.0,0.9185446428444672,36,0,36,36,OK,0.04047013529106028,2019-11-27_CAL_HR8809
0.0,210,,2019-11-27_SCI_IOT_PSC_oidataCalibrated_210.fits,0.0,0.8291030702701148,72,0,72,72,OK,0.1111718479755294,IOT_PSC
0.0,210,,2019-11-27_SCI_zet_Tuc_oidataCalibrated_210.fits,0.0,0.7973482740527778,72,0,72,72,OK,0.09810406078032341,zet_Tuc
0.0,210,,2019-11-28_CAL_HD30507_oidataCalibrated_210.fits,0.0,0.8111410275962965,36,0,36,36,OK,0.0708330056823019,2019-11-28_CAL_HD30507
0.0,210,,2019-11-28_CAL_HD30519_oidataCalibrated_210.fits,0.0,0.8448296197437724,36,0,36,36,OK,0.04114098323499464,2019-11-28_CAL_HD30519
0.0,210,,2019-11-28_CAL_HR1618_oidataCalibrated_210.fits,0.0,0.7382236114768446,36,0,36,36,OK,0.10848491843099782,2019-11-28_CAL_HR1618
0.0,210,,2019-11-28_SCI_pi3_Ori_oidataCalibrated_210.fits,0.0,0.6656612596786464,72,0,72,72,OK,0.14505736745250197,pi3_Ori
0.0,210,,2019-11-29_CAL_HD220757_oidataCalibrated_210.fits,0.0,0.9017910787853936,36,0,36,36,OK,0.039961943162869835,2019-11-29_CAL_HD220757
0.0,210,,2019-11-29_CAL_HD43_oidataCalibrated_210.fits,0.0,0.8948954347416502,36,0,36,36,OK,0.031552346748203,2019-11-29_CAL_HD43
0.0,210,,2019-11-29_CAL_HD68_oidataCalibrated_210.fits,0.0,0.9265558604302053,36,0,36,36,OK,0.054286268506174414,2019-11-29_CAL_HD68
0.0,210,,2019-11-29_CAL_HD8025_oidataCalibrated_210.fits,0.0,0.9313076095097266,36,0,36,36,OK,0.03780326544760014,2019-11-29_CAL_HD8025
0.0,210,,2019-11-29_CAL_HR1534_oidataCalibrated_210.fits,0.0,0.7638618743195109,36,0,36,36,OK,0.09735262149687124,2019-11-29_CAL_HR1534
0.0,210,,2019-11-29_CAL_HR1618_oidataCalibrated_210.fits,0.0,0.6854109176412353,36,0,36,36,OK,0.12410438426748005,2019-11-29_CAL_HR1618
0.0,210,,2019-11-29_CAL_HR1681_oidataCalibrated_210.fits,0.0,0.8022546977935089,36,0,36,36,OK,0.08015223444050905,2019-11-29_CAL_HR1681
0.0,210,,2019-11-29_CAL_HR67_oidataCalibrated_210.fits,0.0,0.891263082776738,36,0,36,36,OK,0.05214794189243063,2019-11-29_CAL_HR67
0.0,210,,2019-11-29_SCI_IOT_PSC_oidataCalibrated_210.fits,0.0,0.8194991731793172,36,0,36,36,OK,0.10156442789801681,IOT_PSC
0.0,210,,2019-11-29_SCI_pi3_Ori_oidataCalibrated_210.fits,0.0,0.6186347581981821,72,0,72,72,OK,0.1626610537858199,pi3_Ori
0.0,210,,2019-11-29_SCI_zet_Tuc_oidataCalibrated_210.fits,0.0,0.828221956148278,72,0,72,72,OK,0.11077854958765812,zet_Tuc
0.0,210,,2021-02-17_CAL_HD65181_oidataCalibrated_210.fits,0.0,0.8902279986974955,36,0,36,36,OK,0.09362274094080121,2021-02-17_CAL_HD65181
0.0,210,,2021-02-17_CAL_HD70942_oidataCalibrated_210.fits,0.0,0.8987155036432635,36,0,36,36,OK,0.05194645552415709,2021-02-17_CAL_HD70942
0.0,210,,2021-02-17_CAL_HR3317_oidataCalibrated_210.fits,0.0,0.8428661460504976,36,0,36,36,OK,0.08837597194964772,2021-02-17_CAL_HR3317
0.0,210,,2021-02-17_SCI_rho_Pup_oidataCalibrated_210.fits,0.0,0.5780382000885296,72,0,72,72,OK,0.22420848455390383,rho_Pup
0.0,210,,2021-02-18_CAL_HD38295_oidataCalibrated_210.fits,0.0,1.0080232096750905,36,0,36,36,OK,0.05602728178314004,2021-02-18_CAL_HD38295
0.0,210,,2021-02-18_CAL_HD42747_oidataCalibrated_210.fits,0.0,0.8082569614850192,36,0,36,36,OK,0.05476954026681124,2021-02-18_CAL_HD42747
0.0,210,,2021-02-18_CAL_HD59936_oidataCalibrated_210.fits,0.0,0.7559723501030857,36,0,36,36,OK,0.08255500534818506,2021-02-18_CAL_HD59936
0.0,210,,2021-02-18_CAL_HD__63734_oidataCalibrated_210.fits,0.0,0.9057962444556757,36,0,36,36,OK,0.08273578998895548,2021-02-18_CAL_HD__63734
0.0,210,,2021-02-18_CAL_HR2090_oidataCalibrated_210.fits,0.0,0.9112359139057276,36,0,36,36,OK,0.0669544523227486,2021-02-18_CAL_HR2090
0.0,210,,2021-02-18_CAL_HR3317_oidataCalibrated_210.fits,0.0,0.8099632763164932,36,0,36,36,OK,0.07373821325247018,2021-02-18_CAL_HR3317
0.0,210,,2021-02-18_SCI_gam_Lep_oidataCalibrated_210.fits,0.0,0.7599730999182421,72,0,72,72,OK,0.14013358052397912,gam_Lep
0.0,210,,2021-02-18_SCI_rho_Pup_oidataCalibrated_210.fits,0.0,0.4659306072777758,72,0,72,72,OK,0.18539609065349483,rho_Pup
0.0,210,,2021-02-26_CAL_27_Mon_oidataCalibrated_210.fits,0.0,0.7282390346179439,36,0,36,36,OK,0.16337443875464072,2021-02-26_CAL_27_Mon
0.0,210,,2021-02-26_CAL_HD63241_oidataCalibrated_210.fits,0.0,0.8120030351413722,36,0,36,36,OK,0.11723665639648533,2021-02-26_CAL_HD63241
0.0,210,,2021-02-26_CAL_HR2729_oidataCalibrated_210.fits,0.0,0.8486262949072763,36,0,36,36,OK,0.10893979536784798,2021-02-26_CAL_HR2729
0.0,210,,2021-02-26_SCI_alf_CMi_oidataCalibrated_210.fits,0.0,0.029980367402079003,72,0,72,72,OK,0.14574912391841413,alf_CMi
0.0,210,,2021-03-05_CAL_HD76437_oidataCalibrated_210.fits,0.0,0.9033562614122101,36,0,36,36,OK,0.039938307052551435,2021-03-05_CAL_HD76437
