bad_vis2_frac,bootstrap_i,error_message,filename,flagged_frac,median_vis2,n_finite,n_flagged,n_good,n_total,read_status,std_vis2,target_name
0.0,190,,2019-11-25_CAL_HD61574_oidataCalibrated_190.fits,0.0,0.9539016253735362,36,0,36,36,OK,0.024486452880732968,2019-11-25_CAL_HD61574
0.0,190,,2019-11-25_CAL_HD65187_oidataCalibrated_190.fits,0.0,1.0038159020418829,36,0,36,36,OK,0.055221396908573514,2019-11-25_CAL_HD65187
0.0,190,,2019-11-25_CAL_HR3069_oidataCalibrated_190.fits,0.0,0.9651750412564768,36,0,36,36,OK,0.04150494652077264,2019-11-25_CAL_HR3069
0.0,190,,2019-11-25_SCI_HR2998_oidataCalibrated_190.fits,0.0,0.980882763500381,72,0,72,72,OK,0.08909403649379026,HR2998
0.0,190,,2019-11-26_CAL_HD65491_oidataCalibrated_190.fits,0.0,0.987936731360336,36,0,36,36,OK,0.03934999453342883,2019-11-26_CAL_HD65491
0.0,190,,2019-11-26_CAL_HD66162_oidataCalibrated_190.fits,0.0,0.9337629927539718,36,0,36,36,OK,0.042198902346117236,2019-11-26_CAL_HD66162
0.0,190,,2019-11-26_CAL_HR3069_oidataCalibrated_190.fits,0.0,0.9429161341486657,36,0,36,36,OK,0.028980043446003047,2019-11-26_CAL_HR3069
0.0,190,,2019-11-26_SCI_HR2998_oidataCalibrated_190.fits,0.0,0.8904411367435695,72,0,72,72,OK,0.10759469100802918,HR2998
0.0,190,,2019-11-27_CAL_HD222919_oidataCalibrated_190.fits,0.0,0.8847809029801484,36,0,36,36,OK,0.04452494015697467,2019-11-27_CAL_HD222919
0.0,190,,2019-11-27_CAL_HD223292_oidataCalibrated_190.fits,0.0,0.9173401160106002,36,0,36,36,OK,0.040179722021030005,2019-11-27_CAL_HD223292
0.0,190,,2019-11-27_CAL_HD323_oidataCalibrated_190.fits,0.0,0.9052956757647265,36,0,36,36,OK,0.03592725588888698,2019-11-27_CAL_HD323
0.0,190,,2019-11-27_CAL_HD68_oidataCalibrated_190.fits,0.0,0.8858664340798804,36,0,36,36,OK,0.04906847535953444,2019-11-27_CAL_HD68
0.0,190,,2019-11-27_CAL_HR67_oidataCalibrated_190.fits,0.0,0.9072085994613093,36,0,36,36,OK,0.035190692039290726,2019-11-27_CAL_HR67
0.0,190,,2019-11-27_CAL_HR8809_oidataCalibrated_190.fits,0.0,0.918569527088329,36,0,36,36,OK,0.040462142882375485,2019-11-27_CAL_HR8809
0.0,190,,2019-11-27_SCI_IOT_PSC_oidataCalibrated_190.fits,0.0,0.8269399392706349,72,0,72,72,OK,0.10941937465117191,IOT_PSC
0.0,190,,2019-11-27_SCI_zet_Tuc_oidataCalibrated_190.fits,0.0,0.7955008169546542,72,0,72,72,OK,0.09879248213562175,zet_Tuc
0.0,190,,2019-11-28_CAL_HD30507_oidataCalibrated_190.fits,0.0,0.8121728785400566,36,0,36,36,OK,0.07161918741276066,2019-11-28_CAL_HD30507
0.0,190,,2019-11-28_CAL_HD30519_oidataCalibrated_190.fits,0.0,0.8375458565126987,36,0,36,36,OK,0.040499344523138255,2019-11-28_CAL_HD30519
0.0,190,,2019-11-28_CAL_HR1618_oidataCalibrated_190.fits,0.0,0.7326251354019447,36,0,36,36,OK,0.10647950833398692,2019-11-28_CAL_HR1618
0.0,190,,2019-11-28_SCI_pi3_Ori_oidataCalibrated_190.fits,0.0,0.6637266439861169,72,0,72,72,OK,0.14587456407653568,pi3_Ori
0.0,190,,2019-11-29_CAL_HD220757_oidataCalibrated_190.fits,0.0,0.9038679562670319,36,0,36,36,OK,0.03934567084720542,2019-11-29_CAL_HD220757
0.0,190,,2019-11-29_CAL_HD43_oidataCalibrated_190.fits,0.0,0.8955708314260407,36,0,36,36,OK,0.031928390710726264,2019-11-29_CAL_HD43
0.0,190,,2019-11-29_CAL_HD68_oidataCalibrated_190.fits,0.0,0.9181225350672597,36,0,36,36,OK,0.05070102605798277,2019-11-29_CAL_HD68
0.0,190,,2019-11-29_CAL_HD8025_oidataCalibrated_190.fits,0.0,0.9318277866273393,36,0,36,36,OK,0.03914128194203771,2019-11-29_CAL_HD8025
0.0,190,,2019-11-29_CAL_HR1534_oidataCalibrated_190.fits,0.0,0.7636668880848357,36,0,36,36,OK,0.09681956230346084,2019-11-29_CAL_HR1534
0.0,190,,2019-11-29_CAL_HR1618_oidataCalibrated_190.fits,0.0,0.6846387130954503,36,0,36,36,OK,0.12278344272672491,2019-11-29_CAL_HR1618
0.0,190,,2019-11-29_CAL_HR1681_oidataCalibrated_190.fits,0.0,0.8064524625413335,36,0,36,36,OK,0.078787776150555,2019-11-29_CAL_HR1681
0.0,190,,2019-11-29_CAL_HR67_oidataCalibrated_190.fits,0.0,0.8902234824853912,36,0,36,36,OK,0.05136416785303715,2019-11-29_CAL_HR67
0.0,190,,2019-11-29_SCI_IOT_PSC_oidataCalibrated_190.fits,0.0,0.8252005552992316,36,0,36,36,OK,0.10216521255074933,IOT_PSC
0.0,190,,2019-11-29_SCI_pi3_Ori_oidataCalibrated_190.fits,0.0,0.6192479508364505,72,0,72,72,OK,0.16315829902812237,pi3_Ori
0.0,190,,2019-11-29_SCI_zet_Tuc_oidataCalibrated_190.fits,0.0,0.825141567519126,72,0,72,72,OK,0.11037237807478274,zet_Tuc
0.0,190,,2021-02-17_CAL_HD65181_oidataCalibrated_190.fits,0.0,0.9001572998045189,36,0,36,36,OK,0.10332187901380656,2021-02-17_CAL_HD65181
0.0,190,,2021-02-17_CAL_HD70942_oidataCalibrated_190.fits,0.0,0.9013102719971717,36,0,36,36,OK,0.05405988923319408,2021-02-17_CAL_HD70942
0.0,190,,2021-02-17_CAL_HR3317_oidataCalibrated_190.fits,0.0,0.8410966018752581,36,0,36,36,OK,0.08751797400720665,2021-02-17_CAL_HR3317
0.0,190,,2021-02-17_SCI_rho_Pup_oidataCalibrated_190.fits,0.0,0.5859046606834108,72,0,72,72,OK,0.22108459682632417,rho_Pup
0.0,190,,2021-02-18_CAL_HD38295_oidataCalibrated_190.fits,0.0,0.9954257943290159,36,0,36,36,OK,0.049045475764692426,2021-02-18_CAL_HD38295
0.0,190,,2021-02-18_CAL_HD42747_oidataCalibrated_190.fits,0.0,0.8214315918902323,36,0,36,36,OK,0.034052819137216896,2021-02-18_CAL_HD42747
0.0,190,,2021-02-18_CAL_HD59936_oidataCalibrated_190.fits,0.0,0.7846681659745216,36,0,36,36,OK,0.09297820156436687,2021-02-18_CAL_HD59936
0.0,190,,2021-02-18_CAL_HD__63734_oidataCalibrated_190.fits,0.0,0.89342302968265,36,0,36,36,OK,0.09307806718336181,2021-02-18_CAL_HD__63734
0.0,190,,2021-02-18_CAL_HR2090_oidataCalibrated_190.fits,0.0,0.919862814299356,36,0,36,36,OK,0.06484359191217488,2021-02-18_CAL_HR2090
0.0,190,,2021-02-18_CAL_HR3317_oidataCalibrated_190.fits,0.0,0.8114597181085252,36,0,36,36,OK,0.07839015474854265,2021-02-18_CAL_HR3317
0.0,190,,2021-02-18_SCI_gam_Lep_oidataCalibrated_190.fits,0.0,0.7640550805608828,72,0,72,72,OK,0.12085373524263117,gam_Lep
0.0,190,,2021-02-18_SCI_rho_Pup_oidataCalibrated_190.fits,0.0,0.4598330543854722,72,0,72,72,OK,0.19454089504036082,rho_Pup
0.0,190,,2021-02-26_CAL_27_Mon_oidataCalibrated_190.fits,0.0,0.7300865001313119,36,0,36,36,OK,0.16374509687364916,2021-02-26_CAL_27_Mon
