HD_ID,Primary,Quality,Science,calibrator_position,input_name
HD79810,HD79810,,True,0,HD_79810
HD55751,HR2729,,True,0,HR_2729
HD122135,HD122135,,True,0,HD122135
HD141589,HD141589,,True,0,HD141589
HD222919,HD222919,,True,0,HD_222919
HD46241,12Mon,,True,0,12_Mon
HD197635,sigPav,,True,0,sig_Pav
HD30545,HR1534,,True,0,HR_1534
HD59936,HD59936,,True,0,HD_59936
HD142639,HD142639,,True,0,HD142639
HD64181,HR3069,,True,0,HR_3069
HD220757,HD220757,,True,0,HD_220757
HD38295,HD38295,,True,0,HD_38295
HD76437,HD76437,,True,0,HD_76437
HD61574,HD61574,,True,0,HD_61574
HD121981,HD121981,,True,0,HD121981
HD43,HD43,,True,0,HD_43
HD45512,HR2342,,True,0,HR_2342
HD210056,HD210056,,True,0,HD_210056
HD65181,HD65181,,True,0,HD_65181
HD178665,HD178665,,True,0,HD178665
HD142443,HD142443,,True,0,HD142443
HD30519,HD30519,,True,0,HD_30519
HD218558,HR8809,,True,0,HR_8809
