Full_sequence,N_calibrators,N_science_positions,N_targets,Period,Science_target_key,Sequence_type,calibrator_01,calibrator_02,calibrator_03,science_01,science_02,target_01,target_02,target_03,target_04,target_05
HD_220757 - zet_Tuc - HD_68 - zet_Tuc - HD_8025,3,2,5,105,zet_Tuc,bright,HD_220757,HD_68,HD_8025,zet_Tuc,zet_Tuc,HD_220757,zet_Tuc,HD_68,zet_Tuc,HD_8025
HD_79810 - psi Vel A - HR_3729 - psi Vel A - HD_84900,3,2,5,106,psi Vel A,bright,HD_79810,HR_3729,HD_84900,psi Vel A,psi Vel A,HD_79810,psi Vel A,HR_3729,psi Vel A,HD_84900
HR_2729 - alf_CMi - HD_63241 - alf_CMi - 27_Mon,3,2,5,106,alf_CMi,bright,HR_2729,HD_63241,27_Mon,alf_CMi,alf_CMi,HR_2729,alf_CMi,HD_63241,alf_CMi,27_Mon
HD122135 - HD124850 - HD125183 - HD124850 - HD125490,3,2,5,106,HD124850,bright,HD122135,HD125183,HD125490,HD124850,HD124850,HD122135,HD124850,HD125183,HD124850,HD125490
HD141589 - HD142860 - HD143257,2,1,3,106,HD142860,bright,HD141589,HD143257,,HD142860,,HD141589,HD142860,HD143257,,
HD_222919 - iot_Psc - HD_223292 - iot_Psc - HR_67,3,2,5,106,iot_Psc,bright,HD_222919,HD_223292,HR_67,iot_Psc,iot_Psc,HD_222919,iot_Psc,HD_223292,iot_Psc,HR_67
12_Mon - ksi_Gem - HR_2426 - ksi_Gem - HR_2610,3,2,5,106,ksi_Gem,bright,12_Mon,HR_2426,HR_2610,ksi_Gem,ksi_Gem,12_Mon,ksi_Gem,HR_2426,ksi_Gem,HR_2610
HR_1534 - pi3_Ori - HR_1618 - pi3_Ori - HR_1681,3,2,5,106,pi3_Ori,bright,HR_1534,HR_1618,HR_1681,pi3_Ori,pi3_Ori,HR_1534,pi3_Ori,HR_1618,pi3_Ori,HR_1681
HD_59936 - rho_Pup - HD  63734 - rho_Pup - HR_3317,3,2,5,106,rho_Pup,bright,HD_59936,HD  63734,HR_3317,rho_Pup,rho_Pup,HD_59936,rho_Pup,HD  63734,rho_Pup,HR_3317
HD142639 - HD141004 - HD139610 - HD141004 - HD142443,3,2,5,106,HD141004,bright,HD142639,HD139610,HD142443,HD141004,HD141004,HD142639,HD141004,HD139610,HD141004,HD142443
HR_3069 - HR_2998 - HD_65491 - HR_2998 - HD_66162,3,2,5,106,HR_2998,bright,HR_3069,HD_65491,HD_66162,HR_2998,HR_2998,HR_3069,HR_2998,HD_65491,HR_2998,HD_66162
HD_220757 - zet_Tuc - HD_68 - zet_Tuc - HD_8025,3,2,5,106,zet_Tuc,bright,HD_220757,HD_68,HD_8025,zet_Tuc,zet_Tuc,HD_220757,zet_Tuc,HD_68,zet_Tuc,HD_8025
HD_38295 - gam_Lep - HR_2090 - gam_Lep - HD_42747,3,2,5,104,gam_Lep,faint,HD_38295,HR_2090,HD_42747,gam_Lep,gam_Lep,HD_38295,gam_Lep,HR_2090,gam_Lep,HD_42747
HD_76437 - psi_Vel - HR_3729 - psi_Vel - HD_84369,3,2,5,104,psi_Vel,faint,HD_76437,HR_3729,HD_84369,psi_Vel,psi_Vel,HD_76437,psi_Vel,HR_3729,psi_Vel,HD_84369
HD_61574 - HR_2998 - HR_3069 - HR_2998 - HD_65187,3,2,5,104,HR_2998,faint,HD_61574,HR_3069,HD_65187,HR_2998,HR_2998,HD_61574,HR_2998,HR_3069,HR_2998,HD_65187
HD121981 - HD124850 - HD123255 - HD124850 - HD125490,3,2,5,104,HD124850,faint,HD121981,HD123255,HD125490,HD124850,HD124850,HD121981,HD124850,HD123255,HD124850,HD125490
HD_43 - iot_Psc - HR_67,2,1,3,104,iot_Psc,faint,HD_43,HR_67,,iot_Psc,,HD_43,iot_Psc,HR_67,,
HR_2342 - ksi_Gem - HR_2391 - ksi_Gem - HR_2426,3,2,5,104,ksi_Gem,faint,HR_2342,HR_2391,HR_2426,ksi_Gem,ksi_Gem,HR_2342,ksi_Gem,HR_2391,ksi_Gem,HR_2426
HD_210056 - bet_Hyi - lam_Tuc - bet_Hyi - kap_Hyi,3,2,5,104,bet_Hyi,faint,HD_210056,lam_Tuc,kap_Hyi,bet_Hyi,bet_Hyi,HD_210056,bet_Hyi,lam_Tuc,bet_Hyi,kap_Hyi
HD141589 - HD142860 - HD141827 - HD142860 - HD143896,3,2,5,104,HD142860,faint,HD141589,HD141827,HD143896,HD142860,HD142860,HD141589,HD142860,HD141827,HD142860,HD143896
HD_65181 - rho_Pup - HD_70942 - rho_Pup - HR_3317,3,2,5,104,rho_Pup,faint,HD_65181,HD_70942,HR_3317,rho_Pup,rho_Pup,HD_65181,rho_Pup,HD_70942,rho_Pup,HR_3317
HD178665 - HD182572 - HD178596 - HD182572 - HD186202,3,2,5,104,HD182572,faint,HD178665,HD178596,HD186202,HD182572,HD182572,HD178665,HD182572,HD178596,HD182572,HD186202
HD142443 - HD141004 - HD142862 - HD141004 - HD143129,3,2,5,104,HD141004,faint,HD142443,HD142862,HD143129,HD141004,HD141004,HD142443,HD141004,HD142862,HD141004,HD143129
HD_30519 - pi3_Ori - HD_30507 - pi3_Ori - HR_1618,3,2,5,104,pi3_Ori,faint,HD_30519,HD_30507,HR_1618,pi3_Ori,pi3_Ori,HD_30519,pi3_Ori,HD_30507,pi3_Ori,HR_1618
HR_8809 - zet_Tuc - HD_68 - zet_Tuc - HD_323,3,2,5,104,zet_Tuc,faint,HR_8809,HD_68,HD_323,zet_Tuc,zet_Tuc,HR_8809,zet_Tuc,HD_68,zet_Tuc,HD_323
HD_38295 - gam_Lep - HR_2090 - gam_Lep - HD_42747,3,2,5,105,gam_Lep,faint,HD_38295,HR_2090,HD_42747,gam_Lep,gam_Lep,HD_38295,gam_Lep,HR_2090,gam_Lep,HD_42747
HD_76437 - psi_Vel - HR_3729 - psi_Vel - HD_84369,3,2,5,105,psi_Vel,faint,HD_76437,HR_3729,HD_84369,psi_Vel,psi_Vel,HD_76437,psi_Vel,HR_3729,psi_Vel,HD_84369
HD_61574 - HR_2998 - HR_3069 - HR_2998 - HD_65187,3,2,5,105,HR_2998,faint,HD_61574,HR_3069,HD_65187,HR_2998,HR_2998,HD_61574,HR_2998,HR_3069,HR_2998,HD_65187
HD121981 - HD124850 - HD123255 - HD124850 - HD125490,3,2,5,105,HD124850,faint,HD121981,HD123255,HD125490,HD124850,HD124850,HD121981,HD124850,HD123255,HD124850,HD125490
HD_43 - iot_Psc - HR_67,2,1,3,105,iot_Psc,faint,HD_43,HR_67,,iot_Psc,,HD_43,iot_Psc,HR_67,,
HR_2342 - ksi_Gem - HR_2391 - ksi_Gem - HR_2426,3,2,5,105,ksi_Gem,faint,HR_2342,HR_2391,HR_2426,ksi_Gem,ksi_Gem,HR_2342,ksi_Gem,HR_2391,ksi_Gem,HR_2426
HD_210056 - bet_Hyi - lam_Tuc - bet_Hyi - kap_Hyi,3,2,5,105,bet_Hyi,faint,HD_210056,lam_Tuc,kap_Hyi,bet_Hyi,bet_Hyi,HD_210056,bet_Hyi,lam_Tuc,bet_Hyi,kap_Hyi
HD141589 - HD142860 - HD141827 - HD142860 - HD143896,3,2,5,105,HD142860,faint,HD141589,HD141827,HD143896,HD142860,HD142860,HD141589,HD142860,HD141827,HD142860,HD143896
HD_65181 - rho_Pup - HD_70942 - rho_Pup - HR_3317,3,2,5,105,rho_Pup,faint,HD_65181,HD_70942,HR_3317,rho_Pup,rho_Pup,HD_65181,rho_Pup,HD_70942,rho_Pup,HR_3317
HD178665 - HD182572 - HD178596 - HD182572 - HD186202,3,2,5,105,HD182572,faint,HD178665,HD178596,HD186202,HD182572,HD182572,HD178665,HD182572,HD178596,HD182572,HD186202
HD142443 - HD141004 - HD142862 - HD141004 - HD143129,3,2,5,105,HD141004,faint,HD142443,HD142862,HD143129,HD141004,HD141004,HD142443,HD141004,HD142862,HD141004,HD143129
HD_30519 - pi3_Ori - HD_30507 - pi3_Ori - HR_1618,3,2,5,105,pi3_Ori,faint,HD_30519,HD_30507,HR_1618,pi3_Ori,pi3_Ori,HD_30519,pi3_Ori,HD_30507,pi3_Ori,HR_1618
HR_8809 - zet_Tuc - HD_68 - zet_Tuc - HD_323,3,2,5,105,zet_Tuc,faint,HR_8809,HD_68,HD_323,zet_Tuc,zet_Tuc,HR_8809,zet_Tuc,HD_68,zet_Tuc,HD_323
HD_38295 - gam_Lep - HR_2090 - gam_Lep - HD_42747,3,2,5,106,gam_Lep,faint,HD_38295,HR_2090,HD_42747,gam_Lep,gam_Lep,HD_38295,gam_Lep,HR_2090,gam_Lep,HD_42747
HD_76437 - psi_Vel - HR_3729 - psi_Vel - HD_84369,3,2,5,106,psi_Vel,faint,HD_76437,HR_3729,HD_84369,psi_Vel,psi_Vel,HD_76437,psi_Vel,HR_3729,psi_Vel,HD_84369
HD_61574 - HR_2998 - HR_3069 - HR_2998 - HD_65187,3,2,5,106,HR_2998,faint,HD_61574,HR_3069,HD_65187,HR_2998,HR_2998,HD_61574,HR_2998,HR_3069,HR_2998,HD_65187
HD121981 - HD124850 - HD123255 - HD124850 - HD125490,3,2,5,106,HD124850,faint,HD121981,HD123255,HD125490,HD124850,HD124850,HD121981,HD124850,HD123255,HD124850,HD125490
HD_43 - iot_Psc - HR_67,2,1,3,106,iot_Psc,faint,HD_43,HR_67,,iot_Psc,,HD_43,iot_Psc,HR_67,,
HR_2342 - ksi_Gem - HR_2391 - ksi_Gem - HR_2426,3,2,5,106,ksi_Gem,faint,HR_2342,HR_2391,HR_2426,ksi_Gem,ksi_Gem,HR_2342,ksi_Gem,HR_2391,ksi_Gem,HR_2426
HD_210056 - bet_Hyi - lam_Tuc - bet_Hyi - kap_Hyi,3,2,5,106,bet_Hyi,faint,HD_210056,lam_Tuc,kap_Hyi,bet_Hyi,bet_Hyi,HD_210056,bet_Hyi,lam_Tuc,bet_Hyi,kap_Hyi
HD141589 - HD142860 - HD141827 - HD142860 - HD143896,3,2,5,106,HD142860,faint,HD141589,HD141827,HD143896,HD142860,HD142860,HD141589,HD142860,HD141827,HD142860,HD143896
HD_65181 - rho_Pup - HD_70942 - rho_Pup - HR_3317,3,2,5,106,rho_Pup,faint,HD_65181,HD_70942,HR_3317,rho_Pup,rho_Pup,HD_65181,rho_Pup,HD_70942,rho_Pup,HR_3317
HD178665 - HD182572 - HD178596 - HD182572 - HD186202,3,2,5,106,HD182572,faint,HD178665,HD178596,HD186202,HD182572,HD182572,HD178665,HD182572,HD178596,HD182572,HD186202
HD142443 - HD141004 - HD142862 - HD141004 - HD143129,3,2,5,106,HD141004,faint,HD142443,HD142862,HD143129,HD141004,HD141004,HD142443,HD141004,HD142862,HD141004,HD143129
HD_30519 - pi3_Ori - HD_30507 - pi3_Ori - HR_1618,3,2,5,106,pi3_Ori,faint,HD_30519,HD_30507,HR_1618,pi3_Ori,pi3_Ori,HD_30519,pi3_Ori,HD_30507,pi3_Ori,HR_1618
HR_8809 - zet_Tuc - HD_68 - zet_Tuc - HD_323,3,2,5,106,zet_Tuc,faint,HR_8809,HD_68,HD_323,zet_Tuc,zet_Tuc,HR_8809,zet_Tuc,HD_68,zet_Tuc,HD_323
