HD_ID,Primary,bad_vis2_frac,cal_name_from_file,diagnosis,filename,flagged_frac,input_Quality,median_vis2,n_finite,n_flagged,n_good,n_total,reason,reduced_chi2,robust_scatter,std_vis2
HD42747,HD42747,0.0,HD42747,OK,2021-02-18_SCI_HD42747_oidataCalibrated_00.fits,0.0,GOOD,0.7297199186742966,36,0,36,36,No obvious problem detected,2.0192376095825524,0.08421951828515359,0.08856747654313468
HD59936,HD59936,0.0,HD59936,OK,2021-02-18_SCI_HD59936_oidataCalibrated_00.fits,0.0,GOOD,0.7911763081885168,36,0,36,36,No obvious problem detected,0.567259181544455,0.05886451233958668,0.08126362410225965
HD63734,HD63734,0.0,HD__63734,OK,2021-02-18_SCI_HD__63734_oidataCalibrated_00.fits,0.0,GOOD,0.8854415537837717,36,0,36,36,No obvious problem detected,0.5529769832543838,0.05066681601292422,0.08733797539901231
HD63241,HD63241,0.0,HD63241,OK,2021-02-26_SCI_HD63241_oidataCalibrated_00.fits,0.0,GOOD,0.8114584405262641,36,0,36,36,No obvious problem detected,0.7690402930400176,0.014607886872644624,0.11617260585531582
HD61421,alfCMi,0.0,alf_CMi,CHECK,2021-02-26_SCI_alf_CMi_oidataCalibrated_00.fits,0.0,GOOD,0.030248420742693266,72,0,72,72,Large reduced chi2 around smooth curve,567.1336227120146,0.018814699352344078,0.14926105664862546
HD76437,HD76437,0.0,HD76437,OK,2021-03-05_SCI_HD76437_oidataCalibrated_00.fits,0.0,GOOD,0.8950075559685742,36,0,36,36,No obvious problem detected,0.7897069973762346,0.030034006848426994,0.05315929410404463
HD84369,HD84369,0.0,HD84369,OK,2021-03-05_SCI_HD84369_oidataCalibrated_00.fits,0.0,GOOD,0.9165008753519203,36,0,36,36,No obvious problem detected,0.9039564917591204,0.03145658183154065,0.041256123404331
HD82434,psiVel,0.0,psi_Vel,OK,2021-03-05_SCI_psi_Vel_oidataCalibrated_00.fits,0.0,GOOD,0.8154327441100759,72,0,72,72,No obvious problem detected,1.1655614200075683,0.02598328053190499,0.07819281801290634
HD210056,HD210056,0.0,HD210056,OK,2021-09-11_SCI_HD210056_oidataCalibrated_00.fits,0.0,GOOD,0.8962623198677775,36,0,36,36,No obvious problem detected,3.7253960526033625,0.04712810071347486,0.08450246520103635
HD2151,betHyi,0.0,bet_Hyi,OK,2021-09-11_SCI_bet_Hyi_bad_oidataCalibrated_00.fits,0.0,GOOD,0.46786785560189825,72,0,72,72,No obvious problem detected,0.3384205593840272,0.007056603531275493,0.2364356776577948
HD79810,HD79810,0.0,HD79810,OK,2022-01-06_SCI_HD79810_oidataCalibrated_00.fits,0.0,GOOD,0.8333035403458331,36,0,36,36,No obvious problem detected,1.0099631640471736,0.018908417871815776,0.05696847844624831
HD84900,HD84900,0.0,HD84900,OK,2022-01-06_SCI_HD84900_oidataCalibrated_00.fits,0.0,GOOD,0.99043645216493,36,0,36,36,No obvious problem detected,0.6289028201196969,0.024820758752278082,0.059250490733252045
HD82434,psiVel,0.0,psi_Vel_A,OK,2022-01-06_SCI_psi_Vel_A_oidataCalibrated_00.fits,0.0,GOOD,0.9622402453059675,72,0,72,72,No obvious problem detected,0.4342700596815008,0.016029815091854267,0.09519568987805618
HD47156,HR2426,0.0,HR2426,OK,2022-02-26_SCI_HR2426_oidataCalibrated_00.fits,0.0,GOOD,0.8158326419632735,36,0,36,36,No obvious problem detected,6.156051924127448,0.07573011076866376,0.16193552620598664
HD48737,ksiGem,0.0,ksi_Gem,OK,2022-02-26_SCI_ksi_Gem_oidataCalibrated_00.fits,0.0,GOOD,0.7621176651291015,72,0,72,72,No obvious problem detected,6.412911262035215,0.057083335662611985,0.1875816018106249
HD47156,HR2426,0.0,HR2426,OK,2022-03-01_SCI_HR2426_oidataCalibrated_00.fits,0.0,GOOD,0.763273229266126,36,0,36,36,No obvious problem detected,0.47346746470467377,0.03589934410728849,0.16628077862517132
HD48737,ksiGem,0.0,ksi_Gem,OK,2022-03-01_SCI_ksi_Gem_oidataCalibrated_00.fits,0.0,GOOD,0.7230496736489287,72,0,72,72,No obvious problem detected,0.2046909134066933,0.019912465926050775,0.17912371492010254
HD121981,HD121981,0.0,HD121981,OK,2022-03-31_SCI_HD121981_oidataCalibrated_00.fits,0.0,GOOD,0.8416193313050044,36,0,36,36,No obvious problem detected,0.8796148801684021,0.02382376163824345,0.029774034036557304
HD123255,HD123255,0.0,HD123255,OK,2022-03-31_SCI_HD123255_oidataCalibrated_00.fits,0.0,GOOD,0.9392891397463506,36,0,36,36,No obvious problem detected,0.11587727089575539,0.015592320557755555,0.018820400512231727
HD125490,HD125490,0.0,HD125490,OK,2022-03-31_SCI_HD125490_oidataCalibrated_00.fits,0.0,GOOD,0.8963479791252058,36,0,36,36,No obvious problem detected,0.05979431284339679,0.012252972986757074,0.04311743046843354
HD139610,HD139610,0.0,HD139610,OK,2022-03-31_SCI_HD139610_oidataCalibrated_00.fits,0.0,GOOD,0.9118095578378388,36,0,36,36,No obvious problem detected,0.06796370022895173,0.005254765739213308,0.023762732252606583
HD142443,HD142443,0.0,HD142443,OK,2022-03-31_SCI_HD142443_oidataCalibrated_00.fits,0.0,GOOD,0.925216807557423,36,0,36,36,No obvious problem detected,0.14620766247835681,0.008113848390244724,0.03619723339022945
HD142639,HD142639,0.0,HD142639,OK,2022-03-31_SCI_HD142639_oidataCalibrated_00.fits,0.0,GOOD,0.9089283492243021,36,0,36,36,No obvious problem detected,0.07759961436877681,0.0061404229791671705,0.01621541576632317
HD142443,HD142443,0.0,HD142443,OK,2022-04-02_SCI_HD142443_oidataCalibrated_00.fits,0.0,GOOD,0.9082439019771147,36,0,36,36,No obvious problem detected,0.1667561657979405,0.009803780067370047,0.03259529255259645
HD142862,HD142862,0.0,HD142862,OK,2022-04-02_SCI_HD142862_oidataCalibrated_00.fits,0.0,GOOD,0.9000536412901774,36,0,36,36,No obvious problem detected,0.19766721186103922,0.007118195713948762,0.026022596885308752
HD143129,HD143129,0.0,HD143129,OK,2022-04-02_SCI_HD143129_oidataCalibrated_00.fits,0.0,GOOD,0.9179092871087386,36,0,36,36,No obvious problem detected,0.13728298157430588,0.009662373856837313,0.024002261850058354
HD122135,HD122135,0.0,HD122135,OK,2022-04-03_SCI_HD122135_oidataCalibrated_00.fits,0.0,GOOD,0.8938806262363683,36,0,36,36,No obvious problem detected,0.2143270358142591,0.011891373747286176,0.05386911081221889
HD125183,HD125183,0.0,HD125183,OK,2022-04-03_SCI_HD125183_oidataCalibrated_00.fits,0.0,GOOD,0.8643581479999787,36,0,36,36,No obvious problem detected,0.34234433560803434,0.011931844303664405,0.04381684452584606
HD125490,HD125490,0.0,HD125490,OK,2022-04-03_SCI_HD125490_oidataCalibrated_00.fits,0.0,GOOD,0.8953419112263499,36,0,36,36,No obvious problem detected,0.4289810065178141,0.0150172241110855,0.026229366776983783
HD141589,HD141589,0.0,HD141589,OK,2022-04-03_SCI_HD141589_oidataCalibrated_00.fits,0.0,GOOD,0.9173996141411978,36,0,36,36,No obvious problem detected,0.3157136459413304,0.014162451919599651,0.04253008956739294
HD141827,HD141827,0.0,HD141827,OK,2022-04-03_SCI_HD141827_oidataCalibrated_00.fits,0.0,GOOD,0.8734160955712045,36,0,36,36,No obvious problem detected,0.11599609065822013,0.007342944373200525,0.04861809132235528
HD143896,HD143896,0.0,HD143896,OK,2022-04-03_SCI_HD143896_oidataCalibrated_00.fits,0.0,GOOD,0.8742289961429334,36,0,36,36,No obvious problem detected,0.26077302983154343,0.01056405824082292,0.029049865037382775
