HD_ID,Primary,cal_name_from_file,diagnosis,filename,flagged_frac,input_Quality,n_flagged,n_good,n_total
HD142639,HD142639,HD142639,OK,2022-03-31_SCI_HD142639_oidataCalibrated_00.fits,0.0,GOOD,0,36,36
HD142443,HD142443,HD142443,OK,2022-04-02_SCI_HD142443_oidataCalibrated_00.fits,0.0,GOOD,0,36,36
HD142862,HD142862,HD142862,OK,2022-04-02_SCI_HD142862_oidataCalibrated_00.fits,0.0,GOOD,0,36,36
HD143129,HD143129,HD143129,OK,2022-04-02_SCI_HD143129_oidataCalibrated_00.fits,0.0,GOOD,0,36,36
HD122135,HD122135,HD122135,OK,2022-04-03_SCI_HD122135_oidataCalibrated_00.fits,0.0,GOOD,0,36,36
HD125183,HD125183,HD125183,OK,2022-04-03_SCI_HD125183_oidataCalibrated_00.fits,0.0,GOOD,0,36,36
HD125490,HD125490,HD125490,OK,2022-04-03_SCI_HD125490_oidataCalibrated_00.fits,0.0,GOOD,0,36,36
HD141589,HD141589,HD141589,OK,2022-04-03_SCI_HD141589_oidataCalibrated_00.fits,0.0,GOOD,0,36,36
HD141827,HD141827,HD141827,OK,2022-04-03_SCI_HD141827_oidataCalibrated_00.fits,0.0,GOOD,0,36,36
HD143896,HD143896,HD143896,OK,2022-04-03_SCI_HD143896_oidataCalibrated_00.fits,0.0,GOOD,0,36,36
