HD_ID,Primary,Quality,Science,calibrator_position,input_name
HD81134,HR3729,,True,1,HR_3729
HD63241,HD63241,,True,1,HD_63241
HD125183,HD125183,,True,1,HD125183
HD143257,HD143257,,True,1,HD143257
HD223292,HD223292,,True,1,HD_223292
HD47156,HR2426,,True,1,HR_2426
HD4332,HD4332,,True,1,HD_4332
HD32263,HR1618,,True,1,HR_1618
HD63734,HD63734,,True,1,HD  63734
HD139610,HD139610,,True,1,HD139610
HD65491,HD65491,,True,1,HD_65491
HD68,HD68,,True,1,HD_68
HD40235,HR2090,,True,1,HR_2090
HD64181,HR3069,,True,1,HR_3069
HD123255,HD123255,,True,1,HD123255
HD1367,HR67,,True,1,HR_67
HD4849,HR2391,,True,1,HR_2391
HD5457,lamTuc,,True,1,lam_Tuc
HD141827,HD141827,,True,1,HD141827
HD70942,HD70942,,True,1,HD_70942
HD178596,HD178596,,True,1,HD178596
HD142862,HD142862,,True,1,HD142862
HD30507,HD30507,,True,1,HD_30507
