,,,,,,,,Identifiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tycho,,,,,,,2MASS,,,,,,,,,,,,,,,,ALLWISE,,,,,,,,,,,,,,,,,,,,Colours,,,,Gaia,,,,,,,,,,,,,,,,,,JSDC,,,,,Quality/paper,,,,,,,,,,,,,,,,,,,,,
Period,Science,Sequence,Dup_tar,Primary,Ref_ID_1,Ref_ID_2,Ref_ID_3,HD_ID,Bayer_ID,Tycho_ID,2MASS_ID,ALLWISE,GaiaDR2_ID,GaiaDR3_ID,HP,,SpT,SpT_q,SpT_simple,Teff,e_teff,logg,e_logg,FeH_abs,FeH_rel,e_FeH_rel,vtur,e_vtur,vsini,teff_source,teff_bib_ref,logg_source,logg_bib_ref,feh_source,feh_bib_ref,vsini_source,vsini_bib_ref,Hpmag,e_Hpmag,BTmag,e_BTmag,VTmag,e_VTmag,tyc_notes,Jmag,Jcmsig,e_Jmag,Jsnr,Hmag,Hcmsig,e_Hmag,Hsnr,Kmag,Kcmsig,e_Kmag,Ksnr,Qflg,Cflg,Prox,2MASS_notes,ALLWISE_ID,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,snr1,snr2,snr3,snr4,sat1,sat2,sat3,sat4,ccf,qph,ALLWISE_confidence,J-K,BT-VT,W1-W4,W3-W4,RA,DEC,Plx,e_Plx,PmRA,PmDEC,Dup,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Dist,Gaia_comment,Plx_alt,e_Plx_alt,alt_plx_source,JSDC_LDD,e_JSDC_LDD,LDDCHI,CAlFlag,LDD_rel,Quality,Quality_reason,exclusion_reason,in_paper,Comments,,,,,,,,,,,,,,,,,
104,FALSE,Faint,FALSE,HD_323,,,,HD323,,TYC 8846-1469-1,2MASS J00074097-6555566,J000747.13-655555.5,4707800725017906816,4707800725017906816,HD323,2MASS J00074097-6555566,K1/2III,D,K1III,,,,,,,,,,,,,,,,,,,6.9943,0.001,8.329,0.015,6.948,0.01,,5.222,0.27,0.27,337777,4.442,0.266,0.266,286490,4.442,0.378,0.378,156538,DDD,d00,18.1,,J000747.13-655555.5,11.619, 0.021,11.715, 0.022,11.708, 0.215, 9.195,      ,   52.3,   50.3,    5.1,    -0.8, 0.000, 0.000, 0.000, 0.000,dDD0,AABU,,0.78,1.381,2.424,2.513,1.920990143,-65.93268523,6.863113763,0.023530008,29.36627295,-57.36859978,FALSE,6.5222397,1.36E-04,7.0806174,0.001103816,5.815854,8.73E-04,145.7064584,,6.925492115,0.022844367,Gaia DR2,0.645752,0.080955,0.0721073,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,FALSE,Bright,FALSE,HD_220757,,,,HD220757,HD_220757,TYC 8838-655-1,2MASS J23265880-5825260,J232658.92-582526.4,6489536331165022720,6489536331165022720,HD220757,2MASS J23265880-5825260,K3IIICNII,C,K3III,,,,,,,,,,,,,,,,,,,7.293,9.00E-04,8.77,0.016,7.271,0.01,,5.105,0.011,0.02,295413,4.593,0.031,0.034,209754,4.403,0.021,0.026,141325,AEA,000,25.5,,J232658.92-582526.4, 4.277, 0.290, 4.128, 0.160, 4.295, 0.016, 4.259, 0.030,    3.7,    6.8,   68.1,    36.6, 0.217, 0.214, 0.000, 0.000,hh00,BBAA,,0.702,1.499,0.018,0.036,351.7459191,-58.42406074,6.415963143,0.015847173,87.36900329,-56.5755535,FALSE,6.762232,2.63E-04,7.371906,0.00148014,6.020271,7.17E-04,155.8612445,,6.37970125,0.032108541,Gaia DR2,0.677278,0.015898,0.689734,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,FALSE,Bright,FALSE,HD_8025,,,,HD8025,,TYC 8855-176-1,2MASS J01175089-6706377,J011751.07-670637.4,4704632825860884864,4704632825860884864,HD8025,2MASS J01175089-6706377,K2III,C,K2III,,,,,,,,,,,,,,,,,,,7.4471,0.0011,8.813,0.017,7.415,0.01,,5.321,0.017,0.024,287760,4.747,0.001,0.015,208982,4.59,0.013,0.02,111025,AEA,000,41.7,,J011751.07-670637.4, 4.537, 0.297, 4.326, 0.150, 4.559, 0.015, 4.500, 0.028,    3.7,    7.2,   70.3,    38.8, 0.212, 0.211, 0.000, 0.002,0000,BBAA,,0.731,1.398,0.037,0.059,19.4631491,-67.11039147,6.075469068,0.013897473,87.00155201,20.47682657,FALSE,6.952502,1.41E-04,7.5325823,8.84E-04,6.231647,5.06E-04,164.5963445,,6.0561789,0.019471926,Gaia DR2,0.612581,0.013524,0.202367,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,TRUE,Both,FALSE,pi3_Ori,,,,HD30652,pi3 Ori,TYC   96-1462-1,2MASS J04495040+0657409,J044950.73+065740.6,3288921720024442496,3288921720025503360,HD30652,2MASS J04495040+0657409,F6V,B,F6V,6420,,4.24,,7.43,-0.02,,,,17,,,,,,,,,3.2862,5.00E-04,3.723,0.014,3.222,0.009,,1.984,0.246,0.246,1000000,1.757,0.132,0.132,1000000,1.6,0.196,0.196,1000000,DBC,000,54.4,,J044950.73+065740.6,-0.029,      , 0.222,      , 2.136, 0.012, 2.090, 0.018,    0.3,    1.0,   87.6,    61.0, 0.258, 0.262, 0.224, 0.000,hh00,UUAA,,0.384,0.501,-2.119,0.046,72.46212402,6.961331009,124.6198014,0.22457013,463.9544035,11.93700994,FALSE,3.0879216,0.001378402,3.513966,0.018047835,2.7081478,0.00646217,8.024406945,,124.3489444,0.391210406,Gaia DR2,1.986537,0.165749,0.0110319,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,FALSE,Both,FALSE,HR_1618,HR1618,,,HD32263,HR_1618,TYC   98-2442-1,2MASS J05015035+0043194,J050150.36+004319.2,3228620241748261248,3228620241748261248,HD32263,2MASS J05015035+0043194,K2III,C,K2III,,,,,,,,,,,,,,,,,,,6.0798,7.00E-04,7.571,0.016,6.053,0.01,,4.076,0.296,0.296,578136,3.363,0.256,0.256,587097,3.193,0.282,0.282,375163,DDD,000,30.6,,J050150.36+004319.2, 2.178,      , 2.816, 0.427, 2.987, 0.015, 2.958, 0.025,    1.8,    2.5,   74.1,    43.2, 0.269, 0.262, 0.086, 0.000,0h00,UCAA,,0.883,1.518,-0.78,0.029,75.45982149,0.722005518,6.30699168,0.03755106,4.193308171,-23.35728801,FALSE,5.536574,3.78E-04,6.171937,7.20E-04,4.772403,0.001687219,158.5541968,,6.374209313,0.063521473,Gaia DR2,1.136671,0.112537,0.071317,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,FALSE,Faint,FALSE,HD_30519,HD30519,,,HD30519,,TYC   92-662-1,2MASS J04483532+0536203,J044835.29+053620.1,3281926386530182016,3281926386530182016,HD30519,2MASS J04483532+0536203,K2,E,K2,,,,,,,,,,,,,,,,,,,,,10.014,0.03,8.076,0.013,,4.96,0.013,0.021,294056,4.001,0.214,0.214,337684,3.831,0.264,0.264,201382,ECD,000,28.4,,J044835.29+053620.1, 3.872, 0.331, 3.730, 0.211, 3.859, 0.014, 3.741, 0.026,    3.3,    5.1,   79.7,    41.8, 0.240, 0.241, 0.000, 0.000,0000,BBAA,,1.129,1.938,0.131,0.118,72.14701569,5.605487436,2.664009999,0.020458207,-16.28459617,-21.47293758,FALSE,7.2179465,2.73E-04,8.15899,0.001022948,6.25846,6.07E-04,375.3739665,,2.65334951,0.0369246,Gaia DR2,0.935338,0.083056,0.131219,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,FALSE,Faint,FALSE,HD_30507,HD30507,,,HD30507,,TYC  683-1211-1,2MASS J04484104+0750239,J044840.99+075024.1,3289226319105159680,3289226319105159680,HD30507,2MASS J04484104+0750239,K5,E,K5,,,,,,,,,,,,,,,,,,,7.2221,0.0019,9.074,0.018,7.268,0.011,,4.75,0.24,0.24,486889,3.828,0.248,0.248,487203,3.697,0.256,0.256,344842,DDD,000,35.3,,J044840.99+075024.1, 3.451, 0.457, 3.179, 0.244, 3.369, 0.012, 3.321, 0.022,    2.4,    4.4,   91.2,    48.3, 0.265, 0.251, 0.052, 0.000,0000,CBAA,,1.053,1.806,0.13,0.048,72.17098123,7.840085772,3.961297917,0.019652126,-8.187677486,24.90550535,FALSE,6.517604,2.36E-04,7.3538003,7.23E-04,5.617716,0.001480342,252.4425127,,3.926422034,0.038820403,Gaia DR2,0.982259,0.084756,0.191503,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,FALSE,Bright,FALSE,HR_1534,HR1534,,,HD30545,,TYC   88-1394-1,2MASS J04484463+0335185,J044844.60+033518.8,3233387552368554624,3233387552369507840,HD30545,2MASS J04484463+0335185,K0III,C,K0III,,,,,,,,,,,,,,,,,,,6.2058,5.00E-04,7.58,0.015,6.163,0.01,,3.956,0.228,0.228,767414,3.272,0.214,0.214,684085,3.138,0.218,0.218,394657,DCD,000,44.8,,J044844.60+033518.8, 2.609,      , 3.095, 0.320, 3.289, 0.013, 3.220, 0.017,    2.0,    3.4,   85.5,    65.1, 0.267, 0.252, 0.060, 0.000,0000,UBAA,,0.818,1.417,-0.611,0.069,72.18592946,3.588457171,3.648022252,0.0374785,-1.211043304,-16.5523056,FALSE,5.696211,3.33E-04,6.2915945,8.04E-04,4.959854,0.001201736,274.1211349,,3.69194612,0.067819776,Gaia DR2,1.181386,0.091425,0.0427084,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,FALSE,Bright,FALSE,HR_1681,HR1681,,,HD33419,,TYC 4751-1642-1,2MASS J05100325-0033551,J051003.24-003355.5,3227451563968485376,3227451563968485376,HD33419,2MASS J05100325-0033551,K1III,C,K1III,,,,,,,,,,,,,,,,,,,6.2749,0.001,7.515,0.016,6.225,0.01,,4.389,0.232,0.232,612111,3.73,0.202,0.202,480740,3.692,0.284,0.284,301731,DCD,000,25.8,,J051003.24-003355.5, 3.654, 0.381, 3.464, 0.168, 3.602, 0.013, 3.539, 0.024,    2.9,    6.4,   81.8,    45.5, 0.249, 0.242, 0.027, 0.000,HHH0,CBAA,,0.697,1.29,0.115,0.063,77.51359871,-0.565544958,8.763768255,0.04044942,1.943834919,-50.18059007,FALSE,5.8143315,3.37E-04,6.34866,8.13E-04,5.1262264,0.001686775,114.1061665,,8.740792691,0.055434316,Gaia DR2,0.915529,0.087128,0.033679,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,TRUE,Both,FALSE,gam_Lep,,,,HD38393,gam Lep,TYC 5930-2197-1,2MASS J05442780-2226538,J054428.81-222713.3,2964000159820118400,2964000159821218432,HD38393,2MASS J05442780-2226538,F6V,C,F6V,6386,,4.345,,7.3,-0.15,,,,15,,,,,,,,,3.6977,4.00E-04,4.162,0.014,3.638,0.009,,2.804,0.276,0.276,1000000,2.606,0.236,0.236,1000000,2.508,0.228,0.228,755475,DDD,000,52.2,,J054428.81-222713.3, 9.561, 0.032, 9.258, 0.031, 8.855, 0.042, 5.577, 0.042,   33.9,   35.5,   26.1,    25.8, 0.000, 0.000, 0.000, 0.000,DDHd,AAAA,,0.296,0.524,3.984,3.278,86.11439123,-22.45002336,112.2960282,0.14516802,-291.7567767,-368.5208158,FALSE,3.476823,0.001116125,3.796859,0.008292537,3.0440361,0.001678504,8.905034452,,112.6108838,0.316218227,Gaia DR2,1.273062,0.118316,0.00373541,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
