,,,,,,,,Identifiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tycho,,,,,,,2MASS,,,,,,,,,,,,,,,,ALLWISE,,,,,,,,,,,,,,,,,,,,Colours,,,,Gaia,,,,,,,,,,,,,,,,,,JSDC,,,,,Quality/paper,,,,,,,,,,,,,,,,,,,,,
Period,Science,Sequence,Dup_tar,Primary,Ref_ID_1,Ref_ID_2,Ref_ID_3,HD_ID,Bayer_ID,Tycho_ID,2MASS_ID,ALLWISE,GaiaDR2_ID,GaiaDR3_ID,HP,,SpT,SpT_q,SpT_simple,Teff,e_teff,logg,e_logg,FeH_abs,FeH_rel,e_FeH_rel,vtur,e_vtur,vsini,teff_source,teff_bib_ref,logg_source,logg_bib_ref,feh_source,feh_bib_ref,vsini_source,vsini_bib_ref,Hpmag,e_Hpmag,BTmag,e_BTmag,VTmag,e_VTmag,tyc_notes,Jmag,Jcmsig,e_Jmag,Jsnr,Hmag,Hcmsig,e_Hmag,Hsnr,Kmag,Kcmsig,e_Kmag,Ksnr,Qflg,Cflg,Prox,2MASS_notes,ALLWISE_ID,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,snr1,snr2,snr3,snr4,sat1,sat2,sat3,sat4,ccf,qph,ALLWISE_confidence,J-K,BT-VT,W1-W4,W3-W4,RA,DEC,Plx,e_Plx,PmRA,PmDEC,Dup,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Dist,Gaia_comment,Plx_alt,e_Plx_alt,alt_plx_source,JSDC_LDD,e_JSDC_LDD,LDDCHI,CAlFlag,LDD_rel,Quality,Quality_reason,exclusion_reason,in_paper,Comments,,,,,,,,,,,,,,,,,
104,FALSE,Faint,FALSE,HD_38579,,,,HD38579,,TYC 6490-860-1,2MASS J05455468-2308251,J054554.73-230825.3,2915911506950114944,2915911506950114944,HD38579,2MASS J05455468-2308251,K1/2III,D,K1III,,,,,,,,,,,,,,,,,,,7.2179,6.00E-04,8.693,0.015,7.184,0.009,,5.325,0.246,0.246,276968,4.482,0.224,0.224,248949,4.152,0.029,0.033,172036,DDE,000,37.7,,J054554.73-230825.3, 4.145, 0.263, 3.994, 0.105, 4.100, 0.014, 4.048, 0.025,    4.1,   10.3,   74.9,    42.9, 0.236, 0.226, 0.000, 0.000,0000,BAAA,,1.173,1.509,0.097,0.052,86.47797887,-23.1404664,3.355202839,0.016746825,23.52198265,-37.7320029,FALSE,6.6837554,1.11E-04,7.3112783,3.72E-04,5.9251933,3.97E-04,298.0445738,,3.272296327,0.027246592,Gaia DR2,0.684535,0.056868,0.609293,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,FALSE,Faint,FALSE,HD_39913,,,,HD39913,,TYC 5943-614-1,2MASS J05544439-2116491,J055444.41-211649.4,2917736661894565504,2917736661894565504,HD39913,2MASS J05544439-2116491,K4III,C,K4III,,,,,,,,,,,,,,,,,,,,,9.798,0.021,7.967,0.011,,5.402,0.256,0.256,209715,4.404,0.248,0.248,217425,4.057,0.033,0.036,169286,DDE,0d0,20.8,,J055444.41-211649.4, 4.014, 0.296, 3.850, 0.159, 3.971, 0.013, 3.883, 0.021,    3.7,    6.8,   80.5,    52.8, 0.243, 0.239, 0.000, 0.000,HHH0,BBAA,,1.345,1.831,0.131,0.088,88.68498173,-21.28035195,1.77082672,0.016854461,3.12121681,5.604483766,TRUE,7.199474,2.29E-04,8.048441,9.44E-04,6.2954063,9.14E-04,564.7079914,,1.705941886,0.039655579,Gaia DR2,0.777583,0.067084,0.5915,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,FALSE,Faint,FALSE,HR_2090,,,,HD40235,,TYC 6491-1059-1,2MASS J05563443-2312551,J055634.46-231254.8,2916449786611527936,2916449786611527936,HD40235,2MASS J05563443-2312551,K0III,C,K0III,,,,,,,,,,,,,,,,,,,6.5335,6.00E-04,7.726,0.015,6.48,0.009,,4.832,0.274,0.274,379866,4.13,0.22,0.22,289674,4.04,0.236,0.236,178000,DDD,00d,21.2,,J055634.46-231254.8, 3.844, 0.327, 3.638, 0.176, 3.827, 0.016, 3.775, 0.027,    3.3,    6.2,   68.7,    40.3, 0.247, 0.235, 0.003, 0.003,h000,BBAA,,0.792,1.246,0.069,0.052,89.14356166,-23.21518063,6.861242602,0.018749889,13.81678558,29.4476809,FALSE,6.0745955,1.55E-04,6.6079698,6.29E-04,5.3831077,9.94E-04,145.7461947,,6.835059424,0.026005564,Gaia DR2,0.744197,0.06845,0.104117,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,TRUE,Both,FALSE,HR_2998,,,,HD62644,,TYC 8134-800-1,2MASS J07425710-4510227,J074257.00-451029.2,5531762678610961664,5531762678610961664,HD62644,2MASS J07425710-4510227,G8IV-V,C,G8IV,5490,,3.816,,7.46,0.01,,,,4.3,,,,,,,,,5.1867,5.00E-04,5.984,0.014,5.126,0.009,,3.681,0.308,0.308,1000000,3.159,0.232,0.232,759119,3.116,0.282,0.282,462402,DDD,000,29.7,,J074257.00-451029.2, 2.410,      , 2.999, 0.422, 3.232, 0.013, 3.198, 0.018,    1.7,    2.6,   82.0,    59.1, 0.237, 0.224, 0.056, 0.000,0h00,UCAA,,0.565,0.858,-0.788,0.034,115.7374002,-45.17557766,42.8213184,0.3774877,-79.01241779,-554.0045734,FALSE,4.83457,7.68E-04,5.2295985,8.06E-04,4.2804937,0.003288681,23.35285408,,44.49707787,0.290544723,Gaia DR2,1.118454,0.115056,0.0122689,2,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,FALSE,Both,FALSE,HR_3069,,,,HD64181,,TYC 7658-4075-1,2MASS J07504252-4434478,J075042.51-443447.6,5531393311425150080,5531393311425150080,HD64181,2MASS J07504252-4434478,G6III,C,G6III,,,,,,,,,,,,,,,,,,,6.6142,0.001,7.588,0.015,6.557,0.01,,4.911,0.216,0.216,318442,4.312,0.22,0.22,244968,4.346,0.021,0.026,143886,CDE,000,43.2,,J075042.51-443447.6, 4.309, 0.370, 3.961, 0.186, 4.314, 0.016, 4.274, 0.027,    2.9,    5.8,   69.4,    39.5, 0.212, 0.220, 0.000, 0.000,0000,CBAA,,0.565,1.031,0.035,0.04,117.6770512,-44.57988743,5.365693411,0.13545476,-11.53412505,13.11582085,FALSE,6.227515,2.06E-04,6.670638,9.85E-04,5.613934,8.01E-04,186.3692021,,4.197878119,0.168001584,Gaia DR2,0.642664,0.048171,0.101762,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,FALSE,Faint,FALSE,HD_61574,,,,HD61574,,TYC 7656-183-1,2MASS J07380139-4338291,J073801.36-433829.1,5535060526299103360,5535060526299103360,HD61574,2MASS J07380139-4338291,K2/3III,D,K2III,,,,,,,,,,,,,,,,,,,8.131,0.0017,9.739,0.021,8.122,0.012,,5.595,0.015,0.023,169602,4.992,0.308,0.308,130951,4.769,0.007,0.016,97458.6,ADA,000,31.3,,J073801.36-433829.1, 4.693, 0.248, 4.559, 0.094, 4.701, 0.014, 4.638, 0.026,    4.4,   11.6,   75.7,    41.9, 0.210, 0.192, 0.000, 0.000,0d00,BAAA,,0.826,1.617,0.055,0.063,114.5057304,-43.64137692,1.968803535,0.089352,-5.101040506,12.14349907,FALSE,7.5378666,1.97E-04,8.237202,7.71E-04,6.7275305,4.86E-04,507.9226962,,2.225204624,0.113959747,Gaia DR2,0.582233,0.059884,0.00649796,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,FALSE,Faint,FALSE,HD_65187,,,,HD65187,,TYC 8135-4356-1,2MASS J07552574-4639570,J075525.77-463957.0,5518933920537919232,5518933920537919232,HD65187,2MASS J07552574-4639570,K3III,C,K3III,,,,,,,,,,,,,,,,,,,7.9743,0.001,9.619,0.02,7.956,0.011,,5.532,0.037,0.041,199356,4.922,0.011,0.018,149662,4.681,0.011,0.018,109401,AAA,000,15.4,,J075525.77-463957.0, 4.570, 0.263, 4.444, 0.116, 4.618, 0.015, 4.537, 0.027,    4.1,    9.4,   72.6,    39.7, 0.208, 0.210, 0.000, 0.000,0000,BBAA,,0.851,1.663,0.033,0.081,118.8572991,-46.66582185,1.257883172,0.015137916,-1.645739283,6.837457072,TRUE,7.3854656,1.84E-04,8.078862,8.16E-04,6.5839596,5.03E-04,794.9863882,,1.207035703,0.030252847,Gaia DR2,0.600807,0.014805,0.703343,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,FALSE,Bright,FALSE,HD_65491,,,,HD65491,,TYC 7658-3974-1,2MASS J07570752-4329022,J075707.45-432902.3,5533043777154969600,5533043777154969600,HD65491,2MASS J07570752-4329022,G8III,C,G8III,,,,,,,,,,,,,,,,,,,,,8.381,0.016,7.195,0.01,,5.315,0.001,0.017,252017,4.834,0.031,0.034,168000,4.639,0.011,0.018,113716,EEA,d00,17.1,,J075707.45-432902.3, 4.590, 0.285, 4.430, 0.123, 4.588, 0.016, 4.549, 0.025,    3.8,    8.8,   68.4,    42.9, 0.208, 0.207, 0.000, 0.000,0h00,BBAA,,0.676,1.186,0.041,0.039,119.2809154,-43.48394009,4.755823848,0.011632935,-64.58153486,-5.85055072,FALSE,6.8185053,1.30E-04,7.330923,5.35E-04,6.1451883,6.35E-04,210.2685112,,4.708385203,0.022995252,Gaia DR2,0.558576,0.013147,0.849357,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,FALSE,Bright,FALSE,HD_66162,,,,HD66162,,TYC 8135-4085-1,2MASS J08001499-4547359,J080014.94-454735.2,5519076444734072832,5519076444734072832,HD66162,2MASS J08001499-4547359,K0III,C,K0III,,,,,,,,,,,,,,,,,,,7.2313,0.001,8.408,0.017,7.193,0.01,,5.291,0.011,0.02,257650,4.765,0.075,0.076,185315,4.59,0.003,0.015,118965,EEE,000,15.6,,J080014.94-454735.2, 4.519, 0.249, 4.335, 0.159, 4.549, 0.014, 4.489, 0.025,    4.4,    6.8,   75.7,    43.6, 0.204, 0.210, 0.000, 0.000,HHH0,BBAA,,0.701,1.215,0.03,0.06,120.062065,-45.79298488,4.640980631,0.014589346,-62.70855867,75.80712281,FALSE,6.7848763,1.37E-04,7.306578,5.76E-04,6.1028085,8.13E-04,215.471703,,4.559059936,0.028819349,Gaia DR2,0.585487,0.018916,0.12257,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,TRUE,Both,FALSE,rho_Pup,,,,HD67523,rho Pup,TYC 6555-3245-1,2MASS J08073264-2418154,J080732.59-241814.8,5698015743040715264,5698015743046182272,HD67523,2MASS J08073264-2418154,F5IIkF2IImF5II,C,F5II,6346,,2.396,,7.535,0.085,,,,15,,,,,,,,,2.9157,0.0038,3.322,0.014,2.842,0.009,,2.171,0.316,0.316,1000000,2.084,0.208,0.208,1000000,2.022,0.254,0.254,1000000,DCD,000,50,,J080732.59-241814.8,-0.227,      ,-0.061,      , 1.961, 0.019, 1.856, 0.014,    0.3,    0.9,   58.7,    78.4, 0.264, 0.233, 0.232, 0.000,hh00,UUAA,,0.149,0.48,-2.083,0.105,121.88563,-24.30411555,51.39988628,0.2445377,-82.88573139,46.92999525,FALSE,2.7505891,0.002330039,3.302004,0.027607223,2.5121741,0.014427274,19.45529596,,49.67593342,0.540625041,Gaia DR2,1.588167,0.167906,0.00967187,4,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,FALSE,Faint,FALSE,HD_59936,,,,HD59936,,TYC 5987-557-1,2MASS J07313017-1930408,J073130.18-193040.7,5716554093201800832,5716554093201800832,HD59936,2MASS J07313017-1930408,K2III,C,K2III,,,,,,,,,,,,,,,,,,,7.6416,0.0014,9.535,0.02,7.719,0.011,,5.025,0.276,0.276,286702,3.955,0.272,0.272,340338,3.823,0.278,0.278,217380,DDD,00d,29.7,,J073130.18-193040.7, 3.523, 0.384, 3.348, 0.270, 3.515, 0.016, 3.399, 0.025,    2.8,    4.0,   69.9,    44.0, 0.245, 0.220, 0.043, 0.000,000d,CBAA,,1.202,1.816,0.124,0.116,112.875702,-19.51131061,0.717247949,0.018735778,-4.671678406,1.895464999,FALSE,6.894827,2.39E-04,7.7793765,7.32E-04,5.969451,7.60E-04,1394.217998,,0.660932565,0.030582374,Gaia DR2,0.899452,0.083878,0.366727,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,FALSE,Faint,FALSE,HD_63734,,,,HD63734,,TYC 5989-2854-1,2MASS J07494076-1930199,J074940.74-193019.8,5715806665811908608,5715806665811908608,HD63734,2MASS J07494076-1930199,K2III,C,K2III,,,,,,,,,,,,,,,,,,,6.6512,0.001,8.09,0.015,6.617,0.009,,4.821,0.258,0.258,456068,4.094,0.238,0.238,485635,3.945,0.236,0.236,208171,DDD,d00,24.2,,J074940.74-193019.8, 3.676, 0.409, 3.318, 0.283, 3.686, 0.015, 3.602, 0.023,    2.7,    3.8,   73.5,    46.3, 0.239, 0.224, 0.015, 0.000,0h00,CBAA,,0.876,1.473,0.074,0.084,117.4195494,-19.50558067,8.455784732,0.019284135,-61.13962304,-14.12844072,FALSE,6.107049,2.86E-04,6.713671,0.001410773,5.3635316,0.001098751,118.2622349,,8.378753048,0.029850024,Gaia DR2,0.793818,0.068972,0.128599,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
104,FALSE,Faint,FALSE,HR_3317,,,,HD71231,,TYC 6002-1632-1,2MASS J08253936-1726219,J082539.34-172621.6,5708283120053959808,5708283120053959808,HD71231,2MASS J08253936-1726219,K1III,C,K1III,,,,,,,,,,,,,,,,,,,6.6006,8.00E-04,8.055,0.016,6.56,0.01,,4.571,0.232,0.232,483092,3.873,0.256,0.256,379936,3.782,0.23,0.23,210678,DDD,000,22.2,,J082539.34-172621.6, 3.631, 0.465, 3.332, 0.220, 3.621, 0.014, 3.554, 0.025,    2.3,    4.9,   78.4,    43.4, 0.232, 0.209, 0.026, 0.000,0000,CBAA,,0.789,1.495,0.077,0.067,126.4139565,-17.43941411,4.428635845,0.023768242,-11.18796812,-1.523435566,FALSE,6.0866137,2.71E-04,6.692686,0.001185755,5.3441873,0.001030408,225.8031672,,4.341492767,0.033057157,Gaia DR2,0.877822,0.07571,0.0518675,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
105,TRUE,Both,FALSE,HD121370,HD121370,eta Boo,,HD121370,eta Boo,TYC 1470-1157-1,2MASS J13544106+1823514,J135441.04+182348.1,1244946371540223872,1244946371540479616,HD121370,2MASS J13544106+1823514,G0IV,B,G0IV,6155,,3.7889,,7.809,0.359,,,,18,,,,,,,,,2.7957,4.00E-04,3.38,0.014,2.719,0.009,,1.793,0.306,0.306,1000000,1.534,0.154,0.154,1000000,1.485,0.17,0.17,1000000,DBC,000,59.5,,J135441.04+182348.1,-0.845,      ,-0.226,      , 1.447, 0.021, 1.354, 0.013,    0.3,    0.7,   52.1,    81.0, 0.227, 0.205, 0.253, 0.000,hh00,UUAA,,0.308,0.661,-2.199,0.093,208.6708629,18.39612274,,,,,FALSE,2.5583582,0.002363747,3.2581592,0.030993014,2.357232,0.018708008,,,,,Gaia DR2,2.130985,0.218244,2.99E-04,4,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
105,FALSE,Faint,FALSE,HD118839,,,,HD118839,,TYC 1462-933-1,2MASS J13390229+1815553,J133902.25+181555.0,1247838327639170176,1247838327639170176,HD118839,2MASS J13390229+1815553,K2II-III,C,K2II,,,,,,,,,,,,,,,,,,,6.6273,9.00E-04,8.046,0.016,6.596,0.01,,4.845,0.218,0.218,416323,4.089,0.234,0.234,396561,4.037,0.232,0.232,243568,DDD,000,43.7,,J133902.25+181555.0, 3.667, 0.448, 3.448, 0.326, 3.654, 0.015, 3.574, 0.020,    2.4,    3.3,   71.8,    55.6, 0.205, 0.201, 0.024, 0.000,0000,CBAA,,0.808,1.45,0.093,0.08,204.7592999,18.26522508,5.621966094,0.021913556,-46.66669292,-21.37827992,FALSE,6.11211,1.98E-04,6.7168684,8.61E-04,5.3693085,0.001217937,177.8737159,,5.648509787,0.035808263,Gaia DR2,0.774226,0.061382,0.154339,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
105,FALSE,Faint,FALSE,HD120540,,,,HD120540,,TYC 1463-35-1,2MASS J13495080+1920494,J134950.79+192049.3,1248230990729296896,1248230990729296896,HD120540,2MASS J13495080+1920494,K0,E,K0,,,,,,,,,,,,,,,,,,,7.8031,0.0014,9.337,0.018,7.765,0.01,,5.501,0.003,0.017,212339,4.913,0.011,0.018,156210,4.773,0.009,0.017,115404,EAA,000,19.9,,J134950.79+192049.3, 4.671, 0.282, 4.651, 0.086, 4.753, 0.015, 4.665, 0.027,    3.8,   12.6,   73.0,    40.4, 0.200, 0.192, 0.000, 0.000,0000,BAAA,,0.728,1.572,0.006,0.088,207.4615209,19.34705662,5.028511286,0.024414243,-35.65801035,3.576579806,FALSE,7.2631035,1.72E-04,7.8957143,5.54E-04,6.5030274,5.31E-04,198.8660148,,5.017984949,0.049429804,Gaia DR2,0.562152,0.012061,0.0386078,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
105,TRUE,Both,FALSE,HD124850,HD124850,iot Vir,,HD124850,iot Vir,TYC 4982-1645-1,2MASS J14160086-0600016,J141600.87-060006.3,3640828731549668608,3640828731549972480,HD124850,2MASS J14160086-0600016,F7III,C,F7III,5935,,2.926,,6.921,-0.529,,,,17,,,,,,,,,4.1854,5.00E-04,4.677,0.014,4.126,0.009,,3.14,0.266,0.266,1000000,2.909,0.236,0.236,1000000,2.801,0.266,0.266,597063,DDD,000,30,,J141600.87-060006.3, 1.808,      , 1.564,      , 2.843, 0.008, 2.773, 0.017,    1.2,    1.5,  135.1,    63.4, 0.212, 0.201, 0.094, 0.000,0h00,UUAA,,0.339,0.551,-0.965,0.07,214.0034989,-6.002390926,45.4014348,0.28581938,-26.60604012,-414.8655858,FALSE,3.9420373,0.00254801,4.208345,0.001062914,3.4934862,0.007091684,22.02573563,,45.48879913,0.425639696,Gaia DR2,1.130461,0.101443,0.00504202,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
105,FALSE,Both,FALSE,HD125490,,,,HD125490,,TYC 4982-1647-1,2MASS J14195320-0644461,J141953.14-064446.4,3639919985189322624,3639919985189322624,HD125490,2MASS J14195320-0644461,K0III,C,K0III,,,,,,,,,,,,,,,,,,,6.5845,0.001,7.601,0.016,6.54,0.01,,5.077,0.284,0.284,292840,4.502,0.075,0.076,228092,4.305,0.013,0.02,149424,DEE,000,18.9,,J141953.14-064446.4, 4.220, 0.288, 4.010, 0.154, 4.254, 0.014, 4.204, 0.027,    3.8,    7.0,   78.6,    39.7, 0.180, 0.184, 0.000, 0.000,0000,BBAA,,0.772,1.061,0.016,0.05,214.9712613,-6.746276551,6.189869029,0.16800325,-89.95724694,-26.33929097,FALSE,6.192452,3.06E-04,6.647247,9.07E-04,5.5677137,0.001692703,161.5543068,,5.653941397,0.23268448,Gaia DR2,0.633068,0.060249,0.0865463,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
105,FALSE,Faint,FALSE,HD121981,,,,HD121981,,TYC 4974-103-1,2MASS J13585990-0655306,J135859.93-065531.5,3619637328551342208,3619637328551342208,HD121981,2MASS J13585990-0655306,G8IV/V,D,G8IV,,,,,,,,,,,,,,,,,,,7.1132,0.0012,8.213,0.017,7.065,0.011,,5.239,0.009,0.019,279789,4.864,0.075,0.076,187633,4.561,0.011,0.018,126480,EEA,0d0,65,,J135859.93-065531.5, 4.484, 0.308, 4.339, 0.136, 4.504, 0.015, 4.454, 0.024,    3.5,    8.0,   74.1,    44.7, 0.179, 0.184, 0.000, 0.000,0000,BBAA,,0.678,1.148,0.03,0.05,209.7497205,-6.925566714,7.049334162,0.020664195,17.68736114,-73.83597191,FALSE,6.680192,1.71E-04,7.1846256,5.72E-04,6.00963,6.29E-04,141.8573694,,7.102646182,0.038505214,Gaia DR2,0.563209,0.018236,1.04084,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
105,FALSE,Faint,FALSE,HD123255,,,,HD123255,,TYC 5554-1682-1,2MASS J14064283-0918486,J140642.74-091848.3,3615103045677755392,3615103045677755392,HD123255,2MASS J14064283-0918486,F2III,C,F2III,,,,,,,,,,,,,,,,,,,5.5468,5.00E-04,5.876,0.014,5.496,0.009,,4.84,0.033,0.037,432942,4.792,0.298,0.298,230202,4.599,0.005,0.016,122129,EDA,d00,23.6,,J140642.74-091848.3, 4.536, 0.309, 4.326, 0.122, 4.597, 0.015, 4.485, 0.029,    3.5,    8.9,   73.8,    37.1, 0.187, 0.192, 0.000, 0.000,0000,BBAA,,0.241,0.38,0.051,0.112,211.677797,-9.313497352,17.56269137,0.09936776,-140.6246265,4.02428795,FALSE,5.373695,8.87E-04,5.554564,0.001102925,5.062555,0.001949453,56.93888135,,17.50379603,0.147692693,Gaia DR2,0.459882,0.046037,0.0310847,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
105,FALSE,Bright,FALSE,HD122135,,,,HD122135,,TYC 5554-1081-1,2MASS J14000469-0809418,J140004.65-080942.1,3616233481069985792,3616233481069985792,HD122135,2MASS J14000469-0809418,K0III,C,K0III,,,,,,,,,,,,,,,,,,,6.7307,7.00E-04,7.911,0.016,6.678,0.01,,4.993,0.246,0.246,339024,4.255,0.206,0.206,317622,4.156,0.033,0.036,183662,DCE,dd0,47.1,,J140004.65-080942.1, 4.066, 0.391, 3.835, 0.117, 4.094, 0.014, 4.032, 0.026,    2.8,    9.3,   76.1,    42.4, 0.191, 0.209, 0.000, 0.000,0000,CBAA,,0.837,1.233,0.034,0.062,210.0193756,-8.161850044,7.886117508,0.0219353,-23.88873662,-47.08581602,FALSE,6.2813373,2.21E-04,6.8033657,0.001095289,5.600926,0.00142864,126.8051103,,7.84881795,0.039826707,Gaia DR2,0.704389,0.058519,0.174669,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
105,FALSE,Bright,FALSE,HD125183,,,,HD125183,,TYC 4982-1407-1,2MASS J14175707-0558172,J141757.06-055817.2,3640796669617969280,3640796673914111104,HD125183,2MASS J14175707-0558172,K3III,C,K3III,,,,,,,,,,,,,,,,,,,7.905,0.0013,9.662,0.023,7.912,0.012,,5.301,0.009,0.019,264259,4.694,0.075,0.076,178365,4.403,0.009,0.017,141325,EEA,000,26.5,,J141757.06-055817.2, 4.337, 0.321, 4.207, 0.137, 4.369, 0.015, 4.270, 0.021,    3.4,    7.9,   72.6,    52.0, 0.188, 0.188, 0.000, 0.000,0000,BBAA,,0.898,1.75,0.067,0.099,214.4876897,-5.971397727,1.891444169,0.022162585,-18.83236559,14.21890864,FALSE,7.281335,3.14E-04,8.0281725,0.001400965,6.444657,7.96E-04,528.6965464,,1.945288572,0.047741031,Gaia DR2,0.687129,0.02222,0.422099,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
105,TRUE,Both,FALSE,HD141004,HD141004,lam Ser,,HD141004,lam Ser,TYC  364-1224-1,2MASS J15462661+0721109,J154626.46+072110.3,4430238051199001216,4430238051199001216,HD141004,2MASS J15462661+0721109,G0-V,B,G0V,5965,,4.232,,7.45,0,,,,3,,,,,,,,,4.5434,6.00E-04,5.138,0.014,4.482,0.009,,3.43,0.22,0.22,1000000,3.07,0.216,0.216,1000000,2.989,0.23,0.23,556955,DCD,00d,33.3,,J154626.46+072110.3, 2.050,      , 1.948,      , 3.000, 0.011, 2.971, 0.020,    1.4,    2.0,   94.9,    53.0, 0.269, 0.262, 0.086, 0.000,hh00,UUAA,,0.441,0.656,-0.921,0.029,236.609889,7.352758689,83.92144357,0.15005308,-223.9521808,-69.76269002,FALSE,4.246856,0.001034524,4.5703483,8.38E-04,3.7878482,0.002496643,11.91590561,,84.61210024,0.255878053,Gaia DR2,1.061974,0.083142,0.0358335,4,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
105,FALSE,Both,FALSE,HD142443,,,,HD142443,,TYC  361-1148-1,2MASS J15542559+0517385,J155425.59+051739.3,4426564136175943424,4426564136175943424,HD142443,2MASS J15542559+0517385,K0,E,K0,,,,,,,,,,,,,,,,,,,7.0347,0.0019,8.217,0.017,6.999,0.011,,5.265,0.272,0.272,302991,4.595,0.075,0.076,285700,4.389,0.011,0.018,148190,DEA,dd0,24.3,,J155425.59+051739.3, 4.385, 0.266, 4.144, 0.132, 4.343, 0.015, 4.295, 0.025,    4.1,    8.2,   72.0,    43.2, 0.242, 0.228, 0.000, 0.000,0000,BBAA,,0.876,1.218,0.09,0.048,238.6067681,5.294267723,10.6505704,0.02043418,44.37950089,46.96754111,FALSE,6.582852,1.16E-04,7.1098256,6.58E-04,5.8963213,5.27E-04,93.89168493,,10.61550463,0.038236255,Gaia DR2,0.620725,0.056698,0.136682,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
105,FALSE,Bright,FALSE,HD142639,,,,HD142639,,TYC  943-347-1,2MASS J15552158+0913243,J155521.59+091324.3,4454606905363567104,4454606905363567104,HD142639,2MASS J15552158+0913243,K0,E,K0,,,,,,,,,,,,,,,,,,,7.0673,0.001,8.253,0.016,6.998,0.01,,5.101,0.033,0.037,249477,4.663,0.011,0.018,177300,4.526,0.029,0.033,106174,EEA,000,56.4,,J155521.59+091324.3, 4.455, 0.245, 4.302, 0.112, 4.437, 0.016, 4.398, 0.027,    4.4,    9.7,   69.5,    40.7, 0.233, 0.222, 0.000, 0.000,0000,BBAA,,0.575,1.255,0.057,0.039,238.8399546,9.223353523,5.409671036,0.029379152,-2.739121287,-17.22273078,FALSE,6.6262918,1.19E-04,7.1408496,6.46E-04,5.951946,5.12E-04,184.8541239,,5.422626801,0.045731073,Gaia DR2,0.614163,0.014691,0.774089,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
105,FALSE,Bright,FALSE,HD139610,,,,HD139610,,TYC  933-406-1,2MASS J15384955+1036565,J153849.55+103656.7,1165297233828406272,1165297233828406272,HD139610,2MASS J15384955+1036565,G5,E,G5,,,,,,,,,,,,,,,,,,,7.2613,0.0013,8.327,0.018,7.213,0.011,,5.371,0.009,0.019,215789,4.883,0.011,0.018,166230,4.743,0.019,0.024,78382.7,AAA,000,45.3,,J153849.55+103656.7, 4.690, 0.184, 4.569, 0.072, 4.692, 0.014, 4.606, 0.032,    5.9,   15.1,   74.9,    33.9, 0.223, 0.200, 0.000, 0.000,h000,BAAA,,0.628,1.114,0.084,0.086,234.7065132,10.61573491,5.392251129,0.018418366,17.66445733,-4.399773735,FALSE,6.834188,1.54E-04,7.3288455,5.89E-04,6.173188,6.59E-04,185.4513034,,5.466195219,0.038617199,Gaia DR2,0.52075,0.011707,0.803552,0,LDD_VW3,GOOD,,,TRUE,,,,,,,,,,,,,,,,,,
