e_pred_LDD,pred_LDD,target_id,pred_LDD_isnan,e_pred_LDD_isnan
0.0546925512860126,1.1865298469829788,HD222368,False,False
0.036429925720084175,0.8077731028911322,HD1367,False,False
0.03245604196954692,0.6709688040487582,HD222919,False,False
0.031372378195539535,0.7039721353505294,HD223292,False,False
0.031446300648415686,0.7205879055138564,HD218330,False,False
0.028297972244776256,0.6025058570984683,HD43,False,False
0.057660276106195354,1.2606717032903787,HD1581,False,False
0.036554215787459585,0.8005214178215364,HD68,False,False
0.034285571583403625,0.7717634816447597,HD218558,False,False
0.03199530561917584,0.6153599872986744,HD323,False,False
0.03300152992941622,0.7449609595740966,HD220757,False,False
0.028434059819088336,0.6400709596564174,HD8025,False,False
0.0725270804954514,1.5624553574530151,HD30652,False,False
0.05900139188795551,1.277922072584564,HD32263,False,False
0.03955087875147903,0.8865550495990178,HD30519,False,False
0.03422597714755767,0.7539722550876827,HD30507,False,False
0.04838941545212294,1.0554196841320915,HD30545,False,False
0.04386806071732061,0.9923252685959209,HD33419,False,False
0.06736734353016392,1.514480315871255,HD38393,False,False
0.032913004722609294,0.6558357693380273,HD38579,False,False
0.035073479685554354,0.7666299869483528,HD39913,False,False
0.038222204380430974,0.8843091478726945,HD40235,False,False
0.05048378796184265,1.11717895606832,HD62644,False,False
0.030235168859019827,0.6860211021496762,HD64181,False,False
0.025826652219223707,0.5467263163486014,HD61574,False,False
0.02756441283783836,0.5821890091507057,HD65187,False,False
0.025452485320664655,0.5525209577746445,HD65491,False,False
0.027534768820465603,0.6267771679333816,HD66162,False,False
0.06780866788676239,1.541503555596695,HD67523,False,False
0.04609874913394024,1.072719493342343,HD59936,False,False
0.044302266068600986,0.9564026343353907,HD63734,False,False
0.04145128038239023,0.8999502459835098,HD71231,False,False
0.07514153877619495,1.7016583535837668,HD121370,False,False
0.043573309782967425,0.9425620130928124,HD118839,False,False
0.026577576563105207,0.5972399731951017,HD120540,False,False
0.057082120367211886,1.1860159487227147,HD124850,False,False
0.033066151520847804,0.6853502958322545,HD125490,False,False
0.026041987453794727,0.5563993527284242,HD121981,False,False
0.02266013033158063,0.5028002964668989,HD123255,False,False
0.03407811735372247,0.6685728986647999,HD122135,False,False
0.03125171095141343,0.7089731578203157,HD125183,False,False
0.05344042749711295,1.1453884446256983,HD141004,False,False
0.03096196724236218,0.6821175458583947,HD142443,False,False
0.029805074385448868,0.6509750632553144,HD142639,False,False
0.026415739644688033,0.584377997121628,HD139610,False,False
0.0254194572915141,0.5251915227217747,HD142862,False,False
0.0263959035704696,0.5977933551095146,HD143129,False,False
0.05976016945485149,1.3509717576003153,HD142860,False,False
0.030607974324015255,0.6324376786880799,HD141589,False,False
0.03208197384985416,0.6837242305403967,HD141827,False,False
0.016307756731845896,0.3272121896699362,HD143896,False,False
0.032699012822184625,0.711953619704923,HD143257,False,False
0.03144590360571504,0.6550154013011945,HD140346,False,False
0.044450987155180775,1.0252554798084066,HD182572,False,False
0.033750766975753826,0.7479208117607526,HD178665,False,False
0.025300215675535892,0.551767445335795,HD178596,False,False
0.030385278730385604,0.6250245845720801,HD186202,False,False
0.08293006926019339,1.7258597764273125,HD2151,False,False
0.0630775230211561,1.3981362575884704,HD5457,False,False
0.060546751385849966,1.3274935774718821,HD197635,False,False
0.04761562689813585,1.095744405320135,HD4332,False,False
0.04649968529044966,1.0041850352132713,HD15248,False,False
0.04044908536418048,0.817668622219938,HD210056,False,False
0.029819693856567353,0.6767178285071116,HD38295,False,False
0.03010063851319476,0.6737932245890856,HD42747,False,False
0.06922123449916444,1.4617381609270148,HD48737,False,False
0.05585375027318688,1.179183917666667,HD47156,False,False
0.04421766377117521,0.9928591444001305,HD46241,False,False
0.04442485445746585,0.9205622649763091,HD51814,False,False
0.047061978468091965,0.9955452699801206,HD45512,False,False
0.012348801944274177,0.29234912387262213,HD4849,False,False
0.03709211710091603,0.858682614164566,HD65181,False,False
0.036445552310027815,0.8119047805176884,HD70942,False,False
0.044302266068600986,0.9682780833098058,HD  63734,False,False
0.05390082970762437,1.288792744099914,HD82434,False,False
0.037431620274842335,0.8591916169470426,HD81134,False,False
0.027579689906677966,0.5961047559648274,HD76437,False,False
0.029475924236921042,0.5932009795379349,HD84369,False,False
,,HD61421,True,True
0.06399713305974639,1.3752109170567228,HD55751,False,False
0.07186568588721456,1.5725994670359371,HD63241,False,False
0.08931156762912366,1.9299911193704307,HD65695,False,False
0.03149374452033859,0.7378686063794662,HD79810,False,False
0.03134391032571557,0.701195199338672,HD84900,False,False
