level_0,level_1,logg,teff,feh,u_lambda_0,u_lambda_1,u_lambda_2,u_lambda_3,u_lambda_4,u_lambda_5,s_lambda_0,s_lambda_1,s_lambda_2,s_lambda_3,s_lambda_4,s_lambda_5,Dist,Hpmag_dr,BTmag_dr,VTmag_dr,BPmag_dr,RPmag_dr,BC_Hp,BC_BT,BC_VT,BC_BP,BC_RP,f_bol_Hp,f_bol_BT,f_bol_VT,f_bol_BP,f_bol_RP,f_bol_final,L_star_final
HD222368,0,4.365474833451072,6197.456623249809,-0.20553186844137786,0.23931476438564486,0.23931476438564486,0.23931476438564486,0.23931476438564486,0.23931476438564486,0.23931476438564486,1.0,1.0,1.0,1.0,1.0,1.0,13.620374758487523,4.237271022251353,4.734809461783592,4.1728685867699005,4.25876593468919,3.5546063158481633,-0.139,-0.635,-0.08800000000000001,-0.179,0.491,5.831127878439229e-07,5.82287128261985e-07,5.903553997700363e-07,5.931364325470975e-07,6.120944593432769e-07,5.826173920947601e-07,3.3783184465565843
HD222368,1,4.487062617114879,6198.588703565854,-0.012594392744590018,0.26045829453581015,0.26045829453581015,0.26045829453581015,0.26045829453581015,0.26045829453581015,0.26045829453581015,1.0,1.0,1.0,1.0,1.0,1.0,13.600012097331614,4.237537775747889,4.704793940877342,4.181068107076801,4.259976805070747,3.552572587728007,-0.127,-0.649,-0.073,-0.17,0.508,5.765617992538203e-07,6.063779469648009e-07,5.778747676250473e-07,5.875843940293307e-07,6.037149624798778e-07,5.944514878804087e-07,3.4366399403255854
HD1581,0,4.509983326732415,5981.916065955437,-0.45384274662737134,0.27494465176319854,0.27494465176319854,0.27494465176319854,0.27494465176319854,0.27494465176319854,0.27494465176319854,1.0,1.0,1.0,1.0,1.0,1.0,8.622505561722205,4.344013028365904,4.886447148824883,4.292887835785103,4.368919666862984,3.5995571000825644,-0.17800000000000002,-0.716,-0.129,-0.222,0.502,5.478425539731592e-07,5.456097406845945e-07,5.489159372932397e-07,5.575619237891493e-07,5.813506128199969e-07,5.465028660000203e-07,1.2699845440324609
HD1581,1,3.868090217409312,5982.26008546347,-0.43364151994525546,0.2658535208100822,0.2658535208100822,0.2658535208100822,0.2658535208100822,0.2658535208100822,0.2658535208100822,1.0,1.0,1.0,1.0,1.0,1.0,8.603311068293703,4.344403216848539,4.919750529812318,4.301108238962582,4.371255735297189,3.6038490961860665,-0.171,-0.695,-0.122,-0.21600000000000003,0.503,5.441262625849141e-07,5.189921185987999e-07,5.412746390174872e-07,5.532974650944384e-07,5.785239411838776e-07,5.290457761932457e-07,1.2239495825587958
HD30652,0,4.204180046157732,6567.679662394929,0.03197733344914243,0.19700548389643271,0.19700548389643271,0.19700548389643271,0.19700548389643271,0.19700548389643271,0.19700548389643271,1.0,1.0,1.0,1.0,1.0,1.0,7.994442332418615,3.2862794526977317,3.717883905632409,3.2142973396645913,3.4897745102096356,2.7096640631168865,-0.085,-0.504,-0.035,-0.11900000000000001,0.455,1.3321379281695883e-06,1.3167623865671218e-06,1.359383639470427e-06,1.1395966674581431e-06,1.377829088897962e-06,1.3229126032081085e-06,2.6426918630050857
HD30652,1,4.738924594777013,6566.962786476732,0.011321448621387075,0.23741331896838694,0.23741331896838694,0.23741331896838694,0.23741331896838694,0.23741331896838694,0.23741331896838694,1.0,1.0,1.0,1.0,1.0,1.0,8.051534525206895,3.287192194164664,3.7088441366472424,3.2231308007151798,3.4986047961406666,2.7006075858500806,-0.099,-0.53,-0.048,-0.13,0.45299999999999996,1.3482924324701886e-06,1.3599511855854986e-06,1.3646103294303032e-06,1.141876292246178e-06,1.3919317470488427e-06,1.3552876843393745e-06,2.7461726419916217
HD38393,0,4.130708178938104,6493.773796711534,-0.20128407634855447,0.19245842424156398,0.19245842424156398,0.19245842424156398,0.19245842424156398,0.19245842424156398,0.19245842424156398,1.0,1.0,1.0,1.0,1.0,1.0,8.899933651977735,3.6977311287412378,4.161549608206399,3.6388218591223955,3.8093079271374775,3.044530226518944,-0.10800000000000001,-0.521,-0.06,-0.141,0.446,9.314692516292845e-07,8.888758999544363e-07,9.408756541520352e-07,8.664386236126706e-07,1.0205843020795877e-06,9.059132406243756e-07,2.242844533019862
HD38393,1,4.169664247263067,6493.20695063141,-0.2821255927317685,0.23143561296946305,0.23143561296946305,0.23143561296946305,0.23143561296946305,0.23143561296946305,0.23143561296946305,1.0,1.0,1.0,1.0,1.0,1.0,8.902383079816808,3.6974285210221667,4.145936674702418,3.647733454770821,3.7963414295565685,3.043886700013595,-0.115,-0.523,-0.068,-0.147,0.439,9.37755383902034e-07,9.034129356055499e-07,9.400860165008369e-07,8.817072316116324e-07,1.0277945125480404e-06,9.171499149241434e-07,2.271914129655915
HD62644,0,3.8242351837400124,5238.968140950746,-0.03664758680387702,0.33486391163431284,0.33486391163431284,0.33486391163431284,0.33486391163431284,0.33486391163431284,0.33486391163431284,1.0,1.0,1.0,1.0,1.0,1.0,22.98986396018065,5.187246993353735,5.991257625866154,5.133155010949338,5.228552784100961,4.276810381647106,-0.308,-1.19,-0.253,-0.391,0.593,2.8402866812231327e-07,3.0518130394272697e-07,2.8379122995534563e-07,2.9514801109370914e-07,2.865080454862579e-07,2.9672024961456145e-07,4.901838672413179
HD62644,1,3.666675124508121,5376.52210988668,-0.015387008076860812,0.3015499280197364,0.3015499280197364,0.3015499280197364,0.3015499280197364,0.3015499280197364,0.3015499280197364,1.0,1.0,1.0,1.0,1.0,1.0,23.711334199064858,5.186974142549235,5.956501280867162,5.115029928291668,5.230442624388755,4.277492570320499,-0.26899999999999996,-1.09,-0.21,-0.345,0.59,2.7407619579897573e-07,2.8738259516426326e-07,2.7736330479900555e-07,2.824125062126784e-07,2.871203313427653e-07,2.8206003541814824e-07,4.956699206905573
