baseline_m,c_scale,candidate_remove,e_vis2_corrected,highlighted,large_raw_residual,large_sigma_residual,mjd,model_vis2,night,oifits_flag,period,point_id,raw_residual,sequence,spatial_frequency_rad_inv,standardized_residual,star,telescope_pair,vis2_corrected,wavelength_index,wavelength_um
69.60258845607414,0.9463305787354183,True,0.007504456806078297,False,True,True,59636.11707508395,0.8362620769869472,2022-02-25,False,106,3,0.05156871888135739,bright,41504226.86212457,6.871745712439691,ksi_Gem,1-2,0.8878307958683046,3,1.6770000001997687
69.60258845607414,0.9463305787354183,True,0.00761524726547427,False,True,True,59636.11707508395,0.8523778421424414,2022-02-25,False,106,5,0.05308784173409886,bright,39256958.90378502,6.971256465274159,ksi_Gem,1-2,0.9054656838765403,5,1.7730000081428443
,0.9463305787354183,True,,False,False,False,,,unknown,True,106,6,,bright,,,ksi_Gem,1-3,,0,1.5330000451285741
,0.9463305787354183,True,,False,False,False,,,unknown,True,106,7,,bright,,,ksi_Gem,1-3,,1,1.580999992256693
,0.9463305787354183,True,,False,False,False,,,unknown,True,106,8,,bright,,,ksi_Gem,1-3,,2,1.6290000530716497
,0.9463305787354183,True,,False,False,False,,,unknown,True,106,9,,bright,,,ksi_Gem,1-3,,3,1.6770000001997687
,0.9463305787354183,True,,False,False,False,,,unknown,True,106,10,,bright,,,ksi_Gem,1-3,,4,1.7249999473278876
,0.9463305787354183,True,,False,False,False,,,unknown,True,106,11,,bright,,,ksi_Gem,1-3,,5,1.7730000081428443
,0.9463305787354183,True,,False,False,False,,,unknown,True,106,18,,bright,,,ksi_Gem,2-3,,0,1.5330000451285741
,0.9463305787354183,True,,False,False,False,,,unknown,True,106,19,,bright,,,ksi_Gem,2-3,,1,1.580999992256693
,0.9463305787354183,True,,False,False,False,,,unknown,True,106,20,,bright,,,ksi_Gem,2-3,,2,1.6290000530716497
,0.9463305787354183,True,,False,False,False,,,unknown,True,106,21,,bright,,,ksi_Gem,2-3,,3,1.6770000001997687
,0.9463305787354183,True,,False,False,False,,,unknown,True,106,22,,bright,,,ksi_Gem,2-3,,4,1.7249999473278876
,0.9463305787354183,True,,False,False,False,,,unknown,True,106,23,,bright,,,ksi_Gem,2-3,,5,1.7730000081428443
,0.9463305787354183,True,,False,False,False,,,unknown,True,106,30,,bright,,,ksi_Gem,3-4,,0,1.5330000451285741
,0.9463305787354183,True,,False,False,False,,,unknown,True,106,31,,bright,,,ksi_Gem,3-4,,1,1.580999992256693
,0.9463305787354183,True,,False,False,False,,,unknown,True,106,32,,bright,,,ksi_Gem,3-4,,2,1.6290000530716497
,0.9463305787354183,True,,False,False,False,,,unknown,True,106,33,,bright,,,ksi_Gem,3-4,,3,1.6770000001997687
,0.9463305787354183,True,,False,False,False,,,unknown,True,106,34,,bright,,,ksi_Gem,3-4,,4,1.7249999473278876
,0.9463305787354183,True,,False,False,False,,,unknown,True,106,35,,bright,,,ksi_Gem,3-4,,5,1.7730000081428443
65.65338699292188,0.9463305787354183,True,0.016698170668205094,False,False,False,,0.8264855872918078,unknown,True,106,36,-0.014205225410328093,bright,42826735.19909484,-0.8507054870014111,ksi_Gem,1-2,0.8122803618814797,0,1.5330000451285741
65.65338699292188,0.9463305787354183,True,0.0119786545222318,False,False,False,,0.8360992231684826,unknown,True,106,37,0.009958262319032407,bright,41526494.1900533,0.8313339616357044,ksi_Gem,1-2,0.846057485487515,1,1.580999992256693
65.65338699292188,0.9463305787354183,True,0.01059786239093666,False,False,False,,0.8449569702555187,unknown,True,106,38,0.0048448291216979245,bright,40302875.90790778,0.4571515408466942,ksi_Gem,1-2,0.8498017993772167,2,1.6290000530716497
65.65338699292188,0.9463305787354183,True,0.008892026334980149,False,False,False,,0.8531336016676041,unknown,True,106,39,0.02471686742964918,bright,39149306.49081758,2.7796664672950904,ksi_Gem,1-2,0.8778504690972533,3,1.6770000001997687
65.65338699292188,0.9463305787354183,True,0.00988385052062483,False,False,False,,0.8606952584633786,unknown,True,106,40,0.014261993640327542,bright,38059935.65079367,1.4429592607219983,ksi_Gem,1-2,0.8749572521037061,4,1.7249999473278876
65.65338699292188,0.9463305787354183,True,0.010915551090886651,False,False,False,,0.8677005088333362,unknown,True,106,41,0.02145685770865624,bright,37029546.92126116,1.9657145598970704,ksi_Gem,1-2,0.8891573665419924,5,1.7730000081428443
110.35463557330364,0.9463305787354183,True,0.010688248669117743,False,False,True,,0.5741270162823126,unknown,True,106,48,-0.04213036402794135,bright,71986061.52946858,-3.9417462422699208,ksi_Gem,1-3,0.5319966522543712,0,1.5330000451285741
110.35463557330364,0.9463305787354183,True,0.011083406290432776,False,False,False,,0.5943981924574205,unknown,True,106,49,-0.026708516542023664,bright,69800528.85122742,-2.4097751036230193,ksi_Gem,1-3,0.5676896759153969,1,1.580999992256693
110.35463557330364,0.9463305787354183,True,0.010968892091542443,False,False,False,,0.6134160691007685,unknown,True,106,50,-0.02741067075345016,bright,67743788.81401412,-2.4989461583440264,ksi_Gem,1-3,0.5860053983473184,2,1.6290000530716497
110.35463557330364,0.9463305787354183,True,0.011594270487282178,False,False,False,,0.6312622130453768,unknown,True,106,51,-0.012201694847561617,bright,65804791.62800113,-1.052390045664859,ksi_Gem,1-3,0.6190605181978152,3,1.6770000001997687
110.35463557330364,0.9463305787354183,True,0.0122505086276951,False,False,False,,0.64801502788206,unknown,True,106,52,-0.014019764271688495,bright,63973703.735034056,-1.1444230356275644,ksi_Gem,1-3,0.6339952636103715,4,1.7249999473278876
