column,frac_nan,n_nan,n_total
dict_key,0.0,0,44
dict_star,0.0,0,44
dict_sequence,0.0,0,44
dict_period,0.0,0,44
index,0.0,0,44
MJD,0.0,0,44
TEL_PAIR,0.0,0,44
VIS2,0.0,0,44
FLAG,0.0,0,44
BASELINE,0.0,0,44
WAVELENGTH,0.0,0,44
LDD_FIT,0.045454545454545456,2,44
LDD_PRED,1.0,44,44
e_LDD_PRED,1.0,44,44
u_LLD,1.0,44,44
C_SCALE,0.0,0,44
SEQ_ORDER,0.0,0,44
UDD_FIT,0.045454545454545456,2,44
C_SCALE_UDD,0.0,0,44
