column,frac_nan,n_nan,n_total
level_0,0.0,0,15
level_1,0.0,0,15
logg,0.0,0,15
teff,0.0,0,15
feh,0.0,0,15
u_lambda_0,0.0,0,15
u_lambda_1,0.0,0,15
u_lambda_2,0.0,0,15
u_lambda_3,0.0,0,15
u_lambda_4,0.0,0,15
u_lambda_5,0.0,0,15
s_lambda_0,0.0,0,15
s_lambda_1,0.0,0,15
s_lambda_2,0.0,0,15
s_lambda_3,0.0,0,15
s_lambda_4,0.0,0,15
s_lambda_5,0.0,0,15
Dist,0.13333333333333333,2,15
Hpmag_dr,0.06666666666666667,1,15
BTmag_dr,0.06666666666666667,1,15
VTmag_dr,0.06666666666666667,1,15
BPmag_dr,0.06666666666666667,1,15
RPmag_dr,0.06666666666666667,1,15
BC_Hp,0.0,0,15
BC_BT,0.0,0,15
BC_VT,0.0,0,15
BC_BP,0.0,0,15
BC_RP,0.0,0,15
f_bol_Hp,0.06666666666666667,1,15
f_bol_BT,0.06666666666666667,1,15
f_bol_VT,0.06666666666666667,1,15
f_bol_BP,0.06666666666666667,1,15
f_bol_RP,0.06666666666666667,1,15
f_bol_final,0.06666666666666667,1,15
L_star_final,0.2,3,15
