fraction_vis2_above_one,has_vis2_above_one,max_baseline_m,max_night,max_point_id,max_telescope_pair,max_vis2_corrected,max_wavelength_index,max_wavelength_um,n_finite_vis2_points,n_vis2_above_one,percent_vis2_above_one,period,point_ids_vis2_above_one,sequence,star
0.0,False,57.858236572341575,2022-03-30,P131,2-3,0.9403009427005723,5,1.7730000081428443,144,0,0.0,,,combined,HD124850
0.0,False,57.15747259777123,2022-03-30,P58,2-3,0.9557295106857955,4,1.7249999473278876,144,0,0.0,,,combined,HD141004
0.0,False,57.61677779333815,2022-04-02,P23,2-3,0.951037764385142,5,1.7730000081428443,72,0,0.0,,,combined,HD142860
0.0,False,57.61254466320072,2019-11-24,P130,2-3,0.9934400849294758,4,1.7249999473278876,144,0,0.0,,,combined,HR_2998
0.0,False,53.72744133085745,2021-09-10,P23,2-3,0.7796810099106793,5,1.7730000081428443,72,0,0.0,,,combined,bet_Hyi
0.05555555555555555,True,48.0675065297391,2021-02-17,P22,2-3,1.030056636746105,4,1.7249999473278876,72,4,5.555555555555555,,P18;P20;P22;P23,combined,gam_Lep
0.0,False,57.40480807269731,2019-11-26,P23,2-3,0.9440175007496885,5,1.7730000081428443,108,0,0.0,,,combined,iot_Psc
0.041666666666666664,True,57.98099600720829,2022-02-25,P55,2-3,1.0913066000711762,1,1.580999992256693,144,6,4.166666666666666,,P54;P55;P56;P57;P58;P59,combined,ksi_Gem
0.0,False,57.25956088786594,2019-11-28,P59,2-3,0.9103196948594828,5,1.7730000081428443,144,0,0.0,,,combined,pi3_Ori
0.0,False,31.320514161117814,2022-01-05,P36,1-2,0.9991986019623894,0,1.5330000451285741,72,0,0.0,,,combined,psi Vel A
0.0,False,56.60493971272261,2021-03-04,P23,2-3,0.9755713706627573,5,1.7730000081428443,72,0,0.0,,,combined,psi_Vel
0.041666666666666664,True,44.536548632060224,2021-02-16,P127,2-3,1.15955877961094,1,1.580999992256693,144,6,4.166666666666666,,P126;P127;P128;P129;P130;P131,combined,rho_Pup
0.0,False,52.7984634808433,2019-11-26,P94,2-3,0.9640633459013236,4,1.7249999473278876,144,0,0.0,,,combined,zet_Tuc
