baseline_m,c_scale,candidate_remove,e_vis2_corrected,highlighted,large_raw_residual,large_sigma_residual,mjd,model_vis2,night,oifits_flag,period,point_id,raw_residual,sequence,spatial_frequency_rad_inv,standardized_residual,star,telescope_pair,vis2_corrected,wavelength_index,wavelength_um
69.63067529897202,0.9559504773047249,False,0.0041950821572466065,False,False,True,59636.11757510623,0.7979120325275728,2022-02-25,False,106,0,0.020112980164243677,bright,45421182.81094508,4.79441865745118,ksi_Gem,1-2,0.8180250126918165,0,1.5330000451285741
69.63067529897202,0.9559504773047249,False,0.0012731130922168177,False,False,True,59636.11757510623,0.8089495142983236,2022-02-25,False,106,1,0.03577317880228803,bright,44042173.08033149,28.09897959653978,ksi_Gem,1-2,0.8447226931006117,1,1.580999992256693
69.63067529897202,0.9559504773047249,False,0.0032303361360632816,False,False,True,59636.11757510623,0.8191366557139721,2022-02-25,False,106,2,0.03383977220791423,bright,42744427.888554156,10.475619496723272,ksi_Gem,1-2,0.8529764279218863,2,1.6290000530716497
69.63067529897202,0.9559504773047249,True,0.003622159700737058,False,True,True,59636.11757510623,0.8285552034043614,2022-02-25,False,106,3,0.05017200416603873,bright,41520975.12860908,13.851405876949446,ksi_Gem,1-2,0.8787272075704001,3,1.6770000001997687
69.63067529897202,0.9559504773047249,False,0.005642887593577511,False,False,True,59636.11757510623,0.8372778514566745,2022-02-25,False,106,4,0.03864185183438196,bright,40365610.101515345,6.847886156435657,ksi_Gem,1-2,0.8759197032910565,4,1.7249999473278876
69.63067529897202,0.9559504773047249,True,0.005398446558439548,False,True,True,59636.11757510623,0.8453692745733239,2022-02-25,False,106,5,0.052542312490144516,bright,39272800.32666651,9.732857762202645,ksi_Gem,1-2,0.8979115870634684,5,1.7730000081428443
,0.9559504773047249,True,,False,False,False,,,unknown,True,106,6,,bright,,,ksi_Gem,1-3,,0,1.5330000451285741
,0.9559504773047249,True,,False,False,False,,,unknown,True,106,7,,bright,,,ksi_Gem,1-3,,1,1.580999992256693
,0.9559504773047249,True,,False,False,False,,,unknown,True,106,8,,bright,,,ksi_Gem,1-3,,2,1.6290000530716497
,0.9559504773047249,True,,False,False,False,,,unknown,True,106,9,,bright,,,ksi_Gem,1-3,,3,1.6770000001997687
,0.9559504773047249,True,,False,False,False,,,unknown,True,106,10,,bright,,,ksi_Gem,1-3,,4,1.7249999473278876
,0.9559504773047249,True,,False,False,False,,,unknown,True,106,11,,bright,,,ksi_Gem,1-3,,5,1.7730000081428443
124.65087494184473,0.9559504773047249,False,0.0013434864771708454,False,False,True,59636.11757510623,0.4694121830590293,2022-02-25,False,106,12,0.004078397932716082,bright,81311722.94348507,3.035682161315458,ksi_Gem,1-4,0.4734905809917454,0,1.5330000451285741
