fraction_vis2_above_one,has_vis2_above_one,max_baseline_m,max_night,max_point_id,max_telescope_pair,max_vis2_corrected,max_wavelength_index,max_wavelength_um,n_finite_vis2_points,n_vis2_above_one,percent_vis2_above_one,period,point_ids_vis2_above_one,sequence,star
0.0,False,37.89116405236891,2022-02-25,P88,3-4,0.9953651168002902,4,1.7249999473278876,48,0,0.0,106,,bright,ksi_Gem
0.013888888888888888,True,78.43977440256776,2022-02-28,P71,3-4,1.018018624785139,5,1.7730000081428443,72,1,1.3888888888888888,106,P71,faint,ksi_Gem
