bad_vis2_frac,bootstrap_i,error_message,filename,flagged_frac,median_vis2,n_finite,n_flagged,n_good,n_total,read_status,std_vis2,target_name
0.0,26,,2019-11-25_CAL_HD61574_oidataCalibrated_26.fits,0.0,0.9537970491851802,36,0,36,36,OK,0.023882804987583668,2019-11-25_CAL_HD61574
0.0,26,,2019-11-25_CAL_HD65187_oidataCalibrated_26.fits,0.0,1.0131507295935602,36,0,36,36,OK,0.05468647141932468,2019-11-25_CAL_HD65187
0.0,26,,2019-11-25_CAL_HR3069_oidataCalibrated_26.fits,0.0,0.9651137643022509,36,0,36,36,OK,0.041619116041698614,2019-11-25_CAL_HR3069
0.0,26,,2019-11-25_SCI_HR2998_oidataCalibrated_26.fits,0.0,0.9728160600399267,72,0,72,72,OK,0.09172101759347635,HR2998
0.0,26,,2019-11-26_CAL_HD65491_oidataCalibrated_26.fits,0.0,0.9903842010825343,36,0,36,36,OK,0.039899540506811354,2019-11-26_CAL_HD65491
0.0,26,,2019-11-26_CAL_HD66162_oidataCalibrated_26.fits,0.0,0.9321462870853028,36,0,36,36,OK,0.041945292139828595,2019-11-26_CAL_HD66162
0.0,26,,2019-11-26_CAL_HR3069_oidataCalibrated_26.fits,0.0,0.9436599886493202,36,0,36,36,OK,0.029141231491621244,2019-11-26_CAL_HR3069
0.0,26,,2019-11-26_SCI_HR2998_oidataCalibrated_26.fits,0.0,0.8830782957417359,72,0,72,72,OK,0.10692596790329807,HR2998
0.0,26,,2019-11-27_CAL_HD222919_oidataCalibrated_26.fits,0.0,0.8819110818185129,36,0,36,36,OK,0.04209812445335347,2019-11-27_CAL_HD222919
0.0,26,,2019-11-27_CAL_HD223292_oidataCalibrated_26.fits,0.0,0.9154181434726608,36,0,36,36,OK,0.041817732223864285,2019-11-27_CAL_HD223292
0.0,26,,2019-11-27_CAL_HD323_oidataCalibrated_26.fits,0.0,0.9039076405447166,36,0,36,36,OK,0.037611173499617435,2019-11-27_CAL_HD323
