bootstrap_i,duration_seconds,end_time,error_message,error_type,ldd_csv,n_e_pred_LDD_nan,n_ldd_targets,n_nights,n_pred_LDD_nan,n_result_files_after,n_result_files_before,n_result_files_created,n_sequences,n_visibility_files,start_time,status,traceback_file,txt_log,visibility_csv,visibility_pdf
14,376.521912,2026-06-26 17:44:04.364988,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_014_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 17:37:47.843076,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_014_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_014_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_014_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_014.pdf
15,378.046376,2026-06-26 17:50:22.411606,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_015_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 17:44:04.365230,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_015_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_015_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_015_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_015.pdf
16,391.969667,2026-06-26 17:56:54.381606,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_016_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 17:50:22.411939,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_016_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_016_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_016_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_016.pdf
17,374.723584,2026-06-26 18:03:09.105775,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_017_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 17:56:54.382191,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_017_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_017_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_017_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_017.pdf
18,567.367343,2026-06-26 18:12:36.473830,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_018_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 18:03:09.106487,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_018_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_018_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_018_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_018.pdf
19,458.110546,2026-06-26 18:20:14.584712,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_019_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 18:12:36.474166,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_019_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_019_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_019_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_019.pdf
20,462.964502,2026-06-26 18:27:57.549939,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_020_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 18:20:14.585437,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_020_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_020_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_020_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_020.pdf
21,462.830477,2026-06-26 18:35:40.380903,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_021_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 18:27:57.550426,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_021_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_021_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_021_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_021.pdf
22,460.412423,2026-06-26 18:43:20.793597,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_022_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 18:35:40.381174,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_022_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_022_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_022_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_022.pdf
23,461.514037,2026-06-26 18:51:02.308962,,,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_023_ldd_inputs.csv,1,84,16,1,87,87,0,22,87,2026-06-26 18:43:20.794925,OK,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_023_traceback.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/bootstrap_023_log.txt,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_023_summary.csv,/home2/ihernand/Desktop/reach/results/26-06-26_i50/bootstrap_diagnostics_run_000/visibility_plots/bootstrap_visibility_023.pdf
