column,frac_nan,n_nan,n_total
level_0,0.0,0,750
level_1,0.0,0,750
logg,0.0,0,750
teff,0.2,150,750
feh,0.0,0,750
u_lambda_0,0.2,150,750
u_lambda_1,0.2,150,750
u_lambda_2,0.2,150,750
u_lambda_3,0.2,150,750
u_lambda_4,0.2,150,750
u_lambda_5,0.2,150,750
s_lambda_0,0.0,0,750
s_lambda_1,0.0,0,750
s_lambda_2,0.0,0,750
s_lambda_3,0.0,0,750
s_lambda_4,0.0,0,750
s_lambda_5,0.0,0,750
Dist,0.13333333333333333,100,750
Hpmag_dr,0.06666666666666667,50,750
BTmag_dr,0.06666666666666667,50,750
VTmag_dr,0.06666666666666667,50,750
BPmag_dr,0.06666666666666667,50,750
RPmag_dr,0.06666666666666667,50,750
BC_Hp,0.0,0,750
BC_BT,0.0,0,750
BC_VT,0.0,0,750
BC_BP,0.0,0,750
BC_RP,0.0,0,750
f_bol_Hp,0.06666666666666667,50,750
f_bol_BT,0.06666666666666667,50,750
f_bol_VT,0.06666666666666667,50,750
f_bol_BP,0.06666666666666667,50,750
f_bol_RP,0.06666666666666667,50,750
f_bol_final,0.06666666666666667,50,750
L_star_final,0.2,150,750
