bad_vis2_frac,bootstrap_i,error_message,filename,flagged_frac,median_vis2,n_finite,n_flagged,n_good,n_total,read_status,std_vis2,target_name
0.0,19,,2019-11-25_CAL_HD61574_oidataCalibrated_19.fits,0.0,0.9533623194112386,36,0,36,36,OK,0.023552122983300495,2019-11-25_CAL_HD61574
0.0,19,,2019-11-25_CAL_HD65187_oidataCalibrated_19.fits,0.0,0.998867075076044,36,0,36,36,OK,0.058969263620429306,2019-11-25_CAL_HD65187
0.0,19,,2019-11-25_CAL_HR3069_oidataCalibrated_19.fits,0.0,0.9644459211509225,36,0,36,36,OK,0.04171478344420495,2019-11-25_CAL_HR3069
0.0,19,,2019-11-25_SCI_HR2998_oidataCalibrated_19.fits,0.0,0.9737639017693325,72,0,72,72,OK,0.0924603183978935,HR2998
0.0,19,,2019-11-26_CAL_HD65491_oidataCalibrated_19.fits,0.0,0.9833254405996754,36,0,36,36,OK,0.040563251453183825,2019-11-26_CAL_HD65491
0.0,19,,2019-11-26_CAL_HD66162_oidataCalibrated_19.fits,0.0,0.9316492755457978,36,0,36,36,OK,0.042292812865574764,2019-11-26_CAL_HD66162
0.0,19,,2019-11-26_CAL_HR3069_oidataCalibrated_19.fits,0.0,0.9435920356719172,36,0,36,36,OK,0.02909167713672193,2019-11-26_CAL_HR3069
0.0,19,,2019-11-26_SCI_HR2998_oidataCalibrated_19.fits,0.0,0.8874815598285055,72,0,72,72,OK,0.10855939664658924,HR2998
0.0,19,,2019-11-27_CAL_HD222919_oidataCalibrated_19.fits,0.0,0.8834076557627305,36,0,36,36,OK,0.04382378713251071,2019-11-27_CAL_HD222919
0.0,19,,2019-11-27_CAL_HD223292_oidataCalibrated_19.fits,0.0,0.9166804167819032,36,0,36,36,OK,0.04058231925683066,2019-11-27_CAL_HD223292
0.0,19,,2019-11-27_CAL_HD323_oidataCalibrated_19.fits,0.0,0.9111611459627657,36,0,36,36,OK,0.03637319326325626,2019-11-27_CAL_HD323
0.0,19,,2019-11-27_CAL_HD68_oidataCalibrated_19.fits,0.0,0.8940499920461291,36,0,36,36,OK,0.04712750696488894,2019-11-27_CAL_HD68
0.0,19,,2019-11-27_CAL_HR67_oidataCalibrated_19.fits,0.0,0.9057782992988958,36,0,36,36,OK,0.03628176600798154,2019-11-27_CAL_HR67
0.0,19,,2019-11-27_CAL_HR8809_oidataCalibrated_19.fits,0.0,0.9185940875079507,36,0,36,36,OK,0.04045448358061371,2019-11-27_CAL_HR8809
0.0,19,,2019-11-27_SCI_IOT_PSC_oidataCalibrated_19.fits,0.0,0.8294874062577884,72,0,72,72,OK,0.11026220419582683,IOT_PSC
0.0,19,,2019-11-27_SCI_zet_Tuc_oidataCalibrated_19.fits,0.0,0.7984788398126897,72,0,72,72,OK,0.09806776774745958,zet_Tuc
0.0,19,,2019-11-28_CAL_HD30507_oidataCalibrated_19.fits,0.0,0.8118199775168826,36,0,36,36,OK,0.0709692704152432,2019-11-28_CAL_HD30507
0.0,19,,2019-11-28_CAL_HD30519_oidataCalibrated_19.fits,0.0,0.841115998430418,36,0,36,36,OK,0.043348278981999416,2019-11-28_CAL_HD30519
0.0,19,,2019-11-28_CAL_HR1618_oidataCalibrated_19.fits,0.0,0.7352115132304713,36,0,36,36,OK,0.10804592666823187,2019-11-28_CAL_HR1618
0.0,19,,2019-11-28_SCI_pi3_Ori_oidataCalibrated_19.fits,0.0,0.6614564521349027,72,0,72,72,OK,0.14526603618776396,pi3_Ori
0.0,19,,2019-11-29_CAL_HD220757_oidataCalibrated_19.fits,0.0,0.9006108493133773,36,0,36,36,OK,0.03879758259868562,2019-11-29_CAL_HD220757
0.0,19,,2019-11-29_CAL_HD43_oidataCalibrated_19.fits,0.0,0.9007869405374819,36,0,36,36,OK,0.030037245856387656,2019-11-29_CAL_HD43
0.0,19,,2019-11-29_CAL_HD68_oidataCalibrated_19.fits,0.0,0.9218376230178917,36,0,36,36,OK,0.05039024273889831,2019-11-29_CAL_HD68
0.0,19,,2019-11-29_CAL_HD8025_oidataCalibrated_19.fits,0.0,0.93368735634956,36,0,36,36,OK,0.038600003202882274,2019-11-29_CAL_HD8025
0.0,19,,2019-11-29_CAL_HR1534_oidataCalibrated_19.fits,0.0,0.7638518110567569,36,0,36,36,OK,0.095623339090338,2019-11-29_CAL_HR1534
0.0,19,,2019-11-29_CAL_HR1618_oidataCalibrated_19.fits,0.0,0.6912341502047626,36,0,36,36,OK,0.12726776216674038,2019-11-29_CAL_HR1618
0.0,19,,2019-11-29_CAL_HR1681_oidataCalibrated_19.fits,0.0,0.8043757938062954,36,0,36,36,OK,0.0793629465087369,2019-11-29_CAL_HR1681
0.0,19,,2019-11-29_CAL_HR67_oidataCalibrated_19.fits,0.0,0.8896312408168315,36,0,36,36,OK,0.05367370192137999,2019-11-29_CAL_HR67
0.0,19,,2019-11-29_SCI_IOT_PSC_oidataCalibrated_19.fits,0.0,0.8195625018515834,36,0,36,36,OK,0.1017627439837695,IOT_PSC
0.0,19,,2019-11-29_SCI_pi3_Ori_oidataCalibrated_19.fits,0.0,0.6215329730915298,72,0,72,72,OK,0.16481783389452806,pi3_Ori
0.0,19,,2019-11-29_SCI_zet_Tuc_oidataCalibrated_19.fits,0.0,0.8236847373341694,72,0,72,72,OK,0.10851679551239139,zet_Tuc
0.0,19,,2021-02-17_CAL_HD65181_oidataCalibrated_19.fits,0.0,0.8819732858966558,36,0,36,36,OK,0.08981583225736892,2021-02-17_CAL_HD65181
0.0,19,,2021-02-17_CAL_HD70942_oidataCalibrated_19.fits,0.0,0.9057530673387553,36,0,36,36,OK,0.05515901136345206,2021-02-17_CAL_HD70942
