B-V,M_fin,Mv,actual_M_ini,age_gyr,age_myr,filename,logL,logTe,mass_difference,mh,requested_M_ini
1.334299999999999,0.599433698,8.7314,0.599433698,0.6,600.0,data/basti/600z172y269p00o1d1e1.isc_john,-1.1631200000000002,3.59746,0.000566301999999963,0.062,0.6
1.3339999999999996,0.6004182793,8.7207,0.6004182793,0.65,650.0,data/basti/650z172y269p00o1d1e1.isc_john,-1.1601,3.59775,0.0004182793000000462,0.062,0.6
1.333499999999999,0.6019291992,8.7026,0.6019291992,0.7,700.0,data/basti/700z172y269p00o1d1e1.isc_john,-1.15531,3.5983,0.001929199200000009,0.062,0.6
1.3351999999999986,0.5964048795,8.7634,0.5964048795,0.75,750.0,data/basti/750z172y269p00o1d1e1.isc_john,-1.1710399999999999,3.59637,0.003595120499999993,0.062,0.6
1.3346,0.5989401566,8.737,0.5989401566,0.8,800.0,data/basti/800z172y269p00o1d1e1.isc_john,-1.16378,3.59711,0.0010598433999999823,0.062,0.6
1.3336999999999986,0.6018183048,8.704,0.6018183048,0.85,850.0,data/basti/850z172y269p00o1d1e1.isc_john,-1.15511,3.5981400000000003,0.0018183048000000035,0.062,0.6
1.3347999999999995,0.5982257052000001,8.7444,0.5982257052000001,0.9,900.0,data/basti/900z172y269p00o1d1e1.isc_john,-1.16541,3.59683,0.0017742947999999092,0.062,0.6
1.3337000000000003,0.6019753313,8.7019,0.6019753313,0.95,950.0,data/basti/950z172y269p00o1d1e1.isc_john,-1.15426,3.5981400000000003,0.0019753313000000494,0.062,0.6
1.3346,0.5992532927,8.7335,0.5992532927,1.0,1000.0,data/basti/1000z172y269p00o1d1e1.isc_john,-1.16219,3.59709,0.0007467072999999269,0.062,0.6
1.3338999999999999,0.6014187487,8.708,0.6014187487,1.1,1100.0,data/basti/1100z172y269p00o1d1e1.isc_john,-1.15539,3.59785,0.0014187487000000276,0.062,0.6
1.3348999999999993,0.5980927544,8.7446,0.5980927544,1.2,1200.0,data/basti/1200z172y269p00o1d1e1.isc_john,-1.16468,3.59666,0.001907245599999996,0.062,0.6
1.3338,0.6017526604,8.7027,0.6017526604,1.3,1300.0,data/basti/1300z172y269p00o1d1e1.isc_john,-1.1536,3.5979400000000004,0.0017526603999999946,0.062,0.6
1.3344000000000005,0.6001891368,8.7209,0.6001891368,1.4,1400.0,data/basti/1400z172y269p00o1d1e1.isc_john,-1.1579899999999999,3.59729,0.00018913679999998934,0.062,0.6
1.3346999999999998,0.5992989387,8.7296,0.5992989387,1.5,1500.0,data/basti/1500z172y269p00o1d1e1.isc_john,-1.1601299999999999,3.5969900000000004,0.0007010613000000276,0.062,0.6
1.3346999999999998,0.5989106756,8.7327,0.5989106756,1.6,1600.0,data/basti/1600z172y269p00o1d1e1.isc_john,-1.1608100000000001,3.5968699999999996,0.0010893243999999802,0.062,0.6
1.3347000000000016,0.5989510176,8.7313,0.5989510176,1.7,1700.0,data/basti/1700z172y269p00o1d1e1.isc_john,-1.16029,3.59689,0.0010489823999999537,0.062,0.6
1.3346,0.5993692399,8.7258,0.5993692399,1.8,1800.0,data/basti/1800z172y269p00o1d1e1.isc_john,-1.1587100000000001,3.59703,0.0006307600999999607,0.062,0.6
1.334900000000001,0.5981815273,8.7372,0.5981815273,1.9,1900.0,data/basti/1900z172y269p00o1d1e1.isc_john,-1.16164,3.59666,0.0018184727000000178,0.062,0.6
1.3336000000000006,0.6021049579,8.6912,0.6021049579,2.0,2000.0,data/basti/2000z172y269p00o1d1e1.isc_john,-1.14965,3.5981099999999997,0.002104957899999982,0.062,0.6
1.3340000000000014,0.6011524268999999,8.7015,0.6011524268999999,2.1,2100.0,data/basti/2100z172y269p00o1d1e1.isc_john,-1.15216,3.59774,0.0011524268999999476,0.062,0.6
1.3340999999999994,0.6008824538,8.7036,0.6008824538,2.2,2200.0,data/basti/2200z172y269p00o1d1e1.isc_john,-1.15258,3.59765,0.0008824538000000715,0.062,0.6
1.3339999999999996,0.6008605675,8.7026,0.6008605675,2.3,2300.0,data/basti/2300z172y269p00o1d1e1.isc_john,-1.1522299999999999,3.59767,0.0008605675000000756,0.062,0.6
1.3339999999999996,0.6010568225999999,8.6989,0.6010568225999999,2.4,2400.0,data/basti/2400z172y269p00o1d1e1.isc_john,-1.15121,3.5977699999999997,0.0010568225999999514,0.062,0.6
1.3338999999999999,0.6010790789,8.6973,0.6010790789,2.5,2500.0,data/basti/2500z172y269p00o1d1e1.isc_john,-1.15072,3.59781,0.00107907890000003,0.062,0.6
1.3339999999999996,0.6008871346,8.6983,0.6008871346,2.6,2600.0,data/basti/2600z172y269p00o1d1e1.isc_john,-1.1509,3.59776,0.0008871346000000058,0.062,0.6
1.3339999999999996,0.6008724036,8.6971,0.6008724036,2.7,2700.0,data/basti/2700z172y269p00o1d1e1.isc_john,-1.1505299999999998,3.59778,0.0008724036000000712,0.062,0.6
1.3338999999999999,0.6010159897,8.694,0.6010159897,2.8,2800.0,data/basti/2800z172y269p00o1d1e1.isc_john,-1.14967,3.59787,0.0010159897000000528,0.062,0.6
1.3338,0.6011577129,8.6909,0.6011577129,2.9,2900.0,data/basti/2900z172y269p00o1d1e1.isc_john,-1.1488200000000002,3.59796,0.0011577128999999964,0.062,0.6
1.3338,0.601184066,8.6891,0.601184066,3.0,3000.0,data/basti/3000z172y269p00o1d1e1.isc_john,-1.14831,3.59801,0.0011840659999999836,0.062,0.6
1.3336000000000006,0.6013364137,8.6859,0.6013364137,3.1,3100.0,data/basti/3100z172y269p00o1d1e1.isc_john,-1.14743,3.5981,0.0013364137000000387,0.062,0.6
1.333499999999999,0.6016026224000001,8.6812,0.6016026224000001,3.2,3200.0,data/basti/3200z172y269p00o1d1e1.isc_john,-1.14618,3.59825,0.0016026224000000866,0.062,0.6
1.3332999999999995,0.6019719484,8.6752,0.6019719484,3.3,3300.0,data/basti/3300z172y269p00o1d1e1.isc_john,-1.14462,3.59844,0.0019719484000000342,0.062,0.6
1.3346,0.5981615339999999,8.7177,0.5981615339999999,3.4,3400.0,data/basti/3400z172y269p00o1d1e1.isc_john,-1.1555600000000001,3.5970699999999995,0.0018384660000000386,0.062,0.6
1.3345000000000002,0.5981169657000001,8.7168,0.5981169657000001,3.5,3500.0,data/basti/3500z172y269p00o1d1e1.isc_john,-1.1552799999999999,3.59709,0.0018830342999999194,0.062,0.6
1.3345000000000002,0.5981632989,8.7149,0.5981632989,3.6,3600.0,data/basti/3600z172y269p00o1d1e1.isc_john,-1.1547399999999999,3.59714,0.0018367011000000044,0.062,0.6
1.3344000000000005,0.5982927106,8.7121,0.5982927106,3.7,3700.0,data/basti/3700z172y269p00o1d1e1.isc_john,-1.15396,3.5972199999999996,0.0017072893999999783,0.062,0.6
1.334299999999999,0.5984981697,8.7085,0.5984981697,3.8,3800.0,data/basti/3800z172y269p00o1d1e1.isc_john,-1.15297,3.59732,0.001501830299999951,0.062,0.6
1.334299999999999,0.5987733403,8.7041,0.5987733403,3.9,3900.0,data/basti/3900z172y269p00o1d1e1.isc_john,-1.15178,3.59745,0.0012266597000000212,0.062,0.6
1.3341000000000012,0.5990932282,8.6993,0.5990932282,4.0,4000.0,data/basti/4000z172y269p00o1d1e1.isc_john,-1.15046,3.5975900000000003,0.0009067717999999836,0.062,0.6
1.3331999999999997,0.6013832422,8.6709,0.6013832422,4.1,4100.0,data/basti/4100z172y269p00o1d1e1.isc_john,-1.1431200000000001,3.5985,0.0013832421999999678,0.062,0.6
1.3339000000000016,0.5994679554,8.6924,0.5994679554,4.2,4200.0,data/basti/4200z172y269p00o1d1e1.isc_john,-1.14857,3.5977900000000003,0.0005320446000000034,0.062,0.6
1.3340999999999994,0.5988543316,8.6975,0.5988543316,4.3,4300.0,data/basti/4300z172y269p00o1d1e1.isc_john,-1.14991,3.59763,0.0011456683999999662,0.062,0.6
1.3331,0.6015853991,8.6639,0.6015853991,4.4,4400.0,data/basti/4400z172y269p00o1d1e1.isc_john,-1.14124,3.59871,0.0015853990999999956,0.062,0.6
1.3332000000000015,0.6010760718,8.6688,0.6010760718,4.5,4500.0,data/basti/4500z172y269p00o1d1e1.isc_john,-1.1424299999999998,3.5985400000000003,0.0010760718000000224,0.062,0.6
1.3332999999999995,0.6006264517000001,8.673,0.6006264517000001,4.6,4600.0,data/basti/4600z172y269p00o1d1e1.isc_john,-1.14343,3.59839,0.0006264517000000858,0.062,0.6
1.3335000000000008,0.6002332335,8.6764,0.6002332335,4.7,4700.0,data/basti/4700z172y269p00o1d1e1.isc_john,-1.14426,3.59826,0.00023323350000004073,0.062,0.6
1.3336000000000006,0.5998933504999999,8.679,0.5998933504999999,4.8,4800.0,data/basti/4800z172y269p00o1d1e1.isc_john,-1.14489,3.5981699999999996,0.00010664950000005557,0.062,0.6
1.3336000000000006,0.5996039536,8.6807,0.5996039536,4.9,4900.0,data/basti/4900z172y269p00o1d1e1.isc_john,-1.14531,3.5981199999999998,0.00039604640000001634,0.062,0.6
1.3336999999999986,0.5993623915,8.6818,0.5993623915,5.0,5000.0,data/basti/5000z172y269p00o1d1e1.isc_john,-1.1455899999999999,3.5980800000000004,0.0006376084999999421,0.062,0.6
1.3337000000000003,0.5991661942000001,8.6824,0.5991661942000001,5.1,5100.0,data/basti/5100z172y269p00o1d1e1.isc_john,-1.14575,3.59806,0.0008338057999999204,0.062,0.6
1.3336999999999986,0.5990130567999999,8.6826,0.5990130567999999,5.2,5200.0,data/basti/5200z172y269p00o1d1e1.isc_john,-1.14578,3.59805,0.0009869432000000344,0.062,0.6
