period,night,grade,mode,sequence_science,observed_name,pndrs_name,matched_id,expected_role,actual_role,science_value,Primary,HD_ID,Ref_ID_1,Ref_ID_2,Ref_ID_3,n_raw_observations,status
106,2022-02-26,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,bright,ksi_Gem,HR_2426,HR2426,HD47156,CAL,CAL,False,HR2426,HD47156,,,,6,WARNING:OIDIAM_NAME_MISMATCH;WARNING:PRIMARY_NOT_USED_BY_OLD_OIDIAM
106,2022-02-26,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,bright,ksi_Gem,HR_2610,HR2610,HD51814,CAL,CAL,False,HR2610,HD51814,,,,6,WARNING:OIDIAM_NAME_MISMATCH;WARNING:PRIMARY_NOT_USED_BY_OLD_OIDIAM
106,2022-03-01,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,faint,ksi_Gem,HR_2342,HR2342,HD45512,CAL,CAL,False,HR2342,HD45512,,,,6,WARNING:OIDIAM_NAME_MISMATCH;WARNING:PRIMARY_NOT_USED_BY_OLD_OIDIAM
106,2022-03-01,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,faint,ksi_Gem,ksi_Gem,ksi_Gem,HD48737,SCI,SCI,True,ksiGem,HD48737,,,,16,WARNING:OIDIAM_NAME_MISMATCH;WARNING:PRIMARY_NOT_USED_BY_OLD_OIDIAM
106,2022-03-01,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,faint,ksi_Gem,HR_2391,HR2391,HD4849,CAL,CAL,False,HR2391,HD4849,,,,6,WARNING:OIDIAM_NAME_MISMATCH;WARNING:PRIMARY_NOT_USED_BY_OLD_OIDIAM
106,2022-03-01,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,faint,ksi_Gem,HR_2426,HR2426,HD47156,CAL,CAL,False,HR2426,HD47156,,,,6,WARNING:OIDIAM_NAME_MISMATCH;WARNING:PRIMARY_NOT_USED_BY_OLD_OIDIAM
106,2022-01-06,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,bright,psi Vel A,HD_79810,HD_79810,HD79810,CAL,CAL,False,HD79810,HD79810,,,,6,OK
106,2022-01-06,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,bright,psi Vel A,psi Vel A,psi Vel A,HD82434,SCI,SCI,True,psiVel,HD82434,psivela,HD82434a,,16,OK
106,2022-01-06,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,bright,psi Vel A,HR_3729,HR3729,HD81134,CAL,CAL,False,HR3729,HD81134,,,,6,WARNING:OIDIAM_NAME_MISMATCH;WARNING:PRIMARY_NOT_USED_BY_OLD_OIDIAM
106,2022-01-06,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,bright,psi Vel A,HD_84900,HD_84900,HD84900,CAL,CAL,False,HD84900,HD84900,,,,6,OK
106,2021-03-05,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,faint,psi_Vel,HD_76437,HD_76437,HD76437,CAL,CAL,False,HD76437,HD76437,,,,6,OK
106,2021-03-05,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,faint,psi_Vel,psi_Vel,psi_Vel,HD82434,SCI,SCI,True,psiVel,HD82434,psivela,HD82434a,,16,WARNING:OIDIAM_NAME_MISMATCH;WARNING:PRIMARY_NOT_USED_BY_OLD_OIDIAM
106,2021-03-05,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,faint,psi_Vel,HR_3729,HR3729,HD81134,CAL,CAL,False,HR3729,HD81134,,,,6,WARNING:OIDIAM_NAME_MISMATCH;WARNING:PRIMARY_NOT_USED_BY_OLD_OIDIAM
106,2021-03-05,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,faint,psi_Vel,HD_84369,HD_84369,HD84369,CAL,CAL,False,HD84369,HD84369,,,,6,OK
106,2021-02-18,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,bright,rho_Pup,HD_59936,HD_59936,HD59936,CAL,CAL,False,HD59936,HD59936,,,,6,OK
106,2021-02-18,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,bright,rho_Pup,rho_Pup,rho_Pup,HD67523,SCI,SCI,True,rhoPup,HD67523,,,,16,WARNING:OIDIAM_NAME_MISMATCH;WARNING:PRIMARY_NOT_USED_BY_OLD_OIDIAM
106,2021-02-18,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,bright,rho_Pup,HD  63734,HD  63734,HD63734,CAL,CAL,False,HD63734,HD63734,,,,6,OK
106,2021-02-18,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,bright,rho_Pup,HR_3317,HR3317,HD71231,CAL,CAL,False,HR3317,HD71231,,,,6,WARNING:OIDIAM_NAME_MISMATCH;WARNING:PRIMARY_NOT_USED_BY_OLD_OIDIAM
106,2021-02-18,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,faint,rho_Pup,HD_59936,HD_59936,HD59936,CAL,CAL,False,HD59936,HD59936,,,,6,OK
106,2021-02-18,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,faint,rho_Pup,rho_Pup,rho_Pup,HD67523,SCI,SCI,True,rhoPup,HD67523,,,,16,WARNING:OIDIAM_NAME_MISMATCH;WARNING:PRIMARY_NOT_USED_BY_OLD_OIDIAM
106,2021-02-18,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,faint,rho_Pup,HD_63734,HD_63734,HD63734,CAL,CAL,False,HD63734,HD63734,,,,6,OK
106,2021-02-18,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,faint,rho_Pup,HR_3317,HR3317,HD71231,CAL,CAL,False,HR3317,HD71231,,,,6,WARNING:OIDIAM_NAME_MISMATCH;WARNING:PRIMARY_NOT_USED_BY_OLD_OIDIAM
