night,oi_target,matched_id,expected_role,tgt_info_role,sequence_names,Primary,HD_ID,Ref_ID_1,Ref_ID_2,Ref_ID_3,old_oidiam_names,old_name_matches_real_oi_target,n_files,status
2022-01-06,HR_3729,HD81134,CAL,CAL,HR_3729,HR3729,HD81134,,,,HD81134,False,5,WARNING:OLD_OIDIAM_NAME_MISMATCH
2022-01-06,psi Vel A,HD82434,SCI,SCI,psi Vel A,psiVel,HD82434,psivela,HD82434a,,HD82434 | psivela | HD82434a,True,10,OK
2022-02-26,12_Mon,HD46241,CAL,CAL,12_Mon,12Mon,HD46241,,,,HD46241,False,5,WARNING:OLD_OIDIAM_NAME_MISMATCH
2022-02-26,HR_2426,HD47156,CAL,CAL,HR_2426,HR2426,HD47156,,,,HD47156,False,5,WARNING:OLD_OIDIAM_NAME_MISMATCH
2022-02-26,HR_2610,HD51814,CAL,CAL,HR_2610,HR2610,HD51814,,,,HD51814,False,5,WARNING:OLD_OIDIAM_NAME_MISMATCH
2022-02-26,ksi_Gem,HD48737,SCI,SCI,ksi_Gem,ksiGem,HD48737,,,,HD48737,False,10,WARNING:OLD_OIDIAM_NAME_MISMATCH
2022-03-01,HR_2342,HD45512,CAL,CAL,HR_2342,HR2342,HD45512,,,,HD45512,False,5,WARNING:OLD_OIDIAM_NAME_MISMATCH
2022-03-01,HR_2391,HD4849,CAL,CAL,HR_2391,HR2391,HD4849,,,,HD4849,False,5,WARNING:OLD_OIDIAM_NAME_MISMATCH
2022-03-01,HR_2426,HD47156,CAL,CAL,HR_2426,HR2426,HD47156,,,,HD47156,False,5,WARNING:OLD_OIDIAM_NAME_MISMATCH
2022-03-01,ksi_Gem,HD48737,SCI,SCI,ksi_Gem,ksiGem,HD48737,,,,HD48737,False,10,WARNING:OLD_OIDIAM_NAME_MISMATCH
2022-03-31,HD121981,HD121981,CAL,CAL,HD121981,HD121981,HD121981,,,,HD121981,True,5,OK
2022-03-31,HD123255,HD123255,CAL,CAL,HD123255,HD123255,HD123255,,,,HD123255,True,5,OK
2022-03-31,HD124850,HD124850,SCI,SCI,HD124850,HD124850,HD124850,HD124850,iot Vir,,HD124850 | HD124850 | iot Vir,True,10,OK
2022-03-31,HD125490,HD125490,CAL,CAL,HD125490,HD125490,HD125490,,,,HD125490,True,5,OK
2022-03-31,HD139610,HD139610,CAL,CAL,HD139610,HD139610,HD139610,,,,HD139610,True,5,OK
2022-03-31,HD141004,HD141004,SCI,SCI,HD141004,HD141004,HD141004,HD141004,lam Ser,,HD141004 | HD141004 | lam Ser,True,10,OK
2022-03-31,HD142443,HD142443,CAL,CAL,HD142443,HD142443,HD142443,,,,HD142443,True,5,OK
2022-03-31,HD142639,HD142639,CAL,CAL,HD142639,HD142639,HD142639,,,,HD142639,True,5,OK
2022-04-02,HD141004,HD141004,SCI,SCI,HD141004,HD141004,HD141004,HD141004,lam Ser,,HD141004 | HD141004 | lam Ser,True,10,OK
2022-04-02,HD142443,HD142443,CAL,CAL,HD142443,HD142443,HD142443,,,,HD142443,True,5,OK
2022-04-02,HD142862,HD142862,CAL,CAL,HD142862,HD142862,HD142862,,,,HD142862,True,5,OK
2022-04-02,HD143129,HD143129,CAL,CAL,HD143129,HD143129,HD143129,,,,HD143129,True,5,OK
2022-04-03,HD122135,HD122135,CAL,CAL,HD122135,HD122135,HD122135,,,,HD122135,True,5,OK
2022-04-03,HD124850,HD124850,SCI,SCI,HD124850,HD124850,HD124850,HD124850,iot Vir,,HD124850 | HD124850 | iot Vir,True,10,OK
2022-04-03,HD125183,HD125183,CAL,CAL,HD125183,HD125183,HD125183,,,,HD125183,True,5,OK
2022-04-03,HD125490,HD125490,CAL,CAL,HD125490,HD125490,HD125490,,,,HD125490,True,5,OK
2022-04-03,HD141589,HD141589,CAL,CAL,HD141589,HD141589,HD141589,,,,HD141589,True,5,OK
2022-04-03,HD141827,HD141827,CAL,CAL,HD141827,HD141827,HD141827,,,,HD141827,True,5,OK
2022-04-03,HD142860,HD142860,SCI,SCI,HD142860,HD142860,HD142860,HD142860,gam Ser,,HD142860 | HD142860 | gam Ser,True,10,OK
2022-04-03,HD143896,HD143896,CAL,CAL,HD143896,HD143896,HD143896,,,,HD143896,True,5,OK
