column,max,mean,median,min,n_finite,n_nan,n_total,std
dict_period,106.0,105.04545454545455,105.0,104.0,11000,0,11000,0.8778730870830894
index,499.0,249.5,249.5,0.0,11000,0,11000,144.33727862198316
