column,frac_nan,n_nan,n_total
dict_key,0.0,0,7000
index,0.0,0,7000
MJD,0.0,0,7000
TEL_PAIR,0.0,0,7000
VIS2,0.0,0,7000
FLAG,0.0,0,7000
BASELINE,0.0,0,7000
WAVELENGTH,0.0,0,7000
LDD_FIT,0.07142857142857142,500,7000
LDD_PRED,1.0,7000,7000
e_LDD_PRED,1.0,7000,7000
u_LLD,1.0,7000,7000
C_SCALE,0.0,0,7000
SEQ_ORDER,0.0,0,7000
UDD_FIT,0.07142857142857142,500,7000
C_SCALE_UDD,0.0,0,7000
