index,STAR,HD,PERIOD,SEQUENCE,VIS2,e_VIS2,BASELINE,WAVELENGTH,LDD_FIT,e_LDD_FIT,C_SCALE,e_C_SCALE,SEQ_ORDER,U_LAMBDA,e_U_LAMBDA,S_LAMBDA,e_S_LAMBDA,UDD_FIT,e_UDD_FIT,C_SCALE_UDD,e_C_SCALE_UDD
0,HD124850,HD124850,105,bright,"[[0.84962318 0.86425521 0.879821   0.88706082 0.90809578 0.90682236]
 [0.64891736 0.65206972 0.67593288 0.6901052  0.70858908 0.72620558]
 [0.61219251 0.62173738 0.64015191 0.66584333 0.69245737 0.71489491]
 [0.9528008  0.95570023 0.95656431 0.94445    0.97096923 0.96179123]
 [0.64071457 0.65754979 0.6800916  0.70270752 0.71302699 0.74772538]
 [0.78389674 0.80032291 0.81890285 0.82776698 0.84390316 0.84852168]
 [0.84929749 0.86823885 0.87550843 0.89340494 0.91090408 0.91606934]
 [0.6680153  0.67450089 0.69690102 0.70637238 0.72141506 0.73476112]
 [0.61380439 0.62869741 0.64778287 0.6748488  0.70020055 0.72783387]
 [0.95990653 0.9646075  0.96206779 0.94820186 0.97814951 0.97572247]
 [0.65775424 0.67689672 0.69843245 0.71448141 0.72821605 0.75595406]
 [0.77495994 0.78949479 0.81094114 0.82524903 0.84569983 0.86524615]]","[[0.0041125  0.00459276 0.00382451 0.00323772 0.0034403  0.00494478]
 [0.00398569 0.00256747 0.00196692 0.00140349 0.00191942 0.00168192]
 [0.00259043 0.00114515 0.00161274 0.00261266 0.00204144 0.00180029]
 [0.00555281 0.00632338 0.00504166 0.00544425 0.00445866 0.00354757]
 [0.00391122 0.00464914 0.00351725 0.00341249 0.0033824  0.0025113 ]
 [0.00318352 0.00333942 0.00370547 0.0039146  0.00261693 0.00199257]
 [0.00764842 0.0079737  0.00628331 0.00586285 0.00626211 0.00596236]
 [0.00318317 0.0034927  0.00348747 0.00380213 0.0041055  0.00434581]
 [0.00346537 0.00357835 0.00310999 0.00355021 0.0048111  0.00279302]
 [0.00715042 0.00756738 0.00548512 0.00654535 0.0056923  0.00495351]
 [0.0067587  0.00674922 0.00413599 0.00445633 0.00438802 0.00410843]
 [0.00368004 0.00297851 0.00235609 0.0029425  0.00249854 0.0027641 ]]","[ 84.71024776 124.89677344 132.31946829  58.21336243 127.12312075
  96.65062385  82.82868449 122.58330504 132.41429014  58.05882426
 127.62810998  96.11126056]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],1.1161175624272026,0.00526360657754358,[1.05139448],[0.00399113],[['HD124850' 'bright' '105']],,,,,1.0924734448462994,0.004839241988386021,[1.05122207],[0.00398471]
1,HD124850,HD124850,105,faint,"[[0.92095291 0.92419473 0.92857816 0.93628333 0.95896046 0.95482482]
 [0.70354977 0.70906251 0.74190206 0.74507379 0.76095186 0.77523358]
 [0.6533344  0.66939765 0.69108188 0.70814557 0.74780943 0.76642967]
 [1.01816536 1.00846668 1.00819745 1.00707046 1.02769576 1.02597004]
 [0.67788009 0.69969835 0.71232998 0.73041637 0.74760647 0.77176568]
 [0.81490283 0.82130801 0.84655279 0.86220338 0.87041644 0.88324599]
 [0.91055177 0.92073211 0.91819523 0.93845422 0.95685504 0.95608527]
 [0.70450122 0.7171899  0.74060093 0.74728347 0.75968463 0.77012026]
 [0.6452294  0.66223185 0.67931382 0.70110562 0.73586345 0.76179875]
 [1.01804086 1.00533982 1.00600301 1.00769488 1.02442267 1.03391132]
 [0.67134659 0.69330522 0.70869242 0.72704987 0.74429551 0.76638212]
 [0.81280937 0.81826383 0.84304895 0.86208058 0.87812794 0.8997109 ]]","[[0.00942101 0.00814654 0.00680485 0.00582275 0.00623751 0.00739743]
 [0.00669014 0.00523936 0.00602159 0.00558109 0.00545397 0.00643653]
 [0.00762085 0.00664527 0.00621609 0.00510152 0.00590707 0.00573117]
 [0.00942943 0.00483689 0.00706822 0.00354841 0.00879336 0.00322835]
 [0.00469486 0.0042086  0.00373123 0.00287725 0.00377531 0.00334525]
 [0.00381254 0.00428402 0.0052783  0.00462829 0.00610077 0.0070776 ]
 [0.00618948 0.00521568 0.00385929 0.00357906 0.0036459  0.00412155]
 [0.00531497 0.00365186 0.00371311 0.00326467 0.00327239 0.00348936]
 [0.00568432 0.00443203 0.00423119 0.0036746  0.00435211 0.00419918]
 [0.0067444  0.00359869 0.00533382 0.00316995 0.0075069  0.00279908]
 [0.00342222 0.00316807 0.00287327 0.00241804 0.00305289 0.00286467]
 [0.00339287 0.00371204 0.0044546  0.00379602 0.00573041 0.00648755]]","[ 83.69065743 123.66681424 132.41027916  58.14783017 127.40110092
  96.34310274  81.41909517 120.73821973 132.30169035  57.85823657
 127.98501573  95.77903885]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],1.098424903700336,0.007531964747547349,[1.08774557],[0.00371801],[['HD124850' 'faint' '105']],,,,,1.0750345963871617,0.007099859945404006,[1.08748059],[0.0037145]
2,HD141004,HD141004,105,bright,"[[0.87061352 0.8800386  0.89362677 0.89955802 0.90979327 0.90942109]
 [0.66953695 0.68657838 0.71457211 0.72313113 0.73994549 0.75345089]
 [0.68552336 0.69523304 0.71727441 0.72616342 0.75830344 0.77193371]
 [0.98164555 0.97507598 0.97971126 0.96856654 0.99205365 0.98993096]
 [0.74894598 0.75750594 0.77336839 0.77813486 0.78858952 0.81046452]
 [0.82957607 0.84525623 0.85941535 0.86851666 0.87460597 0.88507653]
 [0.87691389 0.88347385 0.89793419 0.9091409  0.92096134 0.92388736]
 [0.68212901 0.69905949 0.72309323 0.73271413 0.74981041 0.76003822]
 [0.68269971 0.69734838 0.71804821 0.73367812 0.76331213 0.78104635]
 [0.98467697 0.97574875 0.98301178 0.97359369 1.00385603 0.99450291]
 [0.75828612 0.76751872 0.78328954 0.7878294  0.79933648 0.82294825]
 [0.85505684 0.86685447 0.87894478 0.89731007 0.90338416 0.92429601]]","[[0.00419899 0.00369762 0.00364887 0.00342264 0.00391028 0.0023547 ]
 [0.00329222 0.00332237 0.00264667 0.00284482 0.00324677 0.00193561]
 [0.00881225 0.00726349 0.00665039 0.0067526  0.00624158 0.00654157]
 [0.00645428 0.00420269 0.00681459 0.00467531 0.0052324  0.00438527]
 [0.01024944 0.00877918 0.00825503 0.00699741 0.00538985 0.00621206]
 [0.00937592 0.00893669 0.00902478 0.00874497 0.00875316 0.00797793]
 [0.00676091 0.00678798 0.00650529 0.0065263  0.00645289 0.00600595]
 [0.00556432 0.00610417 0.00504881 0.00619943 0.00693905 0.00508602]
 [0.00412684 0.00387708 0.00347514 0.00424512 0.00357031 0.00329428]
 [0.00612303 0.00402039 0.00527206 0.00451784 0.00423328 0.00504251]
 [0.00485355 0.00258252 0.00300851 0.00263494 0.00292427 0.00367527]
 [0.00372995 0.00369315 0.00246826 0.0030864  0.00353451 0.0032405 ]]","[ 86.38937323 128.58881309 125.72866395  56.49944947 113.27910674
  88.579311    84.74091868 127.57069779 127.55270006  57.1574726
 113.99096783  87.46160558]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],1.0491557781602132,0.005728509669951379,[1.05575081],[0.00344246],[['HD141004' 'bright' '105']],,,,,1.028334524430916,0.005222470153321102,[1.05561005],[0.0034372]
3,HD141004,HD141004,105,faint,"[[0.86336588 0.87156727 0.88520876 0.90334179 0.91273655 0.91436452]
 [0.67996559 0.69057193 0.71617175 0.72493024 0.74198543 0.75601162]
 [0.71778751 0.73344697 0.75005945 0.77500786 0.79295665 0.80387676]
 [0.9874957  0.9826437  0.98172891 0.9729708  0.99710911 0.98293233]
 [0.75235793 0.77434641 0.78636172 0.79589321 0.80346812 0.82108601]
 [0.83112778 0.8461227  0.85293313 0.87426084 0.87592595 0.88412609]
 [0.85698424 0.8658448  0.88710771 0.90003546 0.91316181 0.91782096]
 [0.67333911 0.68571816 0.70939593 0.71910458 0.7358109  0.74894821]
 [0.69687874 0.70496169 0.72516765 0.74509351 0.76715527 0.78867258]
 [0.97942958 0.96757852 0.9711885  0.96316738 0.98757211 0.98085233]
 [0.75713957 0.77767929 0.79311967 0.80354335 0.80879321 0.82852279]
 [0.83874995 0.84971156 0.85503964 0.87306634 0.87427227 0.88829484]]","[[0.00374026 0.00393462 0.00354777 0.00314028 0.00305743 0.00309635]
 [0.00323345 0.00323532 0.00308733 0.00334546 0.00367227 0.00368746]
 [0.0060955  0.00410803 0.00395706 0.00277726 0.00487678 0.00329927]
 [0.00603513 0.00467278 0.00508541 0.0041506  0.00335139 0.0037124 ]
 [0.00318802 0.00430712 0.00440609 0.00301064 0.00335162 0.00241812]
 [0.00351498 0.00308735 0.00236051 0.001775   0.00274003 0.00258646]
 [0.00288891 0.00327476 0.00348625 0.00333718 0.00308392 0.00310001]
 [0.00345461 0.00370591 0.00307213 0.00321503 0.00356712 0.00330493]
 [0.00538177 0.00463685 0.00420904 0.00314042 0.00434309 0.00367603]
 [0.00320999 0.00348983 0.00327058 0.00343548 0.00380011 0.00276408]
 [0.00517781 0.00358672 0.00349335 0.002206   0.00206855 0.00266973]
 [0.00343164 0.00263267 0.00184778 0.00171115 0.00323382 0.00295701]]","[ 88.7475002  129.2225932  121.57470244  54.8492412  112.2357043
  90.78865482  86.14730604 128.45955792 126.03471437  56.61352815
 113.38459554  88.39961693]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],1.0230242764856425,0.005359765436997872,[1.04238821],[0.00213968],[['HD141004' 'faint' '105']],,,,,1.0027743530134459,0.004880222824234179,[1.04227001],[0.00213664]
4,HD142860,HD142860,105,faint,"[[0.83181738 0.85451876 0.87823802 0.88624174 0.91236187 0.91335834]
 [0.62041059 0.6396316  0.66878136 0.67041643 0.68855583 0.70533556]
 [0.57692336 0.59290889 0.62780907 0.64816069 0.68437065 0.69846814]
 [0.95789611 0.93570183 0.95466172 0.93703215 0.97303723 0.97949336]
 [0.71936686 0.73726516 0.75070922 0.76906174 0.77181196 0.80145716]
 [0.83426919 0.85326605 0.87556996 0.89104927 0.8850793  0.91212128]
 [0.80803393 0.83882058 0.86705026 0.8787622  0.90632764 0.91173134]
 [0.63530162 0.66029675 0.68388755 0.68796824 0.70954663 0.72159084]
 [0.56456568 0.59063559 0.62372494 0.64654521 0.6828636  0.69555341]
 [0.92177974 0.91301685 0.92667173 0.91492825 0.94452233 0.95093427]
 [0.69858879 0.7251017  0.74225272 0.76228825 0.77138998 0.80033477]
 [0.8111458  0.83529277 0.85599574 0.88061495 0.87103847 0.91005507]]","[[0.00677058 0.00685491 0.00480031 0.00379333 0.00273644 0.0026243 ]
 [0.00376587 0.00374155 0.00222655 0.0021739  0.00220848 0.00311392]
 [0.00207819 0.00166135 0.0026772  0.00241538 0.0023893  0.0036634 ]
 [0.00819433 0.0057367  0.00655667 0.00407684 0.00586697 0.00361207]
 [0.00791219 0.00383986 0.00454277 0.00472409 0.00491683 0.00451561]
 [0.0053915  0.0028094  0.00243215 0.00402044 0.00438093 0.00384116]
 [0.00529763 0.00579857 0.00505583 0.00382271 0.00412752 0.00420975]
 [0.00725754 0.00515775 0.00497824 0.00611342 0.00639003 0.00591409]
 [0.00314506 0.00398316 0.00403921 0.00323167 0.0026064  0.00298839]
 [0.00970021 0.00633749 0.00566407 0.00399647 0.00510382 0.00394019]
 [0.00646287 0.00396186 0.00455796 0.00464441 0.00407541 0.00417053]
 [0.01058723 0.00621507 0.00373176 0.00235129 0.00261223 0.00265835]]","[ 77.6189003  123.48125885 128.27638787  57.61677779 105.94580732
  75.97531041  74.93969099 121.06781029 129.65242104  57.96463648
 107.22410113  74.88772087]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],1.1592623905507817,0.005795942067612788,[1.02950859],[0.00265608],[['HD142860' 'faint' '105']],,,,,1.138684882222653,0.005296148255829948,[1.02936607],[0.00265378]
5,HR_2998,HD62644,104,bright,"[[0.99738841 0.99268949 1.00566519 1.01217153 1.0351452  1.04102184]
 [0.87077751 0.84665455 0.85676616 0.8577433  0.86063026 0.87264331]
 [0.72627623 0.73767496 0.75530462 0.7757699  0.79907991 0.82850816]
 [1.08353836 1.05838498 1.06296131 1.08306054 1.08545251 1.09308433]
 [0.80099587 0.79236533 0.81308018 0.81544376 0.82753256 0.84407252]
 [0.91242756 0.90797959 0.95477323 0.9491557  0.96891386 0.99304179]
 [0.97748106 0.96556772 0.97718212 0.98282045 1.0009273  1.01126921]
 [0.83047125 0.81122517 0.82123306 0.82199551 0.8319948  0.8472137 ]
 [0.71919829 0.7326571  0.75287141 0.76292972 0.79053921 0.81213722]
 [1.05092905 1.02066688 1.03446592 1.03624649 1.05337358 1.05776434]
 [0.78434469 0.78177038 0.81129831 0.80547856 0.82051347 0.83220149]
 [0.90066761 0.89803435 0.92737533 0.93129282 0.95109406 0.97009379]]","[[0.0057668  0.00349058 0.00440694 0.00486591 0.00605662 0.00705862]
 [0.01029512 0.00894528 0.0077712  0.00696898 0.00591107 0.00592932]
 [0.0110613  0.01092782 0.01061451 0.01067394 0.01187345 0.01059545]
 [0.00929872 0.00676926 0.0049009  0.00735731 0.00701898 0.00591611]
 [0.01304025 0.01172961 0.01256086 0.01195951 0.01120479 0.01126102]
 [0.01811713 0.01601769 0.01507265 0.01255829 0.01489333 0.01893104]
 [0.00468632 0.00387207 0.00460578 0.00464647 0.0042006  0.00464764]
 [0.00769317 0.00408417 0.00372338 0.00304965 0.00361009 0.00351862]
 [0.00219868 0.00268602 0.00254254 0.00238092 0.00232635 0.00266256]
 [0.00685706 0.00510701 0.00378336 0.00472179 0.00433247 0.0045174 ]
 [0.00464157 0.00321838 0.00338246 0.00455486 0.00296637 0.00363012]
 [0.00483598 0.00422264 0.00499612 0.00233296 0.00472403 0.01042736]]","[ 68.28884462 109.18292685 132.16836302  57.40759722 122.09140604
  84.22763758  72.93056158 113.78630714 132.33904935  57.72067083
 123.02037515  87.20648035]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],1.0412574023614543,0.00898198923676703,[1.12308817],[0.00400886],[['HR_2998' 'bright' '104']],,,,,1.0175158058978118,0.008570833464433474,[1.12295086],[0.00400553]
6,HR_2998,HD62644,104,faint,"[[0.98222507 0.98665793 0.99164903 0.98463903 0.99809735 0.99880295]
 [0.86042426 0.8654716  0.86716786 0.86395955 0.86765438 0.87179093]
 [0.80307585 0.80192514 0.82065654 0.82180781 0.8377375  0.85913486]
 [1.04113866 1.04053567 1.03636457 1.04202723 1.05371789 1.0531613 ]
 [0.93797961 0.93342813 0.94344033 0.94814495 0.94323491 0.96014956]
 [1.02407281 1.01909461 1.02556898 1.02586383 1.02221817 1.05701984]
 [0.98833162 0.97725838 0.9914706  0.9961624  1.00946431 1.02255144]
 [0.84657163 0.82960674 0.83045475 0.82497852 0.82777267 0.8358842 ]
 [0.80362762 0.80415098 0.81401275 0.80995253 0.83121404 0.84235151]
 [1.08557676 1.07674452 1.07585357 1.08444369 1.09631746 1.08268011]
 [0.95672843 0.93508736 0.95768899 0.95009515 0.94597516 0.95737177]
 [1.01887489 1.01819755 1.0220662  1.03126341 1.0285702  1.05449568]]","[[0.00709558 0.00545659 0.00416195 0.00330455 0.00403072 0.00373374]
 [0.00880546 0.00632079 0.003584   0.00301837 0.00271983 0.0020317 ]
 [0.00539246 0.0034668  0.00344169 0.00369208 0.00358629 0.00339183]
 [0.01611215 0.00846952 0.00972981 0.0053242  0.00720314 0.00659703]
 [0.00449694 0.00342025 0.00397305 0.00558457 0.00410723 0.00531366]
 [0.00404347 0.00353392 0.00470899 0.00394256 0.00285718 0.00375323]
 [0.00800559 0.00624413 0.00585831 0.00448635 0.00458474 0.00449808]
 [0.00898808 0.00611083 0.00449341 0.00261384 0.00280436 0.00218166]
 [0.00401747 0.00370067 0.00304239 0.00321828 0.00316821 0.00394152]
 [0.007714   0.00470764 0.00561095 0.00365622 0.00423225 0.00302716]
 [0.00728889 0.00549741 0.00634209 0.00522785 0.00548182 0.00392744]
 [0.00352732 0.00359531 0.00221182 0.00233961 0.00182996 0.00194869]]","[ 63.31923179 104.49164724 118.24034336  57.10424775  89.10661265
  40.41560448  71.40606225 112.24898752 121.66309035  57.61254466
  89.07071533  42.12349601]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],0.9928502882238416,0.0061974360592662115,[1.09819762],[0.00318705],[['HR_2998' 'faint' '104']],,,,,0.970425537631432,0.005782532518056406,[1.09813454],[0.00318626]
7,alf_CMi,HD61421,106,bright,"[[0.01568026 0.01563939 0.01456329 0.0126942  0.01083801 0.00928671]
 [0.3553823  0.38149903 0.4034549  0.41836186 0.44536853 0.46856439]
 [0.02336773 0.03377289 0.04573133 0.05990867 0.07199371 0.08745633]
 [0.01667938 0.01493534 0.01349082 0.01098479 0.00893029 0.00703281]
 [0.0032323  0.00686346 0.01234437 0.01939615 0.02849604 0.03749371]
 [0.12845604 0.14513305 0.16541196 0.19307528 0.21508454 0.23666392]
 [       nan        nan        nan        nan        nan        nan]
 [       nan        nan        nan        nan        nan        nan]
 [0.01526941 0.01555247 0.01490044 0.01362852 0.01206376 0.01065361]
 [       nan        nan        nan        nan        nan        nan]
 [       nan        nan        nan        nan        nan        nan]
 [0.34504664 0.36408854 0.38784157 0.40572872 0.43572598 0.45288091]
 [0.01875807 0.02795827 0.03911548 0.05210703 0.06361571 0.07863935]
 [       nan        nan        nan        nan        nan        nan]
 [       nan        nan        nan        nan        nan        nan]
 [       nan        nan        nan        nan        nan        nan]
 [       nan        nan        nan        nan        nan        nan]
 [0.01664723 0.01500843 0.01366073 0.01133325 0.00925948 0.00735213]
 [0.00426632 0.00831576 0.01435237 0.02196753 0.03154258 0.04109956]
 [0.14198243 0.15856055 0.18026648 0.20907608 0.2318334  0.25458597]]","[[9.55223271e-05 2.86022716e-04 8.37806902e-05 8.48690838e-05
  9.95890710e-05 1.05008679e-04]
 [2.07577795e-03 2.64447994e-03 2.09599619e-03 2.78307423e-03
  3.29235491e-03 6.22487200e-03]
 [1.29252225e-04 2.09149153e-04 2.28045535e-04 3.15416863e-04
  3.92522267e-04 6.67671633e-04]
 [1.43099643e-04 1.64701023e-04 8.54436396e-05 5.42942003e-05
  4.79709024e-05 1.06978380e-04]
 [1.39885256e-05 3.42614396e-05 4.31203078e-05 5.76370729e-05
  8.49623404e-05 1.17830410e-04]
 [7.53649089e-04 7.64077025e-04 8.27343059e-04 5.10072869e-04
  1.62802298e-03 1.00504820e-03]
 [           nan            nan            nan            nan
             nan            nan]
 [           nan            nan            nan            nan
             nan            nan]
 [1.01963579e-04 2.43089774e-04 8.28796532e-05 8.39111698e-05
  8.94499532e-05 8.84656515e-05]
 [           nan            nan            nan            nan
             nan            nan]
 [           nan            nan            nan            nan
             nan            nan]
 [1.76678580e-03 2.01826879e-03 1.74091460e-03 2.49272117e-03
  2.49941904e-03 4.74017136e-03]
 [2.01475841e-04 1.77307765e-04 1.94687314e-04 2.46586212e-04
  3.25821716e-04 4.65670660e-04]
 [           nan            nan            nan            nan
             nan            nan]
 [           nan            nan            nan            nan
             nan            nan]
 [           nan            nan            nan            nan
             nan            nan]
 [           nan            nan            nan            nan
             nan            nan]
 [1.21088846e-04 1.36784286e-04 8.49152709e-05 4.88140444e-05
  4.13376105e-05 8.36497757e-05]
 [2.56413211e-05 4.76364748e-05 4.29846207e-05 5.96588827e-05
  1.09844564e-04 1.04815295e-04]
 [4.96870551e-04 5.47064158e-04 6.08189999e-04 3.39961779e-04
  1.47504853e-03 1.03240423e-03]]","[98.11158366 37.19825195 61.08665125 95.61064006 68.05713087 49.69296392
         nan         nan 99.87888579         nan         nan 37.88062518
 62.15936873         nan         nan         nan         nan 95.96927291
 67.36003529 48.67011988]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],,,[nan],[nan],[['alf_CMi' 'bright' '106']],,,,,,,[nan],[nan]
8,bet_Hyi,HD2151,106,faint,"[[0.41210621 0.43225329 0.46340686 0.48408904 0.51142561 0.52935135]
 [0.06846233 0.08251481 0.10156703 0.11887276 0.13822853 0.15745848]
 [0.13012216 0.14971758 0.17441724 0.19465494 0.22149902 0.24136008]
 [0.75522342 0.75055429 0.78014611 0.78797324 0.81858809 0.82561222]
 [0.39976707 0.42887286 0.46368608 0.48266405 0.49555747 0.51980796]
 [0.60109623 0.62199757 0.64200486 0.66358033 0.68697145 0.70394439]
 [0.40469277 0.42623577 0.4543731  0.47566889 0.50454891 0.52734498]
 [0.06733417 0.08159981 0.10001165 0.11704271 0.13626854 0.15533177]
 [0.13402394 0.1565208  0.18105937 0.20222974 0.22861115 0.24941768]
 [0.73380092 0.72969717 0.76275189 0.76890991 0.80089013 0.80807783]
 [0.40205891 0.43389226 0.4697653  0.48698681 0.50169703 0.52470626]
 [0.57446468 0.60020101 0.6244065  0.65041637 0.67588846 0.70086126]]","[[0.003285   0.00258016 0.00278935 0.00302472 0.00290463 0.00294282]
 [0.00065008 0.00047994 0.00049927 0.00063345 0.0006772  0.00071828]
 [0.00172379 0.00132407 0.00131412 0.00085834 0.0010804  0.00104784]
 [0.00527799 0.00560783 0.00474911 0.00489376 0.00450889 0.00383989]
 [0.00544534 0.00384394 0.0025305  0.00214312 0.00332456 0.00345347]
 [0.00595003 0.00495889 0.00353431 0.00215692 0.00251439 0.00222233]
 [0.00336292 0.00244386 0.0025469  0.00227385 0.00236172 0.00219419]
 [0.00067559 0.00042006 0.0005808  0.00054734 0.00062285 0.00081831]
 [0.00193125 0.00157713 0.00136621 0.00094222 0.00118398 0.00088493]
 [0.00408329 0.00406423 0.00494198 0.00387096 0.00395831 0.00301961]
 [0.00549407 0.00444651 0.0027269  0.00192446 0.00197087 0.00217353]
 [0.00666702 0.00493203 0.00420647 0.00283814 0.00320875 0.00398854]]","[ 81.57112854 128.14285387 115.24436442  53.72744133  81.3921071
  63.96133299  82.09972632 128.34832067 114.66707794  53.50131996
  81.53214753  64.77715904]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],2.3537356975527537,0.006293866785910182,[1.05289215],[0.00330155],[['bet_Hyi' 'faint' '106']],,,,,2.294367869894143,0.0016922368014823897,[1.04791882],[0.0033257]
9,gam_Lep,HD38393,106,faint,"[[0.84519997 0.8379851  0.85427513 0.8651028  0.88142931 0.8893189 ]
 [0.73458518 0.73565351 0.76142791 0.77777349 0.79030919 0.80502184]
 [0.68165791 0.67778894 0.70695191 0.71713312 0.76494775 0.78931108]
 [1.00611235 0.98760542 1.00916873 0.98819782 1.02036624 1.01764636]
 [0.52889246 0.54328844 0.57688228 0.59233085 0.59779135 0.63853608]
 [0.81746857 0.837802   0.85431295 0.87561366 0.8949308  0.87589197]
 [0.81448983 0.80733388 0.82905446 0.84078448 0.85487821 0.86578196]
 [0.63762131 0.64927247 0.67605262 0.6839206  0.69823373 0.71256868]
 [0.64815451 0.64464012 0.67270244 0.68346901 0.73745047 0.76049383]
 [0.80751963 0.78931966 0.79924769 0.79568249 0.83394655 0.84079677]
 [0.47172863 0.48222606 0.52051138 0.53654369 0.54725485 0.5837963 ]
 [0.57836436 0.59752776 0.61998895 0.64934951 0.67190419 0.66876192]]","[[0.02976542 0.02652824 0.02648355 0.02437982 0.02441147 0.02371708]
 [0.01383518 0.01177917 0.01172597 0.0108757  0.00957083 0.01160237]
 [0.01213122 0.01367173 0.01167901 0.015715   0.01278783 0.01310461]
 [0.03343034 0.03061113 0.02706455 0.02696516 0.02462766 0.02448268]
 [0.01607598 0.01503588 0.01605151 0.0164021  0.01733904 0.01790021]
 [0.03813666 0.03431376 0.03279699 0.02962609 0.03312481 0.03176057]
 [0.03122637 0.02801419 0.02839987 0.0271558  0.02646795 0.02595323]
 [0.02307342 0.0239156  0.01892942 0.0177164  0.01637753 0.01606678]
 [0.02890321 0.02530324 0.02346228 0.0229869  0.02096609 0.02167324]
 [0.03122252 0.03108972 0.02623413 0.02757361 0.02617693 0.02665405]
 [0.02294549 0.02085334 0.02172082 0.02154823 0.02317237 0.02441829]
 [0.03735695 0.03561236 0.03589478 0.0363374  0.03837736 0.0363811 ]]","[ 75.90709934  99.75892853 114.01858692  48.06750653 131.17124411
 102.92496705  74.20108225  95.45358706 110.73111554  46.31083755
 130.76397234 102.96970299]",[1.533e-06 1.581e-06 1.629e-06 1.677e-06 1.725e-06 1.773e-06],1.2280458864516528,0.04692350039569071,[0.99740514],[0.02753823],[['gam_Lep' 'faint' '106']],,,,,1.2067800546511467,0.045921233729719416,[0.99722488],[0.02750393]
