level_0,level_1,logg,teff,feh,u_lambda_0,u_lambda_1,u_lambda_2,u_lambda_3,u_lambda_4,u_lambda_5,s_lambda_0,s_lambda_1,s_lambda_2,s_lambda_3,s_lambda_4,s_lambda_5,Dist,Hpmag_dr,BTmag_dr,VTmag_dr,BPmag_dr,RPmag_dr,BC_Hp,BC_BT,BC_VT,BC_BP,BC_RP,f_bol_Hp,f_bol_BT,f_bol_VT,f_bol_BP,f_bol_RP,f_bol_final,L_star_final
HD222368,0,4.483527177691453,6346.783327656506,-0.16277717223693372,0.24006726085180308,0.24006726085180308,0.24006726085180308,0.24006726085180308,0.24006726085180308,0.24006726085180308,1.0,1.0,1.0,1.0,1.0,1.0,13.650496677423334,4.236523803992093,4.722194383806738,4.176052650424703,4.26452002125739,3.556705071517265,-0.124,-0.5870000000000001,-0.07400000000000001,-0.16,0.47200000000000003,5.755081166262031e-07,5.636158802135526e-07,5.810853340540021e-07,5.797662980796229e-07,6.21697249579744e-07,5.683727747786128e-07,3.3103140664726274
HD222368,1,4.562535880928389,6288.7378882221365,0.033121986318823404,0.27034664397952834,0.27034664397952834,0.27034664397952834,0.27034664397952834,0.27034664397952834,0.27034664397952834,1.0,1.0,1.0,1.0,1.0,1.0,13.646610491526674,4.237098612859106,4.703047621630623,4.190457825745847,4.26078615660046,3.5572017350116676,-0.11599999999999999,-0.619,-0.062,-0.156,0.499,5.709808325284308e-07,5.908019580428072e-07,5.671237621383795e-07,5.796242033488978e-07,6.061502388558218e-07,5.828735078370566e-07,3.392836516928331
HD1581,0,4.131009394305811,5836.8105933778725,-0.4649583489350882,0.29044116505543227,0.29044116505543227,0.29044116505543227,0.29044116505543227,0.29044116505543227,0.29044116505543227,1.0,1.0,1.0,1.0,1.0,1.0,8.593082318521182,4.344684334155331,4.893125350004917,4.285320786847701,4.367937795642225,3.5989584360365385,-0.195,-0.768,-0.145,-0.244,0.519,5.561439805494154e-07,5.688671225774366e-07,5.609609887466395e-07,5.694896773210854e-07,5.726346192477861e-07,5.637778657662281e-07,1.3012028054362812
HD1581,1,3.7599778598821274,5839.817982079245,-0.45262562913010107,0.30427693239266035,0.30427693239266035,0.30427693239266035,0.30427693239266035,0.30427693239266035,0.30427693239266035,1.0,1.0,1.0,1.0,1.0,1.0,8.61499176859995,4.343202649063686,4.883678394388802,4.267403579075201,4.36849627004871,3.5988436579193364,-0.191,-0.757,-0.141,-0.24100000000000002,0.519,5.548555251438745e-07,5.680539929035252e-07,5.68197793666556e-07,5.676262438908654e-07,5.726951582602732e-07,5.627746057996649e-07,1.3055191644240915
HD30652,0,4.801732204995714,6345.068886449618,-0.07146341121586251,0.2639501849612216,0.2639501849612216,0.2639501849612216,0.2639501849612216,0.2639501849612216,0.2639501849612216,1.0,1.0,1.0,1.0,1.0,1.0,8.024368016247974,3.2855747212328463,3.710648022284365,3.2259741826869837,3.466266408295595,2.6999162072343355,-0.121,-0.603,-0.07,-0.158,0.48200000000000004,1.3779424708695292e-06,1.4521175214954605e-06,1.388901035062083e-06,1.2071310229500526e-06,1.3561086674931206e-06,1.4224475012450881e-06,2.862839155648199
HD30652,1,4.562420077032206,6361.3471917631205,0.08305005794052193,0.2582144804692345,0.2582144804692345,0.2582144804692345,0.2582144804692345,0.2582144804692345,0.2582144804692345,1.0,1.0,1.0,1.0,1.0,1.0,8.016785046530137,3.286491038681168,3.724742373425747,3.2219711905385653,3.545960026866927,2.702995348235639,-0.105,-0.593,-0.052000000000000005,-0.14400000000000002,0.493,1.356639816462935e-06,1.4202474731443991e-06,1.3711106317532605e-06,1.1073297394854913e-06,1.3386370326342185e-06,1.3948044104718135e-06,2.8019011883811187
HD38393,0,4.336292338803945,6261.682030129135,-0.03038667366457183,0.24798235378929329,0.24798235378929329,0.24798235378929329,0.24798235378929329,0.24798235378929329,0.24798235378929329,1.0,1.0,1.0,1.0,1.0,1.0,8.908391021530962,3.6972911606115417,4.173508708294397,3.6404225106577086,3.79310299882239,3.0426576533236234,-0.12,-0.617,-0.067,-0.161,0.49700000000000005,9.42203060060398e-07,9.604118088209124e-07,9.455662669614284e-07,8.958179803520797e-07,9.754340536794708e-07,9.531283093167066e-07,2.3642257184638753
HD38393,1,4.40873697259863,6290.240305406669,-0.1656131146793309,0.25565281753134245,0.25565281753134245,0.25565281753134245,0.25565281753134245,0.25565281753134245,0.25565281753134245,1.0,1.0,1.0,1.0,1.0,1.0,8.895138158263459,3.69662066170242,4.1716663108041505,3.6318038215395867,3.7905585290169266,3.0472316815798925,-0.128,-0.603,-0.077,-0.166,0.48,9.497574523280218e-07,9.497175212075933e-07,9.619210885185183e-07,9.020644401265162e-07,9.866617722846755e-07,9.497334936557648e-07,2.34880074176398
HD62644,0,3.8618525476300722,5469.785030948552,0.08945953978892503,0.27456992145585796,0.27456992145585796,0.27456992145585796,0.27456992145585796,0.27456992145585796,0.27456992145585796,1.0,1.0,1.0,1.0,1.0,1.0,23.276202846327305,5.1866924415539355,5.9941395802207245,5.115369062569715,5.230302985838982,4.2826559470357735,-0.242,-1.042,-0.183,-0.316,0.593,2.6741391241365313e-07,2.6558597828192513e-07,2.704664181568208e-07,2.7500448726829243e-07,2.8496964135896654e-07,2.6631715193461627e-07,4.5098534520424804
HD62644,1,3.7566619197611315,5566.41402759044,0.07049468560566362,0.276550267039132,0.276550267039132,0.276550267039132,0.276550267039132,0.276550267039132,0.276550267039132,1.0,1.0,1.0,1.0,1.0,1.0,23.620013676886657,5.187514095854889,5.9994815363345095,5.116887162373389,5.22980406957155,4.276883489885908,-0.22,-0.972,-0.16,-0.289,0.585,2.618516629270357e-07,2.4778120468402197e-07,2.644271898775878e-07,2.6837332495163564e-07,2.8860747729528526e-07,2.5340938798122747e-07,4.418979785290217
