level_0,level_1,logg,teff,feh,u_lambda_0,u_lambda_1,u_lambda_2,u_lambda_3,u_lambda_4,u_lambda_5,s_lambda_0,s_lambda_1,s_lambda_2,s_lambda_3,s_lambda_4,s_lambda_5,Dist,Hpmag_dr,BTmag_dr,VTmag_dr,BPmag_dr,RPmag_dr,BC_Hp,BC_BT,BC_VT,BC_BP,BC_RP,f_bol_Hp,f_bol_BT,f_bol_VT,f_bol_BP,f_bol_RP,f_bol_final,L_star_final
HD222368,0,4.491943055854864,,-0.012350441536701201,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,13.659312868037109,4.237184172251392,4.702413767373019,4.167904953137766,4.264053558320356,3.555280528984593,-0.05,-0.244,-0.009000000000000001,-0.062,0.191,5.372634613708617e-07,4.1850000516501463e-07,5.514409242391588e-07,5.29955680097392e-07,8.063967393521159e-07,4.6600538764735353e-07,2.717613357592547
HD222368,1,4.16439939394424,,-0.04744300876362851,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,13.651498327989481,4.23614275021457,4.7317104221904,4.175311580719499,4.260718338495628,3.555962195267932,-0.033,-0.20600000000000002,0.006,-0.046,0.18899999999999997,5.294243042484439e-07,3.933478726980175e-07,5.401773156429863e-07,5.238098239104192e-07,8.073764853449474e-07,4.4777844531818806e-07,2.6083318826659005
HD1581,0,3.8983602260940504,6020.83495495368,-0.5508660104370928,0.25891451447387703,0.25891451447387703,0.25891451447387703,0.25891451447387703,0.25891451447387703,0.25891451447387703,1.0,1.0,1.0,1.0,1.0,1.0,8.617807377085006,4.343876781822037,4.896937598796878,4.292933862497471,4.37011328511989,3.5984550657607195,-0.174,-0.674,-0.126,-0.21600000000000003,0.489,5.458964397426494e-07,5.198594405902053e-07,5.473781149553409e-07,5.538799707415839e-07,5.889507081810161e-07,5.302742402511829e-07,1.2309293329452935
HD1581,1,3.991219525979741,5967.254007101752,-0.570508586242781,0.2619950975121915,0.2619950975121915,0.2619950975121915,0.2619950975121915,0.2619950975121915,0.2619950975121915,1.0,1.0,1.0,1.0,1.0,1.0,8.603040523675997,4.344063018445922,4.884385588666882,4.295834884866569,4.368468284949473,3.60346209109124,-0.182,-0.6990000000000001,-0.135,-0.226,0.495,5.498392864009425e-07,5.381542063385777e-07,5.504615905593471e-07,5.598525499971312e-07,5.83010180156573e-07,5.428282383635236e-07,1.2557563833789838
HD30652,0,4.404101350415196,,0.12258480388601929,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,8.009821410776812,3.2869922459626175,3.7514184126530314,3.221540338678389,3.5068832887542523,2.706999649250242,-0.034,-0.226,0.006999999999999999,-0.047,0.20199999999999999,1.2701765082390167e-06,9.883109554981589e-07,1.2991067495464946e-06,1.0498026365132083e-06,1.743657230097878e-06,1.101057176594502e-06,2.207977092827554
HD30652,1,4.301365019123448,,-0.037343790495598585,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,8.031357653246852,3.2856011765088837,3.742599567119931,3.218747193036456,3.534155672428149,2.711037691694981,-0.040999999999999995,-0.222,-0.001,-0.053,0.19,1.2800310484693551e-06,9.927071451586252e-07,1.3120853832046725e-06,1.0294344686193386e-06,1.7564908749747771e-06,1.107636706482917e-06,2.2331315003360728
HD38393,0,4.458037436806781,,-0.11381452859315819,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,8.907234739749413,3.697642932478091,4.137232177730676,3.6397619066255125,3.7939256759025666,3.0434211916378393,-0.055999999999999994,-0.245,-0.015,-0.068,0.185,8.879812623388776e-07,7.049658892269798e-07,9.01895483315215e-07,8.216572738779447e-07,1.299249319368813e-06,7.781720384717389e-07,1.929747302274427
HD38393,1,4.523272918390564,,-0.18626943174486263,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,8.904238702374572,3.6973958412359345,4.164850812704549,3.6566358344488963,3.816808720820484,3.043129620381445,-0.065,-0.256,-0.024,-0.076,0.18,8.955763948514017e-07,6.942576110467823e-07,8.953784568046247e-07,8.104710123660135e-07,1.3055969488833266e-06,7.747851245686301e-07,1.9200559632769292
HD62644,0,4.213186270508565,5257.20815053669,0.07335153181385767,0.30836368237605855,0.30836368237605855,0.30836368237605855,0.30836368237605855,0.30836368237605855,0.30836368237605855,1.0,1.0,1.0,1.0,1.0,1.0,23.210727109318373,5.186770696672749,5.981275662777211,5.113556613350917,5.230441097035826,4.28507979575722,-0.302,-1.199,-0.247,-0.385,0.6,2.8258733645230984e-07,3.1056371240424464e-07,2.873679496292631e-07,2.930114123698012e-07,2.825068978943385e-07,2.9937316202347075e-07,5.041147223760288
HD62644,1,3.7357841310038022,5130.668543232303,-0.05064350268199506,0.3431854523643866,0.3431854523643866,0.3431854523643866,0.3431854523643866,0.3431854523643866,0.3431854523643866,1.0,1.0,1.0,1.0,1.0,1.0,23.120613304641704,5.186882070295996,6.0000760203451815,5.124095471405687,5.228648072906594,4.28260558901776,-0.34299999999999997,-1.275,-0.29,-0.431,0.593,2.934324545662679e-07,3.2736373457195464e-07,2.9608934965138376e-07,3.061975740072692e-07,2.849828589702742e-07,3.1379122256967994e-07,5.242983812752583
