Full_sequence,N_targets,Period,Science_target,Sequence_type,calibrator_1,calibrator_2,calibrator_3,science_1,science_2,target_01,target_02,target_03,target_04,target_05
HR_1534 - pi3_Ori - HR_1618 - pi3_Ori - HR_1681,5,106,pi3_Ori,bright,HR_1534,HR_1618,HR_1681,pi3_Ori,pi3_Ori,HR_1534,pi3_Ori,HR_1618,pi3_Ori,HR_1681
HD_59936 - rho_Pup - HD  63734 - rho_Pup - HR_3317,5,106,rho_Pup,bright,HD_59936,HD  63734,HR_3317,rho_Pup,rho_Pup,HD_59936,rho_Pup,HD  63734,rho_Pup,HR_3317
HD142639 - HD141004 - HD139610 - HD141004 - HD142443,5,106,HD141004,bright,HD142639,HD139610,HD142443,HD141004,HD141004,HD142639,HD141004,HD139610,HD141004,HD142443
HR_3069 - HR_2998 - HD_65491 - HR_2998 - HD_66162,5,106,HR_2998,bright,HR_3069,HD_65491,HD_66162,HR_2998,HR_2998,HR_3069,HR_2998,HD_65491,HR_2998,HD_66162
HD_220757 - zet_Tuc - HD_68 - zet_Tuc - HD_8025,5,106,zet_Tuc,bright,HD_220757,HD_68,HD_8025,zet_Tuc,zet_Tuc,HD_220757,zet_Tuc,HD_68,zet_Tuc,HD_8025
HD_38295 - gam_Lep - HR_2090 - gam_Lep - HD_42747,5,104,gam_Lep,faint,HD_38295,HR_2090,HD_42747,gam_Lep,gam_Lep,HD_38295,gam_Lep,HR_2090,gam_Lep,HD_42747
HD_76437 - psi_Vel - HR_3729 - psi_Vel - HD_84369,5,104,psi_Vel,faint,HD_76437,HR_3729,HD_84369,psi_Vel,psi_Vel,HD_76437,psi_Vel,HR_3729,psi_Vel,HD_84369
HD_61574 - HR_2998 - HR_3069 - HR_2998 - HD_65187,5,104,HR_2998,faint,HD_61574,HR_3069,HD_65187,HR_2998,HR_2998,HD_61574,HR_2998,HR_3069,HR_2998,HD_65187
HD121981 - HD124850 - HD123255 - HD124850 - HD125490,5,104,HD124850,faint,HD121981,HD123255,HD125490,HD124850,HD124850,HD121981,HD124850,HD123255,HD124850,HD125490
HD_218330 - iot_Psc - HD_43 - iot_Psc - HR_67,5,104,iot_Psc,faint,HD_218330,HD_43,HR_67,iot_Psc,iot_Psc,HD_218330,iot_Psc,HD_43,iot_Psc,HR_67
HR_2342 - ksi_Gem - HR_2391 - ksi_Gem - HR_2426,5,104,ksi_Gem,faint,HR_2342,HR_2391,HR_2426,ksi_Gem,ksi_Gem,HR_2342,ksi_Gem,HR_2391,ksi_Gem,HR_2426
HD_210056 - bet_Hyi - lam_Tuc - bet_Hyi - kap_Hyi,5,104,bet_Hyi,faint,HD_210056,lam_Tuc,kap_Hyi,bet_Hyi,bet_Hyi,HD_210056,bet_Hyi,lam_Tuc,bet_Hyi,kap_Hyi
HD141589 - HD142860 - HD141827 - HD142860 - HD143896,5,104,HD142860,faint,HD141589,HD141827,HD143896,HD142860,HD142860,HD141589,HD142860,HD141827,HD142860,HD143896
HD_59936 - rho_Pup - HD_63734 - rho_Pup - HR_3317,5,104,rho_Pup,faint,HD_59936,HD_63734,HR_3317,rho_Pup,rho_Pup,HD_59936,rho_Pup,HD_63734,rho_Pup,HR_3317
