baseline_m,bootstrap_metadata_index,c_scale,candidate_remove,e_vis2_corrected,highlighted,mjd,model_vis2,night,oifits_flag,point_id,residual,sigma_outlier,spatial_frequency_rad_inv,standardized_residual,star,telescope_pair,vis2_corrected,wavelength_index,wavelength_um
84.71024775838261,0,1.049765453279017,True,0.003277205758983497,False,59672.29739515319,0.8450861275564917,2022-04-02,False,4,0.019960229699825693,True,49107391.50433197,6.090624503850753,HD124850,1-2,0.8650463572563174,4,1.7249999473278876
124.89677344435042,0,1.049765453279017,True,0.0024457533934057335,False,59672.29739515319,0.6403257167735035,2022-04-02,False,7,-0.019168187221038524,True,78998592.06581958,-7.837334406943887,HD124850,1-3,0.621157529552465,1,1.580999992256693
124.89677344435042,0,1.049765453279017,True,0.001873674057375405,False,59672.29739515319,0.6577392166311257,2022-04-02,False,8,-0.013849783682104877,True,76670822.20706163,-7.391778536713745,HD124850,1-3,0.6438894329490208,2,1.6290000530716497
124.89677344435042,0,1.049765453279017,True,0.0013369591232691165,False,59672.29739515319,0.6740198789084484,2022-04-02,False,9,-0.01662998841168639,True,74476310.92991793,-12.438666315409062,HD124850,1-3,0.657389890496762,3,1.6770000001997687
124.89677344435042,0,1.049765453279017,True,0.0018284280960984074,False,59672.29739515319,0.6892520929636313,2022-04-02,False,10,-0.014254569296534014,True,72403928.845228,-7.796078679249754,HD124850,1-3,0.6749975236670973,4,1.7249999473278876
124.89677344435042,0,1.049765453279017,True,0.0016021842516445626,False,59672.29739515319,0.7035143356387443,2022-04-02,False,11,-0.011735450263097413,True,70443752.32416126,-7.324657105480569,HD124850,1-3,0.6917788853756469,5,1.7730000081428443
132.3194682870052,0,1.049765453279017,True,0.0010908670774021996,False,59672.29739515319,0.6048624957106554,2022-04-02,False,13,-0.01259935858187311,True,83693528.73818462,-11.54985684587469,HD124850,1-4,0.5922631371287823,1,1.580999992256693
132.3194682870052,0,1.049765453279017,True,0.001536287899288302,False,59672.29739515319,0.6235381589743779,2022-04-02,False,14,-0.013733458399832532,True,81227418.03323027,-8.93937809846362,HD124850,1-4,0.6098047005745454,2,1.6290000530716497
132.3194682870052,0,1.049765453279017,True,0.0017149464361213645,False,59672.29739515319,0.6728824939675893,2022-04-02,False,17,0.008121918173809362,True,74630269.41867036,4.73596026251317,HD124850,1-4,0.6810044121413986,5,1.7730000081428443
58.21336242996766,0,1.049765453279017,True,0.005186156311817963,False,59672.29739515319,0.9198731082136374,2022-04-02,False,21,-0.02019595167964694,True,34712798.10556537,-3.894204197745714,HD124850,2-3,0.8996771565339905,3,1.6770000001997687
