baseline_m,c_scale,candidate_remove,e_vis2_corrected,highlighted,large_raw_residual,large_sigma_residual,mjd,model_vis2,night,oifits_flag,period,point_id,raw_residual,sequence,spatial_frequency_rad_inv,standardized_residual,star,telescope_pair,vis2_corrected,wavelength_index,wavelength_um
69.55685393743519,0.9588355642098743,False,0.0024058692161465192,False,False,True,59636.117574599804,0.7999638376555287,2022-02-25,False,106,0,0.008841204639920996,bright,45373027.97770067,3.6748484001478494,ksi_Gem,1-2,0.8088050422954497,0,1.5330000451285741
69.55685393743519,0.9588355642098743,False,0.007134089985937623,False,False,True,59636.117574599804,0.8109007148852202,2022-02-25,False,106,1,0.03172948603675341,bright,43995480.25180626,4.447587022212651,ksi_Gem,1-2,0.8426302009219736,1,1.580999992256693
69.55685393743519,0.9588355642098743,False,0.010884137202232113,False,False,False,59636.117574599804,0.8209937338693521,2022-02-25,False,106,2,0.030537674013943028,bright,42699110.90934496,2.8057046182475887,ksi_Gem,1-2,0.8515314078832952,2,1.6290000530716497
69.55685393743519,0.9588355642098743,False,0.00717101139853427,False,False,True,59636.117574599804,0.8303241920435283,2022-02-25,False,106,3,0.04874053517985488,bright,41476955.23503244,6.79688435439069,ksi_Gem,1-2,0.8790647272233831,3,1.6770000001997687
69.55685393743519,0.9588355642098743,False,0.009244936064429499,False,False,True,59636.117574599804,0.8389643552364178,2022-02-25,False,106,4,0.04241186953953979,bright,40322815.108013354,4.587578458516577,ksi_Gem,1-2,0.8813762247759576,4,1.7249999473278876
69.55685393743519,0.9588355642098743,True,0.008219049824534558,False,True,True,59636.117574599804,0.8469784944543325,2022-02-25,False,106,5,0.05253080600751614,bright,39231163.91313138,6.391347799195382,ksi_Gem,1-2,0.8995093004618486,5,1.7730000081428443
,0.9588355642098743,True,,False,False,False,,,unknown,True,106,6,,bright,,,ksi_Gem,1-3,,0,1.5330000451285741
,0.9588355642098743,True,,False,False,False,,,unknown,True,106,7,,bright,,,ksi_Gem,1-3,,1,1.580999992256693
,0.9588355642098743,True,,False,False,False,,,unknown,True,106,8,,bright,,,ksi_Gem,1-3,,2,1.6290000530716497
,0.9588355642098743,True,,False,False,False,,,unknown,True,106,9,,bright,,,ksi_Gem,1-3,,3,1.6770000001997687
,0.9588355642098743,True,,False,False,False,,,unknown,True,106,10,,bright,,,ksi_Gem,1-3,,4,1.7249999473278876
,0.9588355642098743,True,,False,False,False,,,unknown,True,106,11,,bright,,,ksi_Gem,1-3,,5,1.7730000081428443
124.61415262728158,0.9588355642098743,False,0.004772789255214315,False,False,False,59636.117574599804,0.4730869126035312,2022-02-25,False,106,12,-0.0031021094311527997,bright,81287768.40109622,-0.6499573447044026,ksi_Gem,1-4,0.4699848031723784,0,1.5330000451285741
124.61415262728158,0.9588355642098743,False,0.007741315883560675,False,False,True,59636.117574599804,0.4961530107085182,2022-02-25,False,106,13,0.024820440654964415,bright,78819831.26983412,3.206230184673471,ksi_Gem,1-4,0.5209734513634826,1,1.580999992256693
124.61415262728158,0.9588355642098743,False,0.009486099059674968,False,False,False,59636.117574599804,0.5180073236452296,2022-02-25,False,106,14,0.007566447517624031,bright,76497328.77068272,0.797635305094873,ksi_Gem,1-4,0.5255737711628536,2,1.6290000530716497
124.61415262728158,0.9588355642098743,False,0.008778298623080797,False,False,False,59636.117574599804,0.5386986760078463,2022-02-25,False,106,15,0.018900839431765903,bright,74307783.31093453,2.15313242842638,ksi_Gem,1-4,0.5575995154396122,3,1.6770000001997687
124.61415262728158,0.9588355642098743,False,0.005694697155085928,False,False,True,59636.117574599804,0.5582800596036981,2022-02-25,False,106,16,0.029521971136197034,bright,72240090.68540275,5.184116087688876,ksi_Gem,1-4,0.5878020307398951,4,1.7249999473278876
124.61415262728158,0.9588355642098743,False,0.0066137968542779105,False,False,True,59636.117574599804,0.5768064447429717,2022-02-25,False,106,17,0.023685582295257968,bright,70284349.7207936,3.5812382534758007,ksi_Gem,1-4,0.6004920270382297,5,1.7730000081428443
,0.9588355642098743,True,,False,False,False,,,unknown,True,106,18,,bright,,,ksi_Gem,2-3,,0,1.5330000451285741
,0.9588355642098743,True,,False,False,False,,,unknown,True,106,19,,bright,,,ksi_Gem,2-3,,1,1.580999992256693
,0.9588355642098743,True,,False,False,False,,,unknown,True,106,20,,bright,,,ksi_Gem,2-3,,2,1.6290000530716497
,0.9588355642098743,True,,False,False,False,,,unknown,True,106,21,,bright,,,ksi_Gem,2-3,,3,1.6770000001997687
