fraction_vis2_above_one,has_vis2_above_one,max_baseline_m,max_night,max_point_id,max_telescope_pair,max_vis2_corrected,max_wavelength_index,max_wavelength_um,n_finite_vis2_points,n_vis2_above_one,percent_vis2_above_one,period,point_ids_vis2_above_one,sequence,star
0.0,False,58.06297959927619,2022-04-02,P58,2-3,0.929327828452495,4,1.7249999473278876,72,0,0.0,105,,bright,HD124850
0.0,False,57.873820842652556,2022-03-30,P59,2-3,0.9449225908023674,5,1.7730000081428443,72,0,0.0,105,,faint,HD124850
0.0,False,57.141131506434924,2022-03-30,P58,2-3,0.9545204953022361,4,1.7249999473278876,72,0,0.0,105,,bright,HD141004
0.0,False,54.811420384693086,2022-04-01,P22,2-3,0.9598525165742181,4,1.7249999473278876,72,0,0.0,105,,faint,HD141004
0.0,False,57.61349144789442,2022-04-02,P22,2-3,0.9472980695904579,4,1.7249999473278876,72,0,0.0,105,,faint,HD142860
0.0,False,57.414882434785966,2019-11-25,P23,2-3,0.9695278282063822,5,1.7730000081428443,72,0,0.0,104,,bright,HR_2998
0.0,False,40.44755318054365,2019-11-24,P35,3-4,0.9831416743630826,5,1.7730000081428443,72,0,0.0,104,,faint,HR_2998
0.0,False,51.39524183950414,2021-09-04,P59,2-3,0.7981174936310406,5,1.7730000081428443,72,0,0.0,106,,bright,bet_Hyi
0.0,False,53.73923762343478,2021-09-10,P23,2-3,0.7925127211994308,5,1.7730000081428443,72,0,0.0,106,,faint,bet_Hyi
0.05555555555555555,True,48.005200340077494,2021-02-17,P22,2-3,1.0310277636452623,4,1.7249999473278876,72,4,5.555555555555555,106,P18;P20;P22;P23,faint,gam_Lep
0.0,False,57.92388166216863,2019-11-26,P58,2-3,0.9328693219590257,4,1.7249999473278876,72,0,0.0,104,,bright,iot_Psc
0.0,False,56.435768502437,2019-11-28,P23,2-3,0.9490641305700874,5,1.7730000081428443,72,0,0.0,104,,faint,iot_Psc
0.0,False,37.755551896884256,2022-02-25,P31,3-4,0.9841764341318868,1,1.580999992256693,60,0,0.0,106,,bright,ksi_Gem
0.013888888888888888,True,78.40390201489211,2022-02-28,P71,3-4,1.0016389623465298,5,1.7730000081428443,72,1,1.3888888888888888,106,P71,faint,ksi_Gem
0.0,False,57.270577770998976,2019-11-28,P59,2-3,0.8952979448982697,5,1.7730000081428443,72,0,0.0,104,,bright,pi3_Ori
0.0,False,54.82718141252571,2019-11-27,P23,2-3,0.9200889046137076,5,1.7730000081428443,72,0,0.0,104,,faint,pi3_Ori
0.0,False,31.329071076741286,2022-01-05,P36,1-2,0.997171215016187,0,1.5330000451285741,72,0,0.0,106,,bright,psi Vel A
0.0,False,56.583819689528674,2021-03-04,P23,2-3,0.9714032259257368,5,1.7730000081428443,72,0,0.0,106,,faint,psi_Vel
0.0,False,55.97065238075595,2021-02-17,P59,2-3,0.9327292327759565,5,1.7730000081428443,72,0,0.0,106,,bright,rho_Pup
0.0,False,52.82005489427331,2019-11-28,P58,2-3,0.9435379037782349,4,1.7249999473278876,72,0,0.0,104,,bright,zet_Tuc
0.0,False,52.81916233220315,2019-11-26,P23,2-3,0.9708061694998359,5,1.7730000081428443,72,0,0.0,104,,faint,zet_Tuc
