column,frac_nan,n_nan,n_total
index,0.0,0,8
STAR,0.0,0,8
HD,0.0,0,8
PERIOD,0.0,0,8
SEQUENCE,0.0,0,8
VIS2,0.0,0,8
e_VIS2,0.0,0,8
BASELINE,0.0,0,8
WAVELENGTH,0.0,0,8
LDD_FIT,0.125,1,8
e_LDD_FIT,0.125,1,8
C_SCALE,0.0,0,8
e_C_SCALE,0.0,0,8
SEQ_ORDER,0.0,0,8
U_LAMBDA,1.0,8,8
e_U_LAMBDA,1.0,8,8
S_LAMBDA,1.0,8,8
e_S_LAMBDA,1.0,8,8
UDD_FIT,0.125,1,8
e_UDD_FIT,0.125,1,8
C_SCALE_UDD,0.0,0,8
e_C_SCALE_UDD,0.0,0,8
