column,frac_nan,n_nan,n_total
dict_key,0.0,0,16
index,0.0,0,16
MJD,0.0,0,16
TEL_PAIR,0.0,0,16
VIS2,0.0,0,16
FLAG,0.0,0,16
BASELINE,0.0,0,16
WAVELENGTH,0.0,0,16
LDD_FIT,0.125,2,16
LDD_PRED,1.0,16,16
e_LDD_PRED,1.0,16,16
u_LLD,1.0,16,16
C_SCALE,0.0,0,16
SEQ_ORDER,0.0,0,16
UDD_FIT,0.125,2,16
C_SCALE_UDD,0.0,0,16
