baseline_m,c_scale,candidate_remove,e_vis2_corrected,highlighted,large_raw_residual,large_sigma_residual,mjd,model_vis2,night,oifits_flag,period,point_id,raw_residual,sequence,spatial_frequency_rad_inv,standardized_residual,star,telescope_pair,vis2_corrected,wavelength_index,wavelength_um
84.70629204965144,1.0665851600327343,False,0.006292138013662355,False,False,False,59672.2967775771,0.7968451960570753,2022-04-02,False,105,0,0.003430085992466303,bright,55255244.328806944,0.5451383909600248,HD124850,1-2,0.8002752820495416,0,1.5330000451285741
84.70629204965144,1.0665851600327343,False,0.0019548786361934757,False,False,False,59672.2967775771,0.8079369092263747,2022-04-02,False,105,1,0.0037125770809247616,bright,53577667.59299163,1.8991343054185004,HD124850,1-2,0.8116494863072995,1,1.580999992256693
84.70629204965144,1.0665851600327343,False,0.002487569434771472,False,False,True,59672.2967775771,0.8181745617167706,2022-04-02,False,105,2,0.010750577618026669,bright,51998949.84038145,4.321719614236337,HD124850,1-2,0.8289251393347973,2,1.6290000530716497
84.70629204965144,1.0665851600327343,False,0.002094391728982546,False,False,False,59672.2967775771,0.8276401933222038,2022-04-02,False,105,3,0.004161515211264177,bright,50510609.445176505,1.9869803502737469,HD124850,1-2,0.831801708533468,3,1.6770000001997687
84.70629204965144,1.0665851600327343,False,0.0015855236527391205,False,False,True,59672.2967775771,0.8364067698173804,2022-04-02,False,105,4,0.013800165089847605,bright,49105098.339780115,8.703853181885178,HD124850,1-2,0.850206934907228,4,1.7249999473278876
84.70629204965144,1.0665851600327343,False,0.0024140019031035622,False,False,False,59672.2967775771,0.8445392162123747,2022-04-02,False,105,5,0.0028298174199248294,bright,47775686.21580455,1.172251528172647,HD124850,1-2,0.8473690336322995,5,1.7730000081428443
124.89210957487148,1.0665851600327343,False,0.006065589231279992,False,False,False,59672.2967775771,0.6033324192165446,2022-04-02,False,105,6,0.00026179058701403246,bright,81469084.08237956,0.04315995973878173,HD124850,1-3,0.6035942098035586,0,1.5330000451285741
124.89210957487148,1.0665851600327343,False,0.005913584720501125,False,False,False,59672.2967775771,0.6226248946593859,2022-04-02,False,105,7,-0.015616100727515736,bright,78995642.1167356,-2.6407164969461037,HD124850,1-3,0.6070087939318701,1,1.580999992256693
124.89210957487148,1.0665851600327343,False,0.005221974124820372,False,False,False,59672.2967775771,0.640678643279559,2022-04-02,False,105,8,-0.00851453667529245,bright,76667959.18107821,-1.6305206559378227,HD124850,1-3,0.6321641066042666,2,1.6290000530716497
124.89210957487148,1.0665851600327343,False,0.003461267264201977,False,False,True,59672.2967775771,0.6575810738067842,2022-04-02,False,105,9,-0.01532181858031434,bright,74473529.85092069,-4.426649955286509,HD124850,1-3,0.6422592552264699,3,1.6770000001997687
