level_0,level_1,logg,teff,feh,u_lambda_0,u_lambda_1,u_lambda_2,u_lambda_3,u_lambda_4,u_lambda_5,s_lambda_0,s_lambda_1,s_lambda_2,s_lambda_3,s_lambda_4,s_lambda_5,Dist,Hpmag_dr,BTmag_dr,VTmag_dr,BPmag_dr,RPmag_dr,BC_Hp,BC_BT,BC_VT,BC_BP,BC_RP,f_bol_Hp,f_bol_BT,f_bol_VT,f_bol_BP,f_bol_RP,f_bol_final,L_star_final
HD222368,0,4.199274470112487,5861.84328866266,0.028272903949027678,0.29021837769358644,0.29021837769358644,0.29021837769358644,0.29021837769358644,0.29021837769358644,0.29021837769358644,1.0,1.0,1.0,1.0,1.0,1.0,13.585845464266725,4.236607610887246,4.759390628862808,4.173157467719648,4.26154768339819,3.55494873690274,-0.16699999999999998,-0.8,-0.109,-0.223,0.5539999999999999,5.987119551617283e-07,6.626813115232223e-07,6.01724905724004e-07,6.160867962907134e-07,5.774062491854341e-07,6.370935689786247e-07,3.6754928913296507
HD1581,0,3.6139027740218492,5955.349805544936,-0.48748570746911735,0.2350384964100298,0.2350384964100298,0.2350384964100298,0.2350384964100298,0.2350384964100298,0.2350384964100298,1.0,1.0,1.0,1.0,1.0,1.0,8.618429496087739,4.34466191142468,4.900914017320213,4.297974111498194,4.370421967410059,3.598286798131502,-0.174,-0.696,-0.125,-0.22,0.504,5.455018277517313e-07,5.285613070085868e-07,5.443413550126432e-07,5.557662728041983e-07,5.809600318602565e-07,5.353375153058447e-07,1.2428621738954573
HD30652,0,3.7252064188164007,6494.221110310592,0.0041626676733959,0.19170844538039183,0.19170844538039183,0.19170844538039183,0.19170844538039183,0.19170844538039183,0.19170844538039183,1.0,1.0,1.0,1.0,1.0,1.0,7.99985714111881,3.286370842272934,3.725877074520379,3.2224614000434166,3.5293841321141635,2.704865521631634,-0.08199999999999999,-0.505,-0.031,-0.11900000000000001,0.467,1.3283503598053916e-06,1.308308445303522e-06,1.344238762654856e-06,1.098771337203802e-06,1.368720481214077e-06,1.3163252111042698e-06,2.6330959662121485
HD38393,0,3.909740596309106,6310.298593106729,-0.003537800908143124,0.2106872298447606,0.2106872298447606,0.2106872298447606,0.2106872298447606,0.2106872298447606,0.2106872298447606,1.0,1.0,1.0,1.0,1.0,1.0,8.911453750755825,3.698083121713169,4.149897790163127,3.6564300657108815,3.8021500478921655,3.0414940202728737,-0.106,-0.581,-0.053,-0.147,0.49200000000000005,9.294536258270468e-07,9.495150626649612e-07,9.197905607347495e-07,8.7700275061563e-07,9.809872583263302e-07,9.414904879297955e-07,2.3369642941855324
HD62644,0,3.57531122563243,5072.2195582545455,0.023332755073341486,0.33763322453893363,0.33763322453893363,0.33763322453893363,0.33763322453893363,0.33763322453893363,0.33763322453893363,1.0,1.0,1.0,1.0,1.0,1.0,23.350043391275076,5.1864670546350355,5.976649740552115,5.11145482970848,5.228180181826863,4.28446544330671,-0.36200000000000004,-1.3419999999999999,-0.308,-0.45399999999999996,0.597,2.987267766838864e-07,3.557960140528994e-07,3.0456433317504827e-07,3.1288799615987384e-07,2.8344891395561806e-07,3.329683191052941e-07,5.674365717099915
HD67523,0,2.0675879570819378,6868.940097195169,0.24847406801500255,0.24775079728312466,0.24775079728312466,0.24775079728312466,0.24775079728312466,0.24775079728312466,0.24775079728312466,1.0,1.0,1.0,1.0,1.0,1.0,19.509252606401088,2.9141319454427057,3.304203006828091,2.84256479507098,3.3168203769190607,2.491901670944677,0.028999999999999998,-0.28600000000000003,0.08,-0.01,0.435,1.6896945234365363e-06,1.576811475413312e-06,1.7220075712524302e-06,1.208739804386225e-06,1.7151428857946149e-06,1.6219646946226018e-06,19.295750994735425
HD121370,0,3.7707131263886384,,0.34356066743028757,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,2.795647766040643,3.3922809008019734,2.726973167903802,3.2921088679337633,2.3590479487400167,0.017,-0.141,0.054000000000000006,0.002,0.215,1.9054689147784776e-06,1.272180148184315e-06,1.9618766914574944e-06,1.222974572435454e-06,2.3737872625595226e-06,1.5254956548219802e-06,
HD124850,0,2.831479931503119,6146.338278346886,-0.1312569981152652,0.2534353478252404,0.2534353478252404,0.2534353478252404,0.2534353478252404,0.2534353478252404,0.2534353478252404,1.0,1.0,1.0,1.0,1.0,1.0,21.950847501628967,4.1853084216774255,4.666179196951911,4.130531261427238,4.209236779192128,3.4933498326507295,-0.11,-0.602,-0.057,-0.158,0.512,5.955765723438275e-07,6.01712863305836e-07,5.965522252832564e-07,6.089284466061548e-07,6.352154337970431e-07,5.992583469210327e-07,9.02517647074692
HD141004,0,4.033638112081101,5810.111880701714,0.03196569642986397,0.32259782087879213,0.32259782087879213,0.32259782087879213,0.32259782087879213,0.32259782087879213,0.32259782087879213,1.0,1.0,1.0,1.0,1.0,1.0,11.92015825729352,4.544061820520314,5.143577874329909,4.486860896728819,4.571115600699198,3.7853381535881185,-0.174,-0.8240000000000001,-0.11599999999999999,-0.23199999999999998,0.56,4.5397950442105065e-07,4.755868358272415e-07,4.5364550914730263e-07,4.6710523474666185e-07,4.6443582590390273e-07,4.6694390326476513e-07,2.073804331987998
HD142860,0,3.859835549414729,6368.950802364583,-0.1806402342050638,0.2119393741196452,0.2119393741196452,0.2119393741196452,0.2119393741196452,0.2119393741196452,0.2119393741196452,1.0,1.0,1.0,1.0,1.0,1.0,11.105730950544567,3.944514923802255,4.4095352266535865,3.87081279270029,3.9852734385419857,3.292885381023746,-0.111,-0.55,-0.061,-0.14800000000000002,0.469,7.441406085813094e-07,7.265188452263348e-07,7.60564162140715e-07,7.415690557163626e-07,7.948896134229164e-07,7.335675505683247e-07,2.8279611135831297
HD182572,0,4.287086485034127,,0.5061208846298556,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,14.915609074502697,5.30927595317134,6.1143061314268135,5.257999409052973,5.35078201463041,4.446301038805623,0.006999999999999999,-0.193,0.049,-0.008,0.233,1.8991120672997685e-07,1.0877736192405845e-07,1.9154076208427485e-07,1.8533104254370812e-07,3.4146056855016684e-07,1.4123089984642582e-07,0.9820887502462637
HD2151,0,3.756765286264425,5834.284306277526,-0.26340477340500185,0.31233660699131466,0.31233660699131466,0.31233660699131466,0.31233660699131466,0.31233660699131466,0.31233660699131466,1.0,1.0,1.0,1.0,1.0,1.0,7.453003930082245,2.9308614614030137,3.5461690477691743,2.8463973578041775,3.3827040131116695,2.3503665061813894,-0.182,-0.774,-0.129,-0.235,0.534,2.0207676934115604e-06,1.977850017681964e-06,2.0801853406424565e-06,1.399520838538541e-06,1.7836694426664011e-06,1.995017087973803e-06,3.46376441156825
HD48737,0,3.758168324873828,6454.077175797325,-0.06532894554765141,0.21060921531683768,0.21060921531683768,0.21060921531683768,0.21060921531683768,0.21060921531683768,0.21060921531683768,1.0,1.0,1.0,1.0,1.0,1.0,18.43167095694286,3.4411688046660744,3.8344915410882887,3.362883395713746,3.5405952846210016,2.8362036891452957,-0.092,-0.518,-0.040999999999999995,-0.129,0.466,1.1625013148496814e-06,1.1980207996607877e-06,1.1920860789214927e-06,1.0975463272255089e-06,1.2138904618985344e-06,1.183813005736345e-06,12.570470981944723
HD82434,0,3.5509626122475453,7353.167953954373,0.07634066575075216,0.19686766977038245,0.19686766977038245,0.19686766977038245,0.19686766977038245,0.19686766977038245,0.19686766977038245,1.0,1.0,1.0,1.0,1.0,1.0,,3.657557635940416,4.003515246642349,3.622735164513367,3.6994934455853232,3.1822935563509773,-0.006,-0.253,0.038,-0.03,0.33,8.799093250455115e-07,8.032576604310347e-07,8.725029596756682e-07,8.654930731355344e-07,1.0003305955556893e-06,8.339183262768255e-07,
HD61421,0,4.368908221898333,,-0.0419671168296916,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.521910537651489,,,,,,-0.045,-0.231,-0.005,-0.057999999999999996,0.19,,,,,,,
